starttime	seconds	ctime	dtime	ttime	wait
Mon Oct 03 10:56:33 2016	1475484993	0	194	194	194
Mon Oct 03 10:56:25 2016	1475484985	0	197	197	197
Mon Oct 03 10:56:17 2016	1475484977	0	203	203	202
Mon Oct 03 10:56:12 2016	1475484972	0	205	205	204
Mon Oct 03 10:56:06 2016	1475484966	0	206	206	206
Mon Oct 03 10:56:49 2016	1475485009	0	207	207	207
Mon Oct 03 10:56:00 2016	1475484960	0	210	210	210
Mon Oct 03 10:56:50 2016	1475485010	0	215	215	215
Mon Oct 03 10:57:01 2016	1475485021	0	226	226	226
Mon Oct 03 10:56:45 2016	1475485005	0	227	227	227
Mon Oct 03 10:56:45 2016	1475485005	0	230	230	230
Mon Oct 03 10:56:08 2016	1475484968	0	232	232	232
Mon Oct 03 10:56:08 2016	1475484968	0	232	232	232
Mon Oct 03 10:57:02 2016	1475485022	0	233	233	233
Mon Oct 03 10:56:26 2016	1475484986	0	235	235	235
Mon Oct 03 10:56:26 2016	1475484986	0	235	236	235
Mon Oct 03 10:56:24 2016	1475484984	0	236	236	235
Mon Oct 03 10:56:19 2016	1475484979	0	237	237	236
Mon Oct 03 10:56:11 2016	1475484971	0	239	239	238
Mon Oct 03 10:57:09 2016	1475485029	0	240	240	240
Mon Oct 03 10:57:07 2016	1475485027	0	240	240	240
Mon Oct 03 10:56:50 2016	1475485010	0	240	241	240
Mon Oct 03 10:56:57 2016	1475485017	0	240	241	240
Mon Oct 03 10:56:07 2016	1475484967	0	241	241	241
Mon Oct 03 10:57:01 2016	1475485021	0	244	244	244
Mon Oct 03 10:56:44 2016	1475485004	0	245	245	243
Mon Oct 03 10:57:05 2016	1475485025	0	246	246	245
Mon Oct 03 10:56:36 2016	1475484996	0	247	247	247
Mon Oct 03 10:56:46 2016	1475485006	0	247	247	247
Mon Oct 03 10:56:34 2016	1475484994	0	248	248	247
Mon Oct 03 10:56:52 2016	1475485012	0	249	249	249
Mon Oct 03 10:56:30 2016	1475484990	0	249	249	249
Mon Oct 03 10:56:32 2016	1475484992	0	249	249	249
Mon Oct 03 10:56:05 2016	1475484965	0	251	251	251
Mon Oct 03 10:56:48 2016	1475485008	0	251	251	251
Mon Oct 03 10:56:09 2016	1475484969	0	252	252	251
Mon Oct 03 10:57:03 2016	1475485023	0	252	252	252
Mon Oct 03 10:56:57 2016	1475485017	0	252	252	252
Mon Oct 03 10:56:11 2016	1475484971	0	253	253	252
Mon Oct 03 10:56:42 2016	1475485002	0	253	253	253
Mon Oct 03 10:57:00 2016	1475485020	0	255	255	255
Mon Oct 03 10:56:02 2016	1475484962	0	256	256	255
Mon Oct 03 10:56:07 2016	1475484967	0	256	256	256
Mon Oct 03 10:57:07 2016	1475485027	0	257	257	257
Mon Oct 03 10:56:10 2016	1475484970	0	258	258	258
Mon Oct 03 10:56:54 2016	1475485014	0	259	259	259
Mon Oct 03 10:57:08 2016	1475485028	0	259	259	259
Mon Oct 03 10:56:39 2016	1475484999	0	261	261	260
Mon Oct 03 10:57:05 2016	1475485025	0	262	262	261
Mon Oct 03 10:56:51 2016	1475485011	0	262	262	262
Mon Oct 03 10:56:07 2016	1475484967	0	263	263	263
Mon Oct 03 10:56:59 2016	1475485019	0	263	263	263
Mon Oct 03 10:57:09 2016	1475485029	0	264	264	264
Mon Oct 03 10:56:21 2016	1475484981	0	265	265	264
Mon Oct 03 10:56:41 2016	1475485001	0	266	266	266
Mon Oct 03 10:56:44 2016	1475485004	0	266	266	266
Mon Oct 03 10:56:19 2016	1475484979	0	267	267	266
Mon Oct 03 10:56:36 2016	1475484996	0	268	268	268
Mon Oct 03 10:56:47 2016	1475485007	0	269	269	269
Mon Oct 03 10:56:37 2016	1475484997	0	270	270	270
Mon Oct 03 10:56:14 2016	1475484974	0	270	271	270
Mon Oct 03 10:56:43 2016	1475485003	0	271	271	271
Mon Oct 03 10:56:26 2016	1475484986	0	272	272	271
Mon Oct 03 10:56:40 2016	1475485000	0	272	272	272
Mon Oct 03 10:56:08 2016	1475484968	0	272	272	272
Mon Oct 03 10:55:57 2016	1475484957	0	273	273	273
Mon Oct 03 10:56:38 2016	1475484998	0	273	273	273
Mon Oct 03 10:57:07 2016	1475485027	0	274	274	273
Mon Oct 03 10:56:06 2016	1475484966	0	274	274	273
Mon Oct 03 10:55:57 2016	1475484957	0	274	274	274
Mon Oct 03 10:56:04 2016	1475484964	0	274	274	274
Mon Oct 03 10:57:04 2016	1475485024	0	274	274	274
Mon Oct 03 10:56:55 2016	1475485015	0	275	275	275
Mon Oct 03 10:56:03 2016	1475484963	0	277	277	277
Mon Oct 03 10:56:44 2016	1475485004	0	278	278	277
Mon Oct 03 10:56:36 2016	1475484996	0	278	278	278
Mon Oct 03 10:57:06 2016	1475485026	0	280	280	280
Mon Oct 03 10:57:00 2016	1475485020	0	280	280	280
Mon Oct 03 10:56:11 2016	1475484971	0	282	282	281
Mon Oct 03 10:56:41 2016	1475485001	0	282	282	282
Mon Oct 03 10:56:22 2016	1475484982	0	282	282	282
Mon Oct 03 10:57:04 2016	1475485024	0	282	282	282
Mon Oct 03 10:56:00 2016	1475484960	0	283	283	282
Mon Oct 03 10:56:27 2016	1475484987	0	283	283	282
Mon Oct 03 10:56:22 2016	1475484982	0	284	284	284
Mon Oct 03 10:56:19 2016	1475484979	0	285	285	284
Mon Oct 03 10:56:57 2016	1475485017	0	285	285	285
Mon Oct 03 10:56:00 2016	1475484960	0	285	285	285
Mon Oct 03 10:56:00 2016	1475484960	0	286	286	285
Mon Oct 03 10:56:17 2016	1475484977	0	286	286	286
Mon Oct 03 10:56:13 2016	1475484973	0	287	287	287
Mon Oct 03 10:56:51 2016	1475485011	0	288	288	287
Mon Oct 03 10:56:29 2016	1475484989	0	289	289	289
Mon Oct 03 10:56:40 2016	1475485000	0	289	290	289
Mon Oct 03 10:56:49 2016	1475485009	0	290	290	290
Mon Oct 03 10:56:32 2016	1475484992	0	290	290	287
Mon Oct 03 10:56:39 2016	1475484999	0	291	291	291
Mon Oct 03 10:56:50 2016	1475485010	0	292	292	292
Mon Oct 03 10:57:06 2016	1475485026	0	293	293	293
Mon Oct 03 10:56:32 2016	1475484992	0	294	294	294
Mon Oct 03 10:56:29 2016	1475484989	0	294	294	294
Mon Oct 03 10:56:55 2016	1475485015	0	294	294	294
Mon Oct 03 10:56:48 2016	1475485008	0	294	294	294
Mon Oct 03 10:56:07 2016	1475484967	0	295	295	295
Mon Oct 03 10:56:19 2016	1475484979	0	295	295	295
Mon Oct 03 10:56:03 2016	1475484963	0	295	295	295
Mon Oct 03 10:56:48 2016	1475485008	0	296	296	296
Mon Oct 03 10:56:25 2016	1475484985	0	297	297	296
Mon Oct 03 10:57:08 2016	1475485028	0	297	297	296
Mon Oct 03 10:56:05 2016	1475484965	0	297	297	297
Mon Oct 03 10:56:23 2016	1475484983	0	298	298	298
Mon Oct 03 10:55:59 2016	1475484959	0	299	299	298
Mon Oct 03 10:56:18 2016	1475484978	0	302	302	302
Mon Oct 03 10:57:06 2016	1475485026	0	302	302	302
Mon Oct 03 10:55:58 2016	1475484958	0	302	302	302
Mon Oct 03 10:56:50 2016	1475485010	0	303	303	303
Mon Oct 03 10:56:28 2016	1475484988	0	304	304	304
Mon Oct 03 10:57:00 2016	1475485020	0	305	305	305
Mon Oct 03 10:56:53 2016	1475485013	0	306	306	305
Mon Oct 03 10:56:56 2016	1475485016	0	306	306	306
Mon Oct 03 10:56:58 2016	1475485018	0	307	307	307
Mon Oct 03 10:55:59 2016	1475484959	0	307	307	307
Mon Oct 03 10:56:37 2016	1475484997	0	307	307	307
Mon Oct 03 10:56:20 2016	1475484980	0	309	309	309
Mon Oct 03 10:56:26 2016	1475484986	0	310	310	309
Mon Oct 03 10:56:30 2016	1475484990	0	310	310	310
Mon Oct 03 10:56:16 2016	1475484976	0	310	310	310
Mon Oct 03 10:56:38 2016	1475484998	0	310	310	310
Mon Oct 03 10:56:03 2016	1475484963	0	310	310	310
Mon Oct 03 10:56:13 2016	1475484973	0	311	311	310
Mon Oct 03 10:56:09 2016	1475484969	0	312	312	312
Mon Oct 03 10:56:57 2016	1475485017	0	313	313	313
Mon Oct 03 10:56:49 2016	1475485009	0	314	314	314
Mon Oct 03 10:56:47 2016	1475485007	0	315	315	314
Mon Oct 03 10:55:55 2016	1475484955	0	315	316	315
Mon Oct 03 10:56:13 2016	1475484973	0	316	316	315
Mon Oct 03 10:56:04 2016	1475484964	0	319	319	319
Mon Oct 03 10:56:09 2016	1475484969	0	320	320	319
Mon Oct 03 10:56:56 2016	1475485016	0	320	320	320
Mon Oct 03 10:56:07 2016	1475484967	0	320	320	320
Mon Oct 03 10:56:46 2016	1475485006	0	321	321	321
Mon Oct 03 10:56:35 2016	1475484995	0	322	322	322
Mon Oct 03 10:56:01 2016	1475484961	0	322	322	322
Mon Oct 03 10:55:58 2016	1475484958	0	323	323	323
Mon Oct 03 10:56:46 2016	1475485006	0	324	324	323
Mon Oct 03 10:56:04 2016	1475484964	0	324	324	324
Mon Oct 03 10:56:40 2016	1475485000	0	324	324	324
Mon Oct 03 10:56:59 2016	1475485019	0	324	324	324
Mon Oct 03 10:56:14 2016	1475484974	0	325	325	324
Mon Oct 03 10:56:31 2016	1475484991	0	325	325	325
Mon Oct 03 10:56:48 2016	1475485008	0	325	325	325
Mon Oct 03 10:56:21 2016	1475484981	0	326	326	326
Mon Oct 03 10:56:29 2016	1475484989	0	326	327	326
Mon Oct 03 10:56:19 2016	1475484979	0	327	327	326
Mon Oct 03 10:57:06 2016	1475485026	0	327	327	327
Mon Oct 03 10:56:23 2016	1475484983	0	329	329	329
Mon Oct 03 10:56:41 2016	1475485001	0	329	329	329
Mon Oct 03 10:56:58 2016	1475485018	0	329	330	329
Mon Oct 03 10:57:08 2016	1475485028	0	330	330	329
Mon Oct 03 10:56:01 2016	1475484961	0	330	330	330
Mon Oct 03 10:56:13 2016	1475484973	0	330	330	330
Mon Oct 03 10:56:29 2016	1475484989	0	331	331	331
Mon Oct 03 10:57:02 2016	1475485022	0	332	332	331
Mon Oct 03 10:56:06 2016	1475484966	0	333	333	333
Mon Oct 03 10:57:05 2016	1475485025	0	334	334	334
Mon Oct 03 10:56:02 2016	1475484962	0	334	334	334
Mon Oct 03 10:56:04 2016	1475484964	0	335	335	335
Mon Oct 03 10:57:03 2016	1475485023	0	335	335	335
Mon Oct 03 10:56:23 2016	1475484983	0	335	335	335
Mon Oct 03 10:56:33 2016	1475484993	0	335	336	335
Mon Oct 03 10:56:59 2016	1475485019	0	336	336	335
Mon Oct 03 10:56:53 2016	1475485013	0	336	337	336
Mon Oct 03 10:56:27 2016	1475484987	0	337	337	336
Mon Oct 03 10:56:03 2016	1475484963	0	337	337	337
Mon Oct 03 10:56:51 2016	1475485011	0	338	338	338
