starttime	seconds	ctime	dtime	ttime	wait
Mon Oct 03 11:16:29 2016	1475486189	0	233	233	233
Mon Oct 03 11:16:24 2016	1475486184	0	281	281	281
Mon Oct 03 11:16:23 2016	1475486183	0	285	285	284
Mon Oct 03 11:16:24 2016	1475486184	0	285	285	285
Mon Oct 03 11:16:28 2016	1475486188	0	287	287	287
Mon Oct 03 11:16:25 2016	1475486185	0	287	287	287
Mon Oct 03 11:16:23 2016	1475486183	0	288	288	288
Mon Oct 03 11:16:26 2016	1475486186	0	288	288	288
Mon Oct 03 11:16:27 2016	1475486187	0	289	289	288
Mon Oct 03 11:16:24 2016	1475486184	0	290	290	290
Mon Oct 03 11:16:23 2016	1475486183	0	290	290	290
Mon Oct 03 11:16:28 2016	1475486188	0	292	292	292
Mon Oct 03 11:16:25 2016	1475486185	0	293	293	292
Mon Oct 03 11:16:28 2016	1475486188	0	293	293	293
Mon Oct 03 11:16:24 2016	1475486184	0	294	294	294
Mon Oct 03 11:16:22 2016	1475486182	0	294	294	294
Mon Oct 03 11:16:28 2016	1475486188	0	295	295	295
Mon Oct 03 11:16:23 2016	1475486183	0	296	296	295
Mon Oct 03 11:16:26 2016	1475486186	0	296	296	296
Mon Oct 03 11:16:23 2016	1475486183	0	297	297	297
Mon Oct 03 11:16:28 2016	1475486188	0	298	298	298
Mon Oct 03 11:16:29 2016	1475486189	0	298	298	298
Mon Oct 03 11:16:25 2016	1475486185	0	298	298	298
Mon Oct 03 11:16:28 2016	1475486188	0	299	299	299
Mon Oct 03 11:16:27 2016	1475486187	0	299	299	299
Mon Oct 03 11:16:28 2016	1475486188	0	299	299	299
Mon Oct 03 11:16:25 2016	1475486185	0	301	301	301
Mon Oct 03 11:16:27 2016	1475486187	0	301	301	301
Mon Oct 03 11:16:22 2016	1475486182	0	302	302	302
Mon Oct 03 11:16:24 2016	1475486184	0	303	303	302
Mon Oct 03 11:16:26 2016	1475486186	0	304	304	303
Mon Oct 03 11:16:27 2016	1475486187	0	304	304	303
Mon Oct 03 11:16:24 2016	1475486184	0	304	304	304
Mon Oct 03 11:16:30 2016	1475486190	0	305	305	304
Mon Oct 03 11:16:27 2016	1475486187	0	305	305	304
Mon Oct 03 11:16:29 2016	1475486189	0	305	305	305
Mon Oct 03 11:16:28 2016	1475486188	0	305	305	305
Mon Oct 03 11:16:27 2016	1475486187	0	306	306	306
Mon Oct 03 11:16:32 2016	1475486192	0	307	307	307
Mon Oct 03 11:16:29 2016	1475486189	0	308	308	308
Mon Oct 03 11:16:32 2016	1475486192	0	308	308	308
Mon Oct 03 11:16:25 2016	1475486185	0	309	309	309
Mon Oct 03 11:16:26 2016	1475486186	0	310	310	309
Mon Oct 03 11:16:31 2016	1475486191	0	311	311	310
Mon Oct 03 11:16:23 2016	1475486183	0	311	311	311
Mon Oct 03 11:16:24 2016	1475486184	0	311	311	311
Mon Oct 03 11:16:28 2016	1475486188	0	311	311	311
Mon Oct 03 11:16:26 2016	1475486186	0	311	311	311
Mon Oct 03 11:16:36 2016	1475486196	0	311	311	311
Mon Oct 03 11:16:22 2016	1475486182	1	310	312	310
Mon Oct 03 11:16:25 2016	1475486185	0	312	312	311
Mon Oct 03 11:16:32 2016	1475486192	0	312	312	312
Mon Oct 03 11:16:24 2016	1475486184	0	312	312	312
Mon Oct 03 11:16:27 2016	1475486187	0	312	312	312
Mon Oct 03 11:16:27 2016	1475486187	0	312	312	312
Mon Oct 03 11:16:26 2016	1475486186	0	314	314	313
Mon Oct 03 11:16:24 2016	1475486184	0	314	314	314
Mon Oct 03 11:16:26 2016	1475486186	0	315	315	315
Mon Oct 03 11:16:23 2016	1475486183	0	316	316	316
Mon Oct 03 11:16:29 2016	1475486189	0	316	316	316
Mon Oct 03 11:16:29 2016	1475486189	0	316	316	316
Mon Oct 03 11:16:34 2016	1475486194	0	316	316	316
Mon Oct 03 11:16:25 2016	1475486185	0	317	317	316
Mon Oct 03 11:16:42 2016	1475486202	0	317	317	317
Mon Oct 03 11:16:32 2016	1475486192	0	317	317	317
Mon Oct 03 11:16:24 2016	1475486184	0	318	318	314
Mon Oct 03 11:16:53 2016	1475486213	0	319	319	319
Mon Oct 03 11:16:23 2016	1475486183	0	319	319	319
Mon Oct 03 11:16:29 2016	1475486189	0	320	320	320
Mon Oct 03 11:16:27 2016	1475486187	0	321	321	321
Mon Oct 03 11:16:30 2016	1475486190	0	321	321	321
Mon Oct 03 11:16:30 2016	1475486190	0	322	322	322
Mon Oct 03 11:16:22 2016	1475486182	3	320	323	320
Mon Oct 03 11:16:31 2016	1475486191	0	323	323	323
Mon Oct 03 11:16:22 2016	1475486182	3	321	323	320
Mon Oct 03 11:16:27 2016	1475486187	0	323	324	323
Mon Oct 03 11:16:30 2016	1475486190	0	324	324	323
Mon Oct 03 11:16:34 2016	1475486194	0	324	324	324
Mon Oct 03 11:16:28 2016	1475486188	0	324	324	324
Mon Oct 03 11:16:44 2016	1475486204	0	325	325	324
Mon Oct 03 11:16:34 2016	1475486194	0	325	325	325
Mon Oct 03 11:16:41 2016	1475486201	0	325	325	325
Mon Oct 03 11:16:28 2016	1475486188	0	327	327	327
Mon Oct 03 11:16:40 2016	1475486200	0	327	327	327
Mon Oct 03 11:16:24 2016	1475486184	0	328	328	327
Mon Oct 03 11:16:23 2016	1475486183	0	328	328	328
Mon Oct 03 11:16:56 2016	1475486216	0	328	328	328
Mon Oct 03 11:16:35 2016	1475486195	0	329	329	328
Mon Oct 03 11:16:25 2016	1475486185	0	329	329	328
Mon Oct 03 11:16:27 2016	1475486187	0	329	329	329
Mon Oct 03 11:16:32 2016	1475486192	0	330	330	329
Mon Oct 03 11:16:46 2016	1475486206	0	330	330	330
Mon Oct 03 11:16:30 2016	1475486190	0	331	331	330
Mon Oct 03 11:16:24 2016	1475486184	0	331	331	329
Mon Oct 03 11:16:30 2016	1475486190	0	331	331	331
Mon Oct 03 11:16:24 2016	1475486184	0	331	331	331
Mon Oct 03 11:16:24 2016	1475486184	0	331	331	331
Mon Oct 03 11:17:04 2016	1475486224	0	331	331	331
Mon Oct 03 11:16:29 2016	1475486189	0	332	332	331
Mon Oct 03 11:16:42 2016	1475486202	0	332	332	331
Mon Oct 03 11:16:36 2016	1475486196	0	332	332	332
Mon Oct 03 11:16:50 2016	1475486210	0	332	332	332
