starttime	seconds	ctime	dtime	ttime	wait
Mon Oct 03 11:00:11 2016	1475485211	1	333	334	332
Mon Oct 03 11:01:07 2016	1475485267	0	477	477	477
Mon Oct 03 11:01:19 2016	1475485279	0	485	485	484
Mon Oct 03 11:00:14 2016	1475485214	0	491	491	491
Mon Oct 03 11:01:19 2016	1475485279	0	493	493	493
Mon Oct 03 11:01:10 2016	1475485270	0	495	495	495
Mon Oct 03 11:01:18 2016	1475485278	0	495	495	495
Mon Oct 03 11:02:40 2016	1475485360	0	497	497	496
Mon Oct 03 11:00:32 2016	1475485232	0	498	498	497
Mon Oct 03 11:02:48 2016	1475485368	0	498	498	498
Mon Oct 03 11:02:17 2016	1475485337	0	498	498	498
Mon Oct 03 11:01:36 2016	1475485296	0	498	498	498
Mon Oct 03 11:03:45 2016	1475485425	0	501	501	500
Mon Oct 03 11:03:31 2016	1475485411	0	501	501	501
Mon Oct 03 11:01:06 2016	1475485266	0	501	501	501
Mon Oct 03 11:01:36 2016	1475485296	0	502	502	502
Mon Oct 03 11:02:48 2016	1475485368	0	502	502	502
Mon Oct 03 11:01:05 2016	1475485265	0	503	503	502
Mon Oct 03 11:03:41 2016	1475485421	0	503	503	502
Mon Oct 03 11:02:49 2016	1475485369	0	503	503	503
Mon Oct 03 11:03:25 2016	1475485405	0	503	503	503
Mon Oct 03 11:02:47 2016	1475485367	0	503	503	503
Mon Oct 03 11:00:31 2016	1475485231	0	503	503	503
Mon Oct 03 11:01:52 2016	1475485312	0	504	504	503
Mon Oct 03 11:04:09 2016	1475485449	0	504	504	504
Mon Oct 03 11:01:41 2016	1475485301	0	504	504	504
Mon Oct 03 11:03:35 2016	1475485415	0	504	504	504
Mon Oct 03 11:00:47 2016	1475485247	0	505	505	504
Mon Oct 03 11:02:54 2016	1475485374	0	505	505	505
Mon Oct 03 11:01:02 2016	1475485262	0	505	505	505
Mon Oct 03 11:00:32 2016	1475485232	0	505	505	505
Mon Oct 03 11:03:24 2016	1475485404	0	505	505	505
Mon Oct 03 11:02:50 2016	1475485370	0	505	505	505
Mon Oct 03 11:04:09 2016	1475485449	0	506	506	506
Mon Oct 03 11:02:18 2016	1475485338	0	506	506	506
Mon Oct 03 11:01:20 2016	1475485280	0	507	507	507
Mon Oct 03 11:01:41 2016	1475485301	0	507	507	507
Mon Oct 03 11:03:33 2016	1475485413	0	507	507	507
Mon Oct 03 11:00:34 2016	1475485234	0	507	507	507
Mon Oct 03 11:03:41 2016	1475485421	0	507	507	507
Mon Oct 03 11:03:39 2016	1475485419	0	508	508	507
Mon Oct 03 11:02:30 2016	1475485350	0	508	508	507
Mon Oct 03 11:03:36 2016	1475485416	0	508	508	508
Mon Oct 03 11:04:08 2016	1475485448	0	508	508	508
Mon Oct 03 11:00:27 2016	1475485227	0	508	508	508
Mon Oct 03 11:02:42 2016	1475485362	0	508	508	508
Mon Oct 03 11:01:28 2016	1475485288	0	508	508	508
Mon Oct 03 11:03:57 2016	1475485437	0	508	508	508
Mon Oct 03 11:04:09 2016	1475485449	0	508	508	508
Mon Oct 03 11:03:45 2016	1475485425	0	509	509	508
Mon Oct 03 11:03:40 2016	1475485420	0	509	509	509
Mon Oct 03 11:03:55 2016	1475485435	0	509	509	509
Mon Oct 03 11:04:12 2016	1475485452	0	509	509	509
Mon Oct 03 11:03:45 2016	1475485425	0	509	509	509
Mon Oct 03 11:01:37 2016	1475485297	0	509	509	509
Mon Oct 03 11:00:37 2016	1475485237	0	509	510	509
Mon Oct 03 11:02:13 2016	1475485333	0	510	510	509
Mon Oct 03 11:03:40 2016	1475485420	0	510	510	510
Mon Oct 03 11:02:04 2016	1475485324	0	510	510	509
Mon Oct 03 11:01:23 2016	1475485283	0	510	510	509
Mon Oct 03 11:02:29 2016	1475485349	0	510	510	510
Mon Oct 03 11:00:21 2016	1475485221	0	510	510	510
Mon Oct 03 11:01:25 2016	1475485285	0	510	510	510
Mon Oct 03 11:04:03 2016	1475485443	0	510	510	510
Mon Oct 03 11:02:22 2016	1475485342	0	510	510	510
Mon Oct 03 11:01:04 2016	1475485264	0	510	510	510
Mon Oct 03 11:04:13 2016	1475485453	0	511	511	510
Mon Oct 03 11:03:30 2016	1475485410	0	511	511	510
Mon Oct 03 11:03:35 2016	1475485415	0	511	511	511
Mon Oct 03 11:00:53 2016	1475485253	0	511	511	511
Mon Oct 03 11:04:12 2016	1475485452	0	511	511	511
Mon Oct 03 11:01:51 2016	1475485311	0	511	511	511
Mon Oct 03 11:00:48 2016	1475485248	0	512	512	511
Mon Oct 03 11:00:13 2016	1475485213	0	512	512	511
Mon Oct 03 11:01:37 2016	1475485297	0	512	512	512
Mon Oct 03 11:04:09 2016	1475485449	0	512	512	512
Mon Oct 03 11:00:17 2016	1475485217	0	512	512	512
Mon Oct 03 11:00:12 2016	1475485212	0	512	512	512
Mon Oct 03 11:00:43 2016	1475485243	0	512	512	512
Mon Oct 03 11:02:49 2016	1475485369	0	512	512	512
Mon Oct 03 11:01:03 2016	1475485263	0	512	512	512
Mon Oct 03 11:01:59 2016	1475485319	0	512	512	512
Mon Oct 03 11:00:47 2016	1475485247	0	512	512	512
Mon Oct 03 11:01:33 2016	1475485293	0	513	513	512
Mon Oct 03 11:03:35 2016	1475485415	0	513	513	513
Mon Oct 03 11:01:36 2016	1475485296	0	513	513	513
Mon Oct 03 11:00:13 2016	1475485213	0	513	513	513
Mon Oct 03 11:02:47 2016	1475485367	0	513	513	513
Mon Oct 03 11:01:39 2016	1475485299	0	513	513	513
Mon Oct 03 11:03:36 2016	1475485416	0	513	513	513
Mon Oct 03 11:01:40 2016	1475485300	0	513	513	513
Mon Oct 03 11:02:52 2016	1475485372	0	513	513	513
Mon Oct 03 11:01:06 2016	1475485266	0	513	513	513
Mon Oct 03 11:00:47 2016	1475485247	0	514	514	514
Mon Oct 03 11:01:25 2016	1475485285	0	514	514	514
Mon Oct 03 11:00:49 2016	1475485249	0	514	514	514
Mon Oct 03 11:01:00 2016	1475485260	0	514	514	514
Mon Oct 03 11:01:03 2016	1475485263	0	514	514	514
Mon Oct 03 11:03:42 2016	1475485422	0	514	514	514
Mon Oct 03 11:02:21 2016	1475485341	0	514	514	514
Mon Oct 03 11:00:17 2016	1475485217	0	514	515	514
Mon Oct 03 11:00:20 2016	1475485220	0	515	515	514
Mon Oct 03 11:02:40 2016	1475485360	0	515	515	514
Mon Oct 03 11:03:10 2016	1475485390	0	515	515	514
Mon Oct 03 11:01:34 2016	1475485294	0	515	515	515
Mon Oct 03 11:01:38 2016	1475485298	0	515	515	515
Mon Oct 03 11:03:14 2016	1475485394	0	515	515	515
Mon Oct 03 11:03:42 2016	1475485422	0	515	515	515
Mon Oct 03 11:02:15 2016	1475485335	0	515	515	515
Mon Oct 03 11:02:16 2016	1475485336	0	515	515	515
Mon Oct 03 11:01:41 2016	1475485301	0	515	515	515
Mon Oct 03 11:00:41 2016	1475485241	0	515	515	515
Mon Oct 03 11:04:12 2016	1475485452	0	515	515	515
Mon Oct 03 11:01:05 2016	1475485265	0	515	516	515
Mon Oct 03 11:01:23 2016	1475485283	0	516	516	515
Mon Oct 03 11:04:02 2016	1475485442	0	516	516	516
Mon Oct 03 11:00:25 2016	1475485225	0	516	516	516
Mon Oct 03 11:03:37 2016	1475485417	0	516	516	516
Mon Oct 03 11:01:38 2016	1475485298	0	516	516	516
Mon Oct 03 11:03:57 2016	1475485437	0	516	516	516
Mon Oct 03 11:02:50 2016	1475485370	0	516	516	516
Mon Oct 03 11:01:05 2016	1475485265	0	517	517	516
Mon Oct 03 11:01:23 2016	1475485283	0	517	517	516
Mon Oct 03 11:01:38 2016	1475485298	0	517	517	517
Mon Oct 03 11:04:11 2016	1475485451	0	517	517	517
Mon Oct 03 11:01:37 2016	1475485297	0	517	517	517
Mon Oct 03 11:02:01 2016	1475485321	0	517	517	517
Mon Oct 03 11:03:55 2016	1475485435	0	517	517	517
Mon Oct 03 11:02:51 2016	1475485371	0	517	517	517
Mon Oct 03 11:01:23 2016	1475485283	0	517	517	517
Mon Oct 03 11:04:02 2016	1475485442	0	517	517	517
Mon Oct 03 11:02:04 2016	1475485324	0	517	517	517
Mon Oct 03 11:02:22 2016	1475485342	0	517	517	517
Mon Oct 03 11:02:46 2016	1475485366	0	517	517	517
Mon Oct 03 11:03:13 2016	1475485393	0	517	517	517
Mon Oct 03 11:01:24 2016	1475485284	0	517	517	517
Mon Oct 03 11:02:16 2016	1475485336	0	517	517	517
Mon Oct 03 11:00:33 2016	1475485233	0	518	518	517
Mon Oct 03 11:00:43 2016	1475485243	0	518	518	517
Mon Oct 03 11:01:48 2016	1475485308	0	518	518	518
Mon Oct 03 11:02:11 2016	1475485331	0	518	518	518
Mon Oct 03 11:01:32 2016	1475485292	0	518	518	518
Mon Oct 03 11:02:21 2016	1475485341	0	518	518	518
Mon Oct 03 11:01:24 2016	1475485284	0	518	518	518
Mon Oct 03 11:00:16 2016	1475485216	0	518	518	518
Mon Oct 03 11:00:49 2016	1475485249	0	518	518	518
Mon Oct 03 11:02:14 2016	1475485334	0	518	518	518
Mon Oct 03 11:01:59 2016	1475485319	0	518	518	518
