starttime	seconds	ctime	dtime	ttime	wait
Mon Oct 03 10:59:10 2016	1475485150	0	385	385	385
Mon Oct 03 10:58:20 2016	1475485100	0	405	405	404
Mon Oct 03 10:58:12 2016	1475485092	0	407	407	407
Mon Oct 03 10:58:17 2016	1475485097	0	414	414	414
Mon Oct 03 10:58:41 2016	1475485121	0	415	415	415
Mon Oct 03 10:58:11 2016	1475485091	1	415	416	414
Mon Oct 03 10:58:18 2016	1475485098	0	417	417	417
Mon Oct 03 10:58:15 2016	1475485095	0	418	418	418
Mon Oct 03 10:58:14 2016	1475485094	0	418	418	418
Mon Oct 03 10:58:18 2016	1475485098	0	420	420	420
Mon Oct 03 10:58:13 2016	1475485093	0	420	420	420
Mon Oct 03 10:58:22 2016	1475485102	0	420	420	420
Mon Oct 03 10:58:20 2016	1475485100	0	421	421	420
Mon Oct 03 10:58:12 2016	1475485092	0	421	421	421
Mon Oct 03 10:58:17 2016	1475485097	0	424	424	423
Mon Oct 03 10:58:12 2016	1475485092	0	425	425	425
Mon Oct 03 10:58:26 2016	1475485106	0	426	426	425
Mon Oct 03 10:58:18 2016	1475485098	0	426	426	425
Mon Oct 03 10:58:15 2016	1475485095	0	426	426	426
Mon Oct 03 10:58:12 2016	1475485092	0	427	427	426
Mon Oct 03 10:58:17 2016	1475485097	0	428	428	427
Mon Oct 03 10:58:20 2016	1475485100	0	429	429	428
Mon Oct 03 10:58:18 2016	1475485098	0	429	429	428
Mon Oct 03 10:58:12 2016	1475485092	0	429	429	429
Mon Oct 03 10:58:27 2016	1475485107	0	431	431	430
Mon Oct 03 10:58:16 2016	1475485096	0	431	431	431
Mon Oct 03 10:58:14 2016	1475485094	0	431	431	431
Mon Oct 03 10:58:14 2016	1475485094	0	433	433	433
Mon Oct 03 10:58:17 2016	1475485097	0	433	433	433
Mon Oct 03 10:58:24 2016	1475485104	0	433	433	433
Mon Oct 03 10:58:14 2016	1475485094	0	433	433	433
Mon Oct 03 10:58:13 2016	1475485093	0	435	435	435
Mon Oct 03 10:58:27 2016	1475485107	0	436	436	436
Mon Oct 03 10:58:15 2016	1475485095	0	438	438	438
Mon Oct 03 10:58:19 2016	1475485099	0	438	438	438
Mon Oct 03 10:58:24 2016	1475485104	0	439	439	438
Mon Oct 03 10:58:16 2016	1475485096	0	440	440	439
Mon Oct 03 10:58:29 2016	1475485109	0	440	440	440
Mon Oct 03 10:58:26 2016	1475485106	0	440	440	440
Mon Oct 03 10:58:16 2016	1475485096	0	440	440	440
Mon Oct 03 10:58:24 2016	1475485104	0	442	442	442
Mon Oct 03 10:58:20 2016	1475485100	0	442	442	442
Mon Oct 03 10:58:30 2016	1475485110	0	444	444	444
Mon Oct 03 10:58:22 2016	1475485102	0	445	445	445
Mon Oct 03 10:58:27 2016	1475485107	0	447	447	447
Mon Oct 03 10:59:06 2016	1475485146	0	448	448	448
Mon Oct 03 10:58:19 2016	1475485099	0	449	449	448
Mon Oct 03 10:58:16 2016	1475485096	0	449	449	448
Mon Oct 03 10:58:28 2016	1475485108	0	450	450	449
Mon Oct 03 10:58:21 2016	1475485101	0	450	450	449
Mon Oct 03 10:58:20 2016	1475485100	0	450	450	450
Mon Oct 03 10:58:24 2016	1475485104	0	450	450	450
Mon Oct 03 10:58:13 2016	1475485093	0	451	451	450
Mon Oct 03 10:58:16 2016	1475485096	0	451	451	451
Mon Oct 03 10:59:03 2016	1475485143	0	451	451	451
Mon Oct 03 10:58:17 2016	1475485097	0	452	452	452
Mon Oct 03 10:58:15 2016	1475485095	0	452	452	452
Mon Oct 03 10:58:12 2016	1475485092	0	453	453	452
Mon Oct 03 10:58:19 2016	1475485099	0	453	453	453
Mon Oct 03 10:58:29 2016	1475485109	0	453	453	453
Mon Oct 03 10:58:27 2016	1475485107	0	454	454	454
Mon Oct 03 10:58:15 2016	1475485095	0	454	454	454
Mon Oct 03 10:58:20 2016	1475485100	0	455	455	454
Mon Oct 03 10:58:16 2016	1475485096	0	455	455	454
Mon Oct 03 10:58:44 2016	1475485124	0	455	455	455
Mon Oct 03 10:58:43 2016	1475485123	0	456	456	453
Mon Oct 03 10:58:19 2016	1475485099	0	456	456	456
Mon Oct 03 10:58:24 2016	1475485104	0	457	457	457
