starttime	seconds	ctime	dtime	ttime	wait
Mon Oct 03 11:07:06 2016	1475485626	0	253	253	253
Mon Oct 03 11:07:06 2016	1475485626	0	264	264	263
Mon Oct 03 11:07:08 2016	1475485628	0	265	265	264
Mon Oct 03 11:07:10 2016	1475485630	0	265	265	264
Mon Oct 03 11:07:08 2016	1475485628	0	267	267	267
Mon Oct 03 11:07:12 2016	1475485632	0	267	268	267
Mon Oct 03 11:07:13 2016	1475485633	0	270	270	270
Mon Oct 03 11:07:05 2016	1475485625	0	270	270	270
Mon Oct 03 11:07:07 2016	1475485627	0	271	271	271
Mon Oct 03 11:07:06 2016	1475485626	0	272	272	272
Mon Oct 03 11:07:08 2016	1475485628	0	272	272	272
Mon Oct 03 11:07:13 2016	1475485633	0	272	272	272
Mon Oct 03 11:07:09 2016	1475485629	0	273	273	273
Mon Oct 03 11:07:09 2016	1475485629	0	274	274	274
Mon Oct 03 11:07:12 2016	1475485632	0	275	275	275
Mon Oct 03 11:07:07 2016	1475485627	0	276	276	276
Mon Oct 03 11:07:07 2016	1475485627	0	277	277	276
Mon Oct 03 11:07:09 2016	1475485629	0	277	277	277
Mon Oct 03 11:07:08 2016	1475485628	0	277	277	277
Mon Oct 03 11:07:05 2016	1475485625	1	276	278	276
Mon Oct 03 11:07:06 2016	1475485626	0	279	279	279
Mon Oct 03 11:07:10 2016	1475485630	0	279	279	279
Mon Oct 03 11:07:06 2016	1475485626	0	279	279	279
Mon Oct 03 11:07:09 2016	1475485629	0	279	279	279
Mon Oct 03 11:07:05 2016	1475485625	0	279	280	279
Mon Oct 03 11:07:05 2016	1475485625	0	280	280	279
Mon Oct 03 11:07:13 2016	1475485633	0	280	280	280
Mon Oct 03 11:07:09 2016	1475485629	0	280	281	280
Mon Oct 03 11:07:12 2016	1475485632	0	281	281	280
Mon Oct 03 11:07:05 2016	1475485625	0	281	281	281
Mon Oct 03 11:07:07 2016	1475485627	0	281	281	281
Mon Oct 03 11:07:12 2016	1475485632	0	282	282	281
Mon Oct 03 11:07:06 2016	1475485626	0	284	284	283
Mon Oct 03 11:07:05 2016	1475485625	0	284	284	284
Mon Oct 03 11:07:10 2016	1475485630	0	285	285	284
Mon Oct 03 11:07:07 2016	1475485627	0	285	285	285
Mon Oct 03 11:07:11 2016	1475485631	0	285	285	285
Mon Oct 03 11:07:05 2016	1475485625	5	280	285	280
Mon Oct 03 11:07:09 2016	1475485629	0	286	286	285
Mon Oct 03 11:07:13 2016	1475485633	0	286	286	285
Mon Oct 03 11:07:08 2016	1475485628	0	286	286	286
Mon Oct 03 11:07:10 2016	1475485630	0	286	286	286
Mon Oct 03 11:07:21 2016	1475485641	0	286	287	286
Mon Oct 03 11:07:11 2016	1475485631	0	287	287	286
Mon Oct 03 11:07:12 2016	1475485632	0	287	287	287
Mon Oct 03 11:07:08 2016	1475485628	0	287	287	287
Mon Oct 03 11:07:08 2016	1475485628	0	287	287	287
Mon Oct 03 11:07:21 2016	1475485641	0	287	287	287
Mon Oct 03 11:07:11 2016	1475485631	0	287	288	287
Mon Oct 03 11:07:10 2016	1475485630	0	288	288	288
Mon Oct 03 11:07:08 2016	1475485628	0	288	288	288
Mon Oct 03 11:07:15 2016	1475485635	0	288	288	288
Mon Oct 03 11:07:23 2016	1475485643	0	289	289	288
Mon Oct 03 11:07:17 2016	1475485637	0	289	289	289
Mon Oct 03 11:07:11 2016	1475485631	0	290	290	289
Mon Oct 03 11:07:09 2016	1475485629	0	290	290	290
Mon Oct 03 11:07:09 2016	1475485629	0	290	290	290
Mon Oct 03 11:07:07 2016	1475485627	0	290	290	290
Mon Oct 03 11:07:13 2016	1475485633	0	290	290	290
Mon Oct 03 11:07:07 2016	1475485627	0	290	290	290
Mon Oct 03 11:07:09 2016	1475485629	0	291	291	291
Mon Oct 03 11:07:12 2016	1475485632	0	291	291	291
Mon Oct 03 11:07:09 2016	1475485629	0	292	292	292
Mon Oct 03 11:07:08 2016	1475485628	0	292	292	292
Mon Oct 03 11:07:07 2016	1475485627	0	292	292	292
Mon Oct 03 11:07:18 2016	1475485638	0	292	292	292
Mon Oct 03 11:07:10 2016	1475485630	0	293	293	293
Mon Oct 03 11:07:10 2016	1475485630	0	293	293	293
Mon Oct 03 11:07:11 2016	1475485631	0	294	294	293
Mon Oct 03 11:07:19 2016	1475485639	0	294	294	294
Mon Oct 03 11:07:19 2016	1475485639	0	294	294	294
Mon Oct 03 11:07:05 2016	1475485625	2	292	294	291
Mon Oct 03 11:07:13 2016	1475485633	0	295	295	294
Mon Oct 03 11:07:10 2016	1475485630	0	295	295	295
Mon Oct 03 11:07:32 2016	1475485652	0	295	295	295
Mon Oct 03 11:07:23 2016	1475485643	0	296	296	295
Mon Oct 03 11:07:10 2016	1475485630	0	296	296	295
Mon Oct 03 11:07:08 2016	1475485628	0	296	296	296
Mon Oct 03 11:07:21 2016	1475485641	0	297	297	297
Mon Oct 03 11:07:06 2016	1475485626	0	297	297	297
Mon Oct 03 11:07:18 2016	1475485638	0	298	298	297
Mon Oct 03 11:07:13 2016	1475485633	0	298	298	298
Mon Oct 03 11:07:19 2016	1475485639	0	298	298	298
Mon Oct 03 11:07:11 2016	1475485631	0	298	298	298
Mon Oct 03 11:07:15 2016	1475485635	0	298	298	298
Mon Oct 03 11:07:07 2016	1475485627	0	299	299	298
Mon Oct 03 11:07:12 2016	1475485632	0	299	299	299
Mon Oct 03 11:07:09 2016	1475485629	0	299	299	299
Mon Oct 03 11:07:06 2016	1475485626	0	299	299	299
Mon Oct 03 11:07:23 2016	1475485643	0	300	300	299
Mon Oct 03 11:07:17 2016	1475485637	0	300	300	300
Mon Oct 03 11:07:12 2016	1475485632	0	300	300	300
Mon Oct 03 11:07:12 2016	1475485632	0	300	300	299
Mon Oct 03 11:07:17 2016	1475485637	0	300	300	300
Mon Oct 03 11:07:07 2016	1475485627	0	300	300	300
Mon Oct 03 11:07:12 2016	1475485632	0	301	301	300
Mon Oct 03 11:07:14 2016	1475485634	0	301	301	300
Mon Oct 03 11:07:10 2016	1475485630	0	301	301	301
Mon Oct 03 11:07:07 2016	1475485627	0	302	302	301
Mon Oct 03 11:07:09 2016	1475485629	0	302	302	302
Mon Oct 03 11:07:09 2016	1475485629	0	302	302	302
Mon Oct 03 11:07:05 2016	1475485625	1	301	302	300
Mon Oct 03 11:07:18 2016	1475485638	0	302	302	302
Mon Oct 03 11:07:22 2016	1475485642	0	302	302	302
Mon Oct 03 11:07:09 2016	1475485629	0	303	303	303
Mon Oct 03 11:07:30 2016	1475485650	0	303	303	303
Mon Oct 03 11:07:33 2016	1475485653	0	303	303	303
Mon Oct 03 11:07:10 2016	1475485630	0	303	303	303
Mon Oct 03 11:07:33 2016	1475485653	0	304	304	303
Mon Oct 03 11:07:27 2016	1475485647	0	304	304	304
Mon Oct 03 11:07:09 2016	1475485629	0	304	304	304
Mon Oct 03 11:07:14 2016	1475485634	0	304	304	304
Mon Oct 03 11:07:12 2016	1475485632	0	304	304	304
Mon Oct 03 11:07:06 2016	1475485626	0	304	304	304
Mon Oct 03 11:07:18 2016	1475485638	0	305	305	304
Mon Oct 03 11:07:07 2016	1475485627	0	305	305	305
Mon Oct 03 11:07:12 2016	1475485632	0	305	305	305
Mon Oct 03 11:07:06 2016	1475485626	0	306	306	306
Mon Oct 03 11:07:23 2016	1475485643	0	306	306	306
Mon Oct 03 11:07:08 2016	1475485628	0	307	307	307
Mon Oct 03 11:07:21 2016	1475485641	0	307	307	307
Mon Oct 03 11:07:05 2016	1475485625	3	304	307	303
Mon Oct 03 11:07:08 2016	1475485628	0	307	308	307
Mon Oct 03 11:07:30 2016	1475485650	0	308	308	308
Mon Oct 03 11:07:10 2016	1475485630	0	308	308	308
Mon Oct 03 11:07:23 2016	1475485643	0	308	308	308
Mon Oct 03 11:07:18 2016	1475485638	0	309	309	308
Mon Oct 03 11:07:14 2016	1475485634	0	309	309	308
Mon Oct 03 11:07:20 2016	1475485640	0	309	309	308
Mon Oct 03 11:07:27 2016	1475485647	0	309	309	309
Mon Oct 03 11:07:20 2016	1475485640	0	309	309	309
Mon Oct 03 11:07:14 2016	1475485634	0	310	310	309
Mon Oct 03 11:07:21 2016	1475485641	0	310	310	309
Mon Oct 03 11:07:07 2016	1475485627	0	310	310	310
Mon Oct 03 11:07:10 2016	1475485630	0	310	310	310
Mon Oct 03 11:07:12 2016	1475485632	0	310	310	310
Mon Oct 03 11:07:06 2016	1475485626	0	310	310	310
Mon Oct 03 11:07:19 2016	1475485639	0	311	311	311
Mon Oct 03 11:07:29 2016	1475485649	0	311	311	311
Mon Oct 03 11:07:10 2016	1475485630	0	311	311	311
Mon Oct 03 11:07:15 2016	1475485635	0	311	311	311
Mon Oct 03 11:07:41 2016	1475485661	0	312	312	311
Mon Oct 03 11:07:19 2016	1475485639	0	312	312	312
Mon Oct 03 11:07:13 2016	1475485633	0	312	312	311
Mon Oct 03 11:07:16 2016	1475485636	0	312	312	312
Mon Oct 03 11:07:21 2016	1475485641	0	312	312	312
Mon Oct 03 11:07:17 2016	1475485637	0	312	312	312
Mon Oct 03 11:07:11 2016	1475485631	0	313	313	312
Mon Oct 03 11:07:10 2016	1475485630	0	313	313	312
Mon Oct 03 11:07:27 2016	1475485647	0	313	313	312
Mon Oct 03 11:07:11 2016	1475485631	0	313	313	313
Mon Oct 03 11:07:15 2016	1475485635	0	313	313	313
Mon Oct 03 11:07:17 2016	1475485637	0	314	314	313
Mon Oct 03 11:07:22 2016	1475485642	0	314	314	313
Mon Oct 03 11:07:07 2016	1475485627	0	314	314	314
Mon Oct 03 11:07:21 2016	1475485641	0	314	314	314
Mon Oct 03 11:07:13 2016	1475485633	0	314	314	314
Mon Oct 03 11:07:29 2016	1475485649	0	315	315	314
Mon Oct 03 11:07:16 2016	1475485636	0	315	315	314
Mon Oct 03 11:07:10 2016	1475485630	0	315	315	315
Mon Oct 03 11:07:14 2016	1475485634	0	315	315	315
Mon Oct 03 11:07:14 2016	1475485634	0	315	315	315
Mon Oct 03 11:07:32 2016	1475485652	0	315	315	315
Mon Oct 03 11:07:13 2016	1475485633	0	315	315	315
Mon Oct 03 11:07:11 2016	1475485631	0	316	316	315
Mon Oct 03 11:07:13 2016	1475485633	0	316	316	315
Mon Oct 03 11:07:13 2016	1475485633	0	316	316	316
Mon Oct 03 11:07:05 2016	1475485625	0	316	316	316
Mon Oct 03 11:07:15 2016	1475485635	0	317	317	316
Mon Oct 03 11:07:11 2016	1475485631	0	317	317	317
Mon Oct 03 11:07:06 2016	1475485626	0	317	317	317
Mon Oct 03 11:07:23 2016	1475485643	0	317	317	317
Mon Oct 03 11:07:12 2016	1475485632	0	317	317	317
Mon Oct 03 11:07:39 2016	1475485659	0	318	318	318
Mon Oct 03 11:07:23 2016	1475485643	0	318	318	318
Mon Oct 03 11:07:17 2016	1475485637	0	318	318	318
Mon Oct 03 11:07:12 2016	1475485632	0	318	318	318
Mon Oct 03 11:07:23 2016	1475485643	0	318	319	318
Mon Oct 03 11:07:27 2016	1475485647	0	319	319	318
Mon Oct 03 11:07:26 2016	1475485646	0	319	319	318
Mon Oct 03 11:07:06 2016	1475485626	0	319	319	319
Mon Oct 03 11:07:34 2016	1475485654	0	319	319	318
Mon Oct 03 11:07:21 2016	1475485641	0	319	319	319
Mon Oct 03 11:07:21 2016	1475485641	0	319	319	319
Mon Oct 03 11:07:09 2016	1475485629	0	319	319	319
Mon Oct 03 11:07:23 2016	1475485643	0	319	319	319
Mon Oct 03 11:07:12 2016	1475485632	0	319	319	319
Mon Oct 03 11:07:06 2016	1475485626	0	320	320	319
Mon Oct 03 11:07:10 2016	1475485630	0	320	320	320
Mon Oct 03 11:07:13 2016	1475485633	0	320	320	320
Mon Oct 03 11:07:18 2016	1475485638	0	320	320	318
Mon Oct 03 11:07:08 2016	1475485628	0	320	320	320
Mon Oct 03 11:07:21 2016	1475485641	0	321	321	320
Mon Oct 03 11:07:29 2016	1475485649	0	321	321	320
Mon Oct 03 11:07:42 2016	1475485662	0	321	321	321
Mon Oct 03 11:07:20 2016	1475485640	0	321	321	321
Mon Oct 03 11:07:08 2016	1475485628	0	321	321	321
Mon Oct 03 11:07:38 2016	1475485658	0	321	321	321
Mon Oct 03 11:07:23 2016	1475485643	0	321	321	321
Mon Oct 03 11:07:27 2016	1475485647	0	322	322	321
Mon Oct 03 11:07:14 2016	1475485634	0	322	322	322
Mon Oct 03 11:07:08 2016	1475485628	0	322	322	322
Mon Oct 03 11:07:23 2016	1475485643	0	322	322	322
Mon Oct 03 11:07:34 2016	1475485654	0	322	322	322
Mon Oct 03 11:07:05 2016	1475485625	0	323	323	322
Mon Oct 03 11:07:36 2016	1475485656	0	323	323	322
Mon Oct 03 11:07:39 2016	1475485659	0	323	323	322
Mon Oct 03 11:07:11 2016	1475485631	0	323	323	322
Mon Oct 03 11:07:24 2016	1475485644	0	323	323	322
