starttime	seconds	ctime	dtime	ttime	wait
Mon Oct 03 11:05:25 2016	1475485525	0	275	275	275
Mon Oct 03 11:05:24 2016	1475485524	0	277	277	277
Mon Oct 03 11:05:26 2016	1475485526	0	279	279	278
Mon Oct 03 11:05:26 2016	1475485526	0	279	279	279
Mon Oct 03 11:05:27 2016	1475485527	0	282	282	282
Mon Oct 03 11:05:26 2016	1475485526	0	283	283	283
Mon Oct 03 11:05:23 2016	1475485523	0	285	285	285
Mon Oct 03 11:05:21 2016	1475485521	0	285	285	285
Mon Oct 03 11:05:22 2016	1475485522	0	286	286	286
Mon Oct 03 11:05:26 2016	1475485526	0	288	288	288
Mon Oct 03 11:05:23 2016	1475485523	0	288	288	288
Mon Oct 03 11:05:22 2016	1475485522	0	288	289	288
Mon Oct 03 11:05:22 2016	1475485522	0	289	289	289
Mon Oct 03 11:05:22 2016	1475485522	0	290	290	290
Mon Oct 03 11:05:24 2016	1475485524	0	291	292	291
Mon Oct 03 11:05:26 2016	1475485526	0	294	294	294
Mon Oct 03 11:05:27 2016	1475485527	0	294	294	294
Mon Oct 03 11:05:27 2016	1475485527	0	294	294	293
Mon Oct 03 11:05:23 2016	1475485523	0	295	295	294
Mon Oct 03 11:05:26 2016	1475485526	0	295	295	295
Mon Oct 03 11:05:25 2016	1475485525	0	296	296	296
Mon Oct 03 11:05:27 2016	1475485527	0	296	296	296
Mon Oct 03 11:05:26 2016	1475485526	0	298	298	298
Mon Oct 03 11:05:24 2016	1475485524	0	299	299	299
Mon Oct 03 11:05:22 2016	1475485522	0	300	300	300
Mon Oct 03 11:05:25 2016	1475485525	0	300	300	300
Mon Oct 03 11:05:23 2016	1475485523	0	300	300	300
Mon Oct 03 11:05:22 2016	1475485522	0	300	300	300
Mon Oct 03 11:05:22 2016	1475485522	0	300	300	300
Mon Oct 03 11:05:27 2016	1475485527	0	301	301	301
Mon Oct 03 11:05:27 2016	1475485527	0	302	302	302
Mon Oct 03 11:05:28 2016	1475485528	0	305	305	304
Mon Oct 03 11:05:23 2016	1475485523	0	305	305	305
Mon Oct 03 11:05:28 2016	1475485528	0	305	305	305
Mon Oct 03 11:05:21 2016	1475485521	1	305	306	304
Mon Oct 03 11:05:25 2016	1475485525	0	306	306	306
Mon Oct 03 11:05:24 2016	1475485524	0	306	307	306
Mon Oct 03 11:05:25 2016	1475485525	0	307	307	307
Mon Oct 03 11:05:24 2016	1475485524	0	308	308	307
Mon Oct 03 11:05:21 2016	1475485521	0	308	308	308
Mon Oct 03 11:05:28 2016	1475485528	0	308	308	308
Mon Oct 03 11:05:27 2016	1475485527	0	309	309	309
Mon Oct 03 11:05:25 2016	1475485525	0	311	311	310
Mon Oct 03 11:05:28 2016	1475485528	0	311	311	311
Mon Oct 03 11:05:22 2016	1475485522	0	312	312	312
Mon Oct 03 11:05:25 2016	1475485525	0	313	313	313
Mon Oct 03 11:05:28 2016	1475485528	0	314	314	313
Mon Oct 03 11:05:24 2016	1475485524	0	314	314	314
Mon Oct 03 11:05:28 2016	1475485528	0	314	314	314
Mon Oct 03 11:05:23 2016	1475485523	0	315	315	315
Mon Oct 03 11:05:27 2016	1475485527	0	315	315	315
Mon Oct 03 11:05:22 2016	1475485522	0	316	316	316
Mon Oct 03 11:05:23 2016	1475485523	0	317	317	317
Mon Oct 03 11:05:23 2016	1475485523	0	318	318	317
Mon Oct 03 11:05:21 2016	1475485521	1	317	318	317
Mon Oct 03 11:05:25 2016	1475485525	0	318	318	318
Mon Oct 03 11:05:28 2016	1475485528	0	318	318	318
Mon Oct 03 11:05:21 2016	1475485521	3	318	320	317
Mon Oct 03 11:05:21 2016	1475485521	0	320	320	320
Mon Oct 03 11:05:27 2016	1475485527	0	321	321	321
Mon Oct 03 11:05:21 2016	1475485521	0	321	321	320
Mon Oct 03 11:05:27 2016	1475485527	0	321	321	321
Mon Oct 03 11:05:28 2016	1475485528	0	322	322	322
Mon Oct 03 11:05:31 2016	1475485531	0	322	322	322
Mon Oct 03 11:05:22 2016	1475485522	0	323	323	323
Mon Oct 03 11:05:23 2016	1475485523	0	323	323	323
Mon Oct 03 11:05:23 2016	1475485523	0	324	324	324
Mon Oct 03 11:05:25 2016	1475485525	0	324	324	324
Mon Oct 03 11:05:26 2016	1475485526	0	325	325	324
Mon Oct 03 11:05:27 2016	1475485527	0	326	326	326
Mon Oct 03 11:05:35 2016	1475485535	0	326	326	326
Mon Oct 03 11:05:28 2016	1475485528	0	327	327	327
Mon Oct 03 11:05:33 2016	1475485533	0	328	328	327
Mon Oct 03 11:05:26 2016	1475485526	0	328	328	328
Mon Oct 03 11:05:26 2016	1475485526	0	329	329	328
Mon Oct 03 11:05:23 2016	1475485523	0	329	329	329
Mon Oct 03 11:05:27 2016	1475485527	0	329	329	329
Mon Oct 03 11:05:26 2016	1475485526	0	329	329	329
Mon Oct 03 11:05:28 2016	1475485528	0	329	329	329
Mon Oct 03 11:05:23 2016	1475485523	0	330	330	330
Mon Oct 03 11:05:26 2016	1475485526	0	330	330	330
Mon Oct 03 11:05:21 2016	1475485521	0	330	330	330
Mon Oct 03 11:05:31 2016	1475485531	0	331	331	330
Mon Oct 03 11:05:26 2016	1475485526	0	331	331	330
Mon Oct 03 11:05:42 2016	1475485542	0	331	331	331
Mon Oct 03 11:05:35 2016	1475485535	0	331	331	331
Mon Oct 03 11:05:31 2016	1475485531	0	331	331	331
Mon Oct 03 11:05:23 2016	1475485523	0	331	331	331
Mon Oct 03 11:05:33 2016	1475485533	0	332	332	332
Mon Oct 03 11:05:52 2016	1475485552	0	332	332	332
Mon Oct 03 11:05:26 2016	1475485526	0	332	332	332
Mon Oct 03 11:05:41 2016	1475485541	0	332	332	332
Mon Oct 03 11:05:23 2016	1475485523	0	333	333	333
Mon Oct 03 11:05:27 2016	1475485527	0	333	333	333
Mon Oct 03 11:05:32 2016	1475485532	0	334	334	334
Mon Oct 03 11:05:35 2016	1475485535	0	334	334	334
Mon Oct 03 11:05:27 2016	1475485527	0	334	334	334
Mon Oct 03 11:05:25 2016	1475485525	0	334	334	334
Mon Oct 03 11:05:23 2016	1475485523	0	334	335	334
Mon Oct 03 11:05:31 2016	1475485531	0	335	335	335
Mon Oct 03 11:05:32 2016	1475485532	0	335	335	335
Mon Oct 03 11:05:21 2016	1475485521	0	336	336	335
Mon Oct 03 11:05:36 2016	1475485536	0	337	337	336
Mon Oct 03 11:05:26 2016	1475485526	0	337	337	336
Mon Oct 03 11:05:30 2016	1475485530	0	337	337	337
Mon Oct 03 11:05:27 2016	1475485527	0	338	338	338
Mon Oct 03 11:05:31 2016	1475485531	0	338	338	338
Mon Oct 03 11:05:25 2016	1475485525	0	338	338	338
Mon Oct 03 11:05:31 2016	1475485531	0	339	339	339
Mon Oct 03 11:05:25 2016	1475485525	0	339	339	339
Mon Oct 03 11:05:35 2016	1475485535	0	339	339	339
Mon Oct 03 11:05:28 2016	1475485528	0	339	339	339
Mon Oct 03 11:05:55 2016	1475485555	0	339	339	339
Mon Oct 03 11:05:27 2016	1475485527	0	340	340	340
Mon Oct 03 11:05:35 2016	1475485535	0	341	341	341
Mon Oct 03 11:05:31 2016	1475485531	0	341	341	341
Mon Oct 03 11:05:36 2016	1475485536	0	341	341	341
Mon Oct 03 11:05:37 2016	1475485537	0	342	342	341
Mon Oct 03 11:05:43 2016	1475485543	0	342	342	341
Mon Oct 03 11:05:32 2016	1475485532	0	342	342	342
Mon Oct 03 11:05:30 2016	1475485530	0	343	343	342
Mon Oct 03 11:05:23 2016	1475485523	0	343	343	343
Mon Oct 03 11:05:21 2016	1475485521	6	337	343	336
Mon Oct 03 11:05:33 2016	1475485533	0	343	343	343
Mon Oct 03 11:05:21 2016	1475485521	0	344	344	343
Mon Oct 03 11:05:26 2016	1475485526	0	344	344	344
Mon Oct 03 11:05:53 2016	1475485553	0	344	344	344
Mon Oct 03 11:05:56 2016	1475485556	0	345	345	344
Mon Oct 03 11:05:25 2016	1475485525	0	345	345	344
Mon Oct 03 11:05:57 2016	1475485557	0	346	346	345
Mon Oct 03 11:05:47 2016	1475485547	0	346	346	346
Mon Oct 03 11:05:41 2016	1475485541	0	347	347	346
Mon Oct 03 11:05:22 2016	1475485522	0	347	347	347
Mon Oct 03 11:05:22 2016	1475485522	0	347	347	347
Mon Oct 03 11:05:41 2016	1475485541	0	347	347	347
Mon Oct 03 11:05:30 2016	1475485530	0	347	347	347
Mon Oct 03 11:05:33 2016	1475485533	0	347	347	347
Mon Oct 03 11:05:24 2016	1475485524	0	348	348	347
Mon Oct 03 11:05:56 2016	1475485556	0	348	348	347
Mon Oct 03 11:05:50 2016	1475485550	0	349	349	348
Mon Oct 03 11:05:35 2016	1475485535	0	349	349	349
Mon Oct 03 11:05:30 2016	1475485530	0	349	349	349
Mon Oct 03 11:05:39 2016	1475485539	0	349	349	349
Mon Oct 03 11:05:59 2016	1475485559	0	350	350	350
Mon Oct 03 11:05:23 2016	1475485523	0	350	350	350
Mon Oct 03 11:05:24 2016	1475485524	0	350	350	350
Mon Oct 03 11:05:32 2016	1475485532	0	350	350	350
Mon Oct 03 11:05:57 2016	1475485557	0	350	350	350
Mon Oct 03 11:05:24 2016	1475485524	0	350	350	350
Mon Oct 03 11:05:30 2016	1475485530	0	351	351	351
Mon Oct 03 11:05:34 2016	1475485534	0	351	351	351
Mon Oct 03 11:05:45 2016	1475485545	0	351	351	351
Mon Oct 03 11:05:37 2016	1475485537	0	351	352	351
Mon Oct 03 11:05:49 2016	1475485549	0	352	352	351
Mon Oct 03 11:05:32 2016	1475485532	0	352	352	351
Mon Oct 03 11:05:48 2016	1475485548	0	352	352	351
Mon Oct 03 11:05:38 2016	1475485538	0	352	352	352
Mon Oct 03 11:05:22 2016	1475485522	0	352	352	352
Mon Oct 03 11:05:41 2016	1475485541	0	352	352	352
Mon Oct 03 11:05:42 2016	1475485542	0	353	353	352
Mon Oct 03 11:05:25 2016	1475485525	0	353	353	353
Mon Oct 03 11:05:30 2016	1475485530	0	353	354	353
Mon Oct 03 11:05:55 2016	1475485555	0	354	354	354
Mon Oct 03 11:05:45 2016	1475485545	0	354	354	354
Mon Oct 03 11:05:34 2016	1475485534	0	354	354	354
Mon Oct 03 11:05:55 2016	1475485555	0	355	355	355
Mon Oct 03 11:05:42 2016	1475485542	0	355	355	355
Mon Oct 03 11:05:26 2016	1475485526	0	356	356	355
Mon Oct 03 11:05:51 2016	1475485551	0	356	356	356
Mon Oct 03 11:05:48 2016	1475485548	0	357	357	357
Mon Oct 03 11:05:21 2016	1475485521	0	357	357	357
Mon Oct 03 11:05:35 2016	1475485535	0	357	358	357
Mon Oct 03 11:05:48 2016	1475485548	0	358	358	357
Mon Oct 03 11:05:35 2016	1475485535	0	358	358	357
Mon Oct 03 11:05:33 2016	1475485533	0	358	358	358
Mon Oct 03 11:05:27 2016	1475485527	0	358	358	358
Mon Oct 03 11:05:21 2016	1475485521	7	352	358	351
Mon Oct 03 11:05:38 2016	1475485538	0	359	359	358
Mon Oct 03 11:05:23 2016	1475485523	0	359	359	359
Mon Oct 03 11:05:33 2016	1475485533	0	359	359	359
Mon Oct 03 11:05:23 2016	1475485523	0	359	359	359
Mon Oct 03 11:05:28 2016	1475485528	0	359	359	359
Mon Oct 03 11:05:24 2016	1475485524	0	359	359	359
Mon Oct 03 11:05:38 2016	1475485538	0	359	359	359
Mon Oct 03 11:06:04 2016	1475485564	0	359	359	359
Mon Oct 03 11:05:46 2016	1475485546	0	359	359	359
Mon Oct 03 11:05:40 2016	1475485540	0	360	360	359
Mon Oct 03 11:05:33 2016	1475485533	0	360	360	359
Mon Oct 03 11:05:24 2016	1475485524	0	360	360	360
Mon Oct 03 11:05:24 2016	1475485524	0	360	360	360
Mon Oct 03 11:06:00 2016	1475485560	0	360	360	360
Mon Oct 03 11:05:38 2016	1475485538	0	361	361	360
Mon Oct 03 11:05:22 2016	1475485522	0	361	361	361
Mon Oct 03 11:05:49 2016	1475485549	0	361	361	361
Mon Oct 03 11:05:57 2016	1475485557	0	361	361	361
Mon Oct 03 11:05:46 2016	1475485546	0	361	361	361
Mon Oct 03 11:05:40 2016	1475485540	0	361	361	361
Mon Oct 03 11:05:41 2016	1475485541	0	362	362	361
Mon Oct 03 11:05:58 2016	1475485558	0	362	362	361
Mon Oct 03 11:05:31 2016	1475485531	0	362	362	362
Mon Oct 03 11:05:49 2016	1475485549	0	362	362	362
Mon Oct 03 11:05:26 2016	1475485526	0	362	362	362
Mon Oct 03 11:05:24 2016	1475485524	0	363	363	362
Mon Oct 03 11:06:00 2016	1475485560	0	363	363	363
Mon Oct 03 11:05:41 2016	1475485541	0	363	363	363
Mon Oct 03 11:05:51 2016	1475485551	0	363	363	363
Mon Oct 03 11:05:33 2016	1475485533	0	364	364	363
Mon Oct 03 11:05:35 2016	1475485535	0	364	364	364
Mon Oct 03 11:05:38 2016	1475485538	0	364	364	364
Mon Oct 03 11:05:30 2016	1475485530	0	364	364	364
Mon Oct 03 11:05:36 2016	1475485536	0	364	364	364
Mon Oct 03 11:05:49 2016	1475485549	0	364	364	364
Mon Oct 03 11:05:40 2016	1475485540	0	364	364	364
Mon Oct 03 11:05:56 2016	1475485556	0	365	365	364
Mon Oct 03 11:05:32 2016	1475485532	0	365	365	364
Mon Oct 03 11:05:42 2016	1475485542	0	365	365	365
Mon Oct 03 11:05:55 2016	1475485555	0	366	366	365
Mon Oct 03 11:05:43 2016	1475485543	0	366	366	366
Mon Oct 03 11:05:22 2016	1475485522	0	366	366	366
Mon Oct 03 11:05:52 2016	1475485552	0	366	366	366
Mon Oct 03 11:05:34 2016	1475485534	0	366	366	366
Mon Oct 03 11:05:45 2016	1475485545	0	366	366	366
Mon Oct 03 11:05:59 2016	1475485559	0	366	366	366
Mon Oct 03 11:05:55 2016	1475485555	0	366	366	366
Mon Oct 03 11:05:51 2016	1475485551	0	367	367	366
Mon Oct 03 11:06:03 2016	1475485563	0	367	367	366
Mon Oct 03 11:05:47 2016	1475485547	0	367	367	366
Mon Oct 03 11:05:55 2016	1475485555	0	367	367	367
Mon Oct 03 11:05:38 2016	1475485538	0	367	367	367
Mon Oct 03 11:05:46 2016	1475485546	0	368	368	367
Mon Oct 03 11:05:45 2016	1475485545	0	368	368	367
Mon Oct 03 11:05:47 2016	1475485547	0	368	368	367
Mon Oct 03 11:05:44 2016	1475485544	0	368	368	367
Mon Oct 03 11:05:55 2016	1475485555	0	368	368	368
Mon Oct 03 11:05:52 2016	1475485552	0	368	368	368
Mon Oct 03 11:05:58 2016	1475485558	0	368	368	368
Mon Oct 03 11:05:34 2016	1475485534	0	368	369	368
Mon Oct 03 11:05:57 2016	1475485557	0	369	369	368
Mon Oct 03 11:05:50 2016	1475485550	0	369	369	369
Mon Oct 03 11:05:34 2016	1475485534	0	369	369	369
Mon Oct 03 11:05:55 2016	1475485555	0	369	369	369
Mon Oct 03 11:05:28 2016	1475485528	0	369	369	369
Mon Oct 03 11:05:28 2016	1475485528	0	369	369	369
Mon Oct 03 11:05:37 2016	1475485537	0	369	369	369
Mon Oct 03 11:05:41 2016	1475485541	0	369	370	369
Mon Oct 03 11:05:27 2016	1475485527	0	370	370	369
Mon Oct 03 11:05:47 2016	1475485547	0	370	370	370
Mon Oct 03 11:05:45 2016	1475485545	0	370	370	369
Mon Oct 03 11:05:58 2016	1475485558	0	370	370	369
Mon Oct 03 11:05:25 2016	1475485525	0	370	370	370
Mon Oct 03 11:05:37 2016	1475485537	0	370	370	370
Mon Oct 03 11:05:37 2016	1475485537	0	370	370	370
Mon Oct 03 11:05:48 2016	1475485548	0	370	370	370
Mon Oct 03 11:05:51 2016	1475485551	0	371	371	370
Mon Oct 03 11:05:23 2016	1475485523	0	371	371	371
Mon Oct 03 11:05:48 2016	1475485548	0	371	371	371
Mon Oct 03 11:05:25 2016	1475485525	0	371	371	371
Mon Oct 03 11:05:57 2016	1475485557	0	371	372	371
Mon Oct 03 11:05:54 2016	1475485554	0	371	372	371
Mon Oct 03 11:05:38 2016	1475485538	0	372	372	372
Mon Oct 03 11:05:53 2016	1475485553	0	372	372	372
Mon Oct 03 11:05:55 2016	1475485555	0	372	372	372
Mon Oct 03 11:05:37 2016	1475485537	0	372	372	372
Mon Oct 03 11:05:33 2016	1475485533	0	372	372	371
Mon Oct 03 11:05:37 2016	1475485537	0	372	372	372
Mon Oct 03 11:05:22 2016	1475485522	0	372	372	372
Mon Oct 03 11:05:32 2016	1475485532	0	372	372	372
Mon Oct 03 11:05:52 2016	1475485552	0	372	372	372
Mon Oct 03 11:05:38 2016	1475485538	0	373	373	373
Mon Oct 03 11:06:00 2016	1475485560	0	373	373	372
Mon Oct 03 11:06:00 2016	1475485560	0	373	373	373
Mon Oct 03 11:05:41 2016	1475485541	0	373	373	373
Mon Oct 03 11:05:40 2016	1475485540	0	373	373	373
Mon Oct 03 11:05:56 2016	1475485556	0	373	373	373
Mon Oct 03 11:05:37 2016	1475485537	0	374	374	373
Mon Oct 03 11:05:59 2016	1475485559	0	374	374	374
Mon Oct 03 11:05:44 2016	1475485544	0	374	374	374
Mon Oct 03 11:05:58 2016	1475485558	0	374	374	374
Mon Oct 03 11:05:49 2016	1475485549	0	375	375	374
Mon Oct 03 11:05:40 2016	1475485540	0	375	375	375
Mon Oct 03 11:06:01 2016	1475485561	0	375	375	375
Mon Oct 03 11:05:33 2016	1475485533	0	375	375	375
Mon Oct 03 11:05:56 2016	1475485556	0	375	375	375
Mon Oct 03 11:05:40 2016	1475485540	0	375	375	375
Mon Oct 03 11:05:45 2016	1475485545	0	375	375	375
Mon Oct 03 11:05:25 2016	1475485525	0	376	376	375
Mon Oct 03 11:05:51 2016	1475485551	0	376	376	375
Mon Oct 03 11:05:33 2016	1475485533	0	376	376	375
Mon Oct 03 11:05:35 2016	1475485535	0	376	376	375
Mon Oct 03 11:05:32 2016	1475485532	0	376	376	375
Mon Oct 03 11:05:33 2016	1475485533	0	376	376	375
Mon Oct 03 11:05:59 2016	1475485559	0	376	376	376
Mon Oct 03 11:05:42 2016	1475485542	0	376	376	376
Mon Oct 03 11:05:35 2016	1475485535	0	376	376	376
Mon Oct 03 11:05:35 2016	1475485535	0	376	376	376
Mon Oct 03 11:05:43 2016	1475485543	0	376	376	376
Mon Oct 03 11:05:22 2016	1475485522	0	377	377	376
Mon Oct 03 11:06:02 2016	1475485562	0	377	377	376
Mon Oct 03 11:05:38 2016	1475485538	0	377	377	377
Mon Oct 03 11:06:01 2016	1475485561	0	377	377	377
Mon Oct 03 11:05:30 2016	1475485530	0	377	377	377
Mon Oct 03 11:05:33 2016	1475485533	0	377	377	377
Mon Oct 03 11:06:03 2016	1475485563	0	377	377	377
Mon Oct 03 11:05:57 2016	1475485557	0	377	377	377
Mon Oct 03 11:05:44 2016	1475485544	0	377	377	377
Mon Oct 03 11:05:47 2016	1475485547	0	377	377	377
Mon Oct 03 11:05:22 2016	1475485522	0	377	377	376
Mon Oct 03 11:05:48 2016	1475485548	0	378	378	377
Mon Oct 03 11:05:34 2016	1475485534	0	378	378	378
Mon Oct 03 11:05:50 2016	1475485550	0	378	378	378
Mon Oct 03 11:05:26 2016	1475485526	0	378	378	378
Mon Oct 03 11:05:22 2016	1475485522	0	378	378	378
Mon Oct 03 11:05:44 2016	1475485544	0	378	378	378
Mon Oct 03 11:05:36 2016	1475485536	0	378	378	378
Mon Oct 03 11:05:27 2016	1475485527	0	379	379	378
Mon Oct 03 11:05:44 2016	1475485544	0	379	379	379
Mon Oct 03 11:05:59 2016	1475485559	0	379	379	379
Mon Oct 03 11:05:47 2016	1475485547	0	379	379	379
Mon Oct 03 11:05:55 2016	1475485555	0	379	379	379
Mon Oct 03 11:05:40 2016	1475485540	0	379	379	379
Mon Oct 03 11:05:42 2016	1475485542	0	379	379	379
