starttime	seconds	ctime	dtime	ttime	wait
Mon Oct 03 11:14:39 2016	1475486079	0	295	295	295
Mon Oct 03 11:14:39 2016	1475486079	0	296	296	296
Mon Oct 03 11:14:38 2016	1475486078	0	296	296	296
Mon Oct 03 11:14:38 2016	1475486078	0	296	296	296
Mon Oct 03 11:14:39 2016	1475486079	0	298	298	297
Mon Oct 03 11:14:42 2016	1475486082	0	298	298	298
Mon Oct 03 11:15:04 2016	1475486104	0	300	300	300
Mon Oct 03 11:14:40 2016	1475486080	0	300	300	300
Mon Oct 03 11:14:41 2016	1475486081	0	303	303	302
Mon Oct 03 11:14:41 2016	1475486081	0	303	303	302
Mon Oct 03 11:14:38 2016	1475486078	0	303	303	302
Mon Oct 03 11:14:40 2016	1475486080	0	303	303	303
Mon Oct 03 11:14:47 2016	1475486087	0	304	304	304
Mon Oct 03 11:14:38 2016	1475486078	0	305	305	305
Mon Oct 03 11:14:45 2016	1475486085	0	306	306	306
Mon Oct 03 11:14:41 2016	1475486081	0	307	307	306
Mon Oct 03 11:14:42 2016	1475486082	0	307	307	307
Mon Oct 03 11:14:45 2016	1475486085	0	308	308	308
Mon Oct 03 11:14:40 2016	1475486080	0	308	308	308
Mon Oct 03 11:14:45 2016	1475486085	0	308	308	308
Mon Oct 03 11:14:46 2016	1475486086	0	308	308	308
Mon Oct 03 11:14:42 2016	1475486082	0	310	310	309
Mon Oct 03 11:14:39 2016	1475486079	0	310	310	310
Mon Oct 03 11:14:44 2016	1475486084	0	310	311	310
Mon Oct 03 11:14:44 2016	1475486084	0	311	311	310
Mon Oct 03 11:14:39 2016	1475486079	0	311	311	311
Mon Oct 03 11:14:40 2016	1475486080	0	311	311	311
Mon Oct 03 11:14:41 2016	1475486081	0	312	312	312
Mon Oct 03 11:14:40 2016	1475486080	0	312	312	312
Mon Oct 03 11:14:42 2016	1475486082	0	313	313	313
Mon Oct 03 11:14:44 2016	1475486084	0	314	314	314
Mon Oct 03 11:14:39 2016	1475486079	0	315	315	314
Mon Oct 03 11:14:44 2016	1475486084	0	315	315	315
Mon Oct 03 11:14:48 2016	1475486088	0	316	316	316
Mon Oct 03 11:14:45 2016	1475486085	0	316	316	316
Mon Oct 03 11:14:49 2016	1475486089	0	317	317	314
Mon Oct 03 11:14:42 2016	1475486082	0	318	318	318
Mon Oct 03 11:14:40 2016	1475486080	0	318	318	318
Mon Oct 03 11:14:41 2016	1475486081	0	318	318	318
Mon Oct 03 11:14:48 2016	1475486088	0	320	320	319
Mon Oct 03 11:14:41 2016	1475486081	0	320	320	319
Mon Oct 03 11:14:45 2016	1475486085	0	320	321	320
Mon Oct 03 11:14:46 2016	1475486086	0	321	321	321
Mon Oct 03 11:14:46 2016	1475486086	0	321	321	321
Mon Oct 03 11:14:41 2016	1475486081	0	322	322	321
Mon Oct 03 11:14:45 2016	1475486085	0	323	323	322
Mon Oct 03 11:14:40 2016	1475486080	0	323	323	323
Mon Oct 03 11:14:41 2016	1475486081	0	323	323	323
Mon Oct 03 11:14:43 2016	1475486083	0	323	324	323
Mon Oct 03 11:14:55 2016	1475486095	0	324	324	323
Mon Oct 03 11:14:40 2016	1475486080	0	325	325	325
Mon Oct 03 11:14:39 2016	1475486079	0	325	325	325
Mon Oct 03 11:14:41 2016	1475486081	0	325	325	325
Mon Oct 03 11:15:00 2016	1475486100	0	325	325	325
Mon Oct 03 11:14:41 2016	1475486081	0	325	325	325
Mon Oct 03 11:14:46 2016	1475486086	0	326	326	325
Mon Oct 03 11:14:38 2016	1475486078	0	327	328	326
Mon Oct 03 11:14:39 2016	1475486079	0	328	328	328
Mon Oct 03 11:14:39 2016	1475486079	0	328	328	328
Mon Oct 03 11:14:43 2016	1475486083	0	329	329	328
Mon Oct 03 11:14:44 2016	1475486084	0	329	329	329
Mon Oct 03 11:14:39 2016	1475486079	0	329	329	328
Mon Oct 03 11:14:50 2016	1475486090	0	329	329	329
Mon Oct 03 11:14:41 2016	1475486081	0	330	330	330
Mon Oct 03 11:14:38 2016	1475486078	1	329	330	328
Mon Oct 03 11:15:18 2016	1475486118	0	330	330	330
Mon Oct 03 11:14:41 2016	1475486081	0	331	331	331
Mon Oct 03 11:14:46 2016	1475486086	0	331	331	331
Mon Oct 03 11:14:51 2016	1475486091	0	333	333	332
Mon Oct 03 11:14:40 2016	1475486080	0	333	333	332
Mon Oct 03 11:14:46 2016	1475486086	0	333	333	332
Mon Oct 03 11:14:51 2016	1475486091	0	333	333	333
Mon Oct 03 11:14:42 2016	1475486082	0	333	333	333
Mon Oct 03 11:14:46 2016	1475486086	0	333	333	333
Mon Oct 03 11:15:00 2016	1475486100	0	333	333	333
Mon Oct 03 11:14:40 2016	1475486080	0	334	334	334
Mon Oct 03 11:15:08 2016	1475486108	0	334	334	334
Mon Oct 03 11:15:00 2016	1475486100	0	335	335	334
Mon Oct 03 11:14:42 2016	1475486082	0	335	335	335
Mon Oct 03 11:15:08 2016	1475486108	0	335	335	335
Mon Oct 03 11:14:51 2016	1475486091	0	336	336	335
Mon Oct 03 11:14:51 2016	1475486091	0	336	336	336
Mon Oct 03 11:14:42 2016	1475486082	0	336	336	336
Mon Oct 03 11:14:46 2016	1475486086	0	337	337	336
Mon Oct 03 11:14:50 2016	1475486090	0	337	337	337
Mon Oct 03 11:15:20 2016	1475486120	0	337	337	337
Mon Oct 03 11:14:49 2016	1475486089	0	337	337	337
Mon Oct 03 11:14:38 2016	1475486078	6	332	338	332
Mon Oct 03 11:14:42 2016	1475486082	0	338	338	337
Mon Oct 03 11:14:40 2016	1475486080	0	338	338	338
Mon Oct 03 11:14:41 2016	1475486081	0	339	339	339
Mon Oct 03 11:15:20 2016	1475486120	0	340	340	339
Mon Oct 03 11:14:43 2016	1475486083	0	340	340	340
Mon Oct 03 11:14:48 2016	1475486088	0	340	340	340
Mon Oct 03 11:14:52 2016	1475486092	0	340	340	340
Mon Oct 03 11:14:53 2016	1475486093	0	340	340	340
Mon Oct 03 11:15:09 2016	1475486109	0	341	341	341
Mon Oct 03 11:14:45 2016	1475486085	0	341	341	341
Mon Oct 03 11:15:03 2016	1475486103	0	341	341	341
Mon Oct 03 11:14:49 2016	1475486089	0	342	342	342
Mon Oct 03 11:14:46 2016	1475486086	0	342	342	342
Mon Oct 03 11:14:45 2016	1475486085	0	343	343	342
Mon Oct 03 11:14:45 2016	1475486085	0	343	343	342
Mon Oct 03 11:14:55 2016	1475486095	0	343	343	342
Mon Oct 03 11:14:41 2016	1475486081	0	343	343	343
Mon Oct 03 11:14:40 2016	1475486080	0	344	344	344
