starttime	seconds	ctime	dtime	ttime	wait
Mon Oct 03 11:08:51 2016	1475485731	0	505	505	504
Mon Oct 03 11:08:46 2016	1475485726	0	505	505	505
Mon Oct 03 11:08:52 2016	1475485732	0	510	510	509
Mon Oct 03 11:08:51 2016	1475485731	0	516	516	515
Mon Oct 03 11:08:48 2016	1475485728	0	517	517	516
Mon Oct 03 11:08:51 2016	1475485731	0	518	518	518
Mon Oct 03 11:08:47 2016	1475485727	0	518	518	518
Mon Oct 03 11:08:46 2016	1475485726	0	525	525	524
Mon Oct 03 11:08:45 2016	1475485725	0	528	528	527
Mon Oct 03 11:10:01 2016	1475485801	0	530	530	530
Mon Oct 03 11:08:51 2016	1475485731	0	532	532	532
Mon Oct 03 11:08:50 2016	1475485730	0	533	534	533
Mon Oct 03 11:08:50 2016	1475485730	0	538	538	538
Mon Oct 03 11:08:48 2016	1475485728	0	538	538	538
Mon Oct 03 11:08:50 2016	1475485730	0	542	542	542
Mon Oct 03 11:08:49 2016	1475485729	0	543	543	543
Mon Oct 03 11:08:48 2016	1475485728	0	547	547	547
Mon Oct 03 11:08:48 2016	1475485728	0	547	547	547
Mon Oct 03 11:08:51 2016	1475485731	0	548	548	547
Mon Oct 03 11:08:47 2016	1475485727	0	549	549	549
Mon Oct 03 11:08:49 2016	1475485729	0	549	549	549
Mon Oct 03 11:08:48 2016	1475485728	0	550	550	549
Mon Oct 03 11:08:47 2016	1475485727	0	551	551	551
Mon Oct 03 11:08:50 2016	1475485730	0	552	552	551
Mon Oct 03 11:08:49 2016	1475485729	0	554	554	554
Mon Oct 03 11:08:49 2016	1475485729	0	558	558	557
Mon Oct 03 11:08:54 2016	1475485734	0	559	559	558
Mon Oct 03 11:08:55 2016	1475485735	0	560	560	559
Mon Oct 03 11:08:59 2016	1475485739	0	561	561	560
Mon Oct 03 11:08:58 2016	1475485738	0	562	562	562
Mon Oct 03 11:08:57 2016	1475485737	0	562	562	562
Mon Oct 03 11:08:50 2016	1475485730	0	566	566	566
Mon Oct 03 11:08:50 2016	1475485730	0	567	567	566
Mon Oct 03 11:08:53 2016	1475485733	0	567	567	567
Mon Oct 03 11:08:59 2016	1475485739	0	569	570	569
Mon Oct 03 11:09:01 2016	1475485741	0	570	570	569
Mon Oct 03 11:08:45 2016	1475485725	0	570	570	570
Mon Oct 03 11:08:45 2016	1475485725	0	571	571	570
Mon Oct 03 11:08:48 2016	1475485728	0	573	573	573
Mon Oct 03 11:08:51 2016	1475485731	0	575	575	574
Mon Oct 03 11:08:47 2016	1475485727	0	575	575	575
Mon Oct 03 11:09:06 2016	1475485746	0	575	576	575
Mon Oct 03 11:08:55 2016	1475485735	0	577	577	576
Mon Oct 03 11:09:04 2016	1475485744	0	577	577	577
Mon Oct 03 11:08:49 2016	1475485729	0	578	578	578
Mon Oct 03 11:08:46 2016	1475485726	0	578	578	578
Mon Oct 03 11:08:48 2016	1475485728	0	578	578	578
Mon Oct 03 11:08:47 2016	1475485727	0	579	579	578
Mon Oct 03 11:08:48 2016	1475485728	0	582	582	582
Mon Oct 03 11:08:48 2016	1475485728	0	582	582	582
Mon Oct 03 11:08:54 2016	1475485734	0	583	583	583
Mon Oct 03 11:08:46 2016	1475485726	0	583	583	582
Mon Oct 03 11:08:50 2016	1475485730	0	584	584	583
Mon Oct 03 11:09:10 2016	1475485750	0	584	584	583
Mon Oct 03 11:10:00 2016	1475485800	0	584	584	583
Mon Oct 03 11:09:04 2016	1475485744	0	585	585	585
Mon Oct 03 11:08:46 2016	1475485726	0	586	586	586
Mon Oct 03 11:09:03 2016	1475485743	0	587	587	586
Mon Oct 03 11:09:04 2016	1475485744	0	587	587	587
Mon Oct 03 11:08:51 2016	1475485731	0	587	587	587
Mon Oct 03 11:08:45 2016	1475485725	0	588	588	587
Mon Oct 03 11:08:58 2016	1475485738	0	588	588	588
Mon Oct 03 11:09:43 2016	1475485783	0	588	588	588
Mon Oct 03 11:08:57 2016	1475485737	0	589	589	589
Mon Oct 03 11:08:59 2016	1475485739	0	590	590	590
Mon Oct 03 11:08:52 2016	1475485732	0	591	591	590
Mon Oct 03 11:08:57 2016	1475485737	0	591	591	591
Mon Oct 03 11:08:46 2016	1475485726	0	592	592	592
Mon Oct 03 11:08:47 2016	1475485727	0	593	593	593
Mon Oct 03 11:08:47 2016	1475485727	0	593	593	593
Mon Oct 03 11:08:46 2016	1475485726	0	593	593	593
Mon Oct 03 11:10:00 2016	1475485800	0	594	594	593
Mon Oct 03 11:08:52 2016	1475485732	0	594	594	594
Mon Oct 03 11:09:08 2016	1475485748	0	594	594	594
Mon Oct 03 11:09:43 2016	1475485783	0	594	594	594
Mon Oct 03 11:08:59 2016	1475485739	0	595	595	595
Mon Oct 03 11:08:57 2016	1475485737	0	596	596	595
Mon Oct 03 11:08:56 2016	1475485736	0	596	596	595
Mon Oct 03 11:08:54 2016	1475485734	0	596	596	596
Mon Oct 03 11:09:06 2016	1475485746	0	597	597	597
Mon Oct 03 11:09:15 2016	1475485755	0	597	597	597
Mon Oct 03 11:08:49 2016	1475485729	0	598	598	597
Mon Oct 03 11:08:56 2016	1475485736	0	599	599	599
Mon Oct 03 11:08:59 2016	1475485739	0	600	600	599
Mon Oct 03 11:09:02 2016	1475485742	0	600	600	600
Mon Oct 03 11:08:49 2016	1475485729	0	601	601	600
Mon Oct 03 11:08:48 2016	1475485728	0	602	602	602
Mon Oct 03 11:08:46 2016	1475485726	0	603	603	603
Mon Oct 03 11:08:49 2016	1475485729	0	604	604	603
Mon Oct 03 11:09:02 2016	1475485742	0	604	604	603
Mon Oct 03 11:08:57 2016	1475485737	0	604	604	604
Mon Oct 03 11:09:20 2016	1475485760	0	605	606	605
Mon Oct 03 11:08:52 2016	1475485732	0	606	606	606
Mon Oct 03 11:09:43 2016	1475485783	0	606	606	606
Mon Oct 03 11:09:05 2016	1475485745	0	607	607	607
Mon Oct 03 11:09:58 2016	1475485798	0	608	608	608
Mon Oct 03 11:09:30 2016	1475485770	0	609	609	608
Mon Oct 03 11:09:05 2016	1475485745	0	609	609	609
Mon Oct 03 11:09:25 2016	1475485765	0	609	609	609
Mon Oct 03 11:09:24 2016	1475485764	0	609	609	609
Mon Oct 03 11:09:25 2016	1475485765	0	610	610	609
Mon Oct 03 11:08:53 2016	1475485733	0	610	610	610
Mon Oct 03 11:08:52 2016	1475485732	0	610	610	610
Mon Oct 03 11:09:06 2016	1475485746	0	612	612	611
Mon Oct 03 11:08:55 2016	1475485735	0	612	612	612
Mon Oct 03 11:09:18 2016	1475485758	0	612	612	612
Mon Oct 03 11:09:03 2016	1475485743	0	612	612	612
Mon Oct 03 11:09:23 2016	1475485763	0	612	612	612
Mon Oct 03 11:09:37 2016	1475485777	0	613	613	612
Mon Oct 03 11:09:26 2016	1475485766	0	613	613	612
Mon Oct 03 11:08:51 2016	1475485731	0	614	614	613
Mon Oct 03 11:08:57 2016	1475485737	0	614	614	614
Mon Oct 03 11:08:50 2016	1475485730	0	614	614	614
Mon Oct 03 11:08:46 2016	1475485726	0	614	614	614
Mon Oct 03 11:08:51 2016	1475485731	0	614	615	614
Mon Oct 03 11:08:55 2016	1475485735	0	615	615	614
Mon Oct 03 11:09:48 2016	1475485788	0	615	615	614
Mon Oct 03 11:08:58 2016	1475485738	0	616	616	616
Mon Oct 03 11:09:59 2016	1475485799	0	616	616	616
Mon Oct 03 11:09:00 2016	1475485740	0	616	616	616
Mon Oct 03 11:08:52 2016	1475485732	0	617	617	616
Mon Oct 03 11:08:49 2016	1475485729	0	618	618	617
Mon Oct 03 11:08:47 2016	1475485727	0	618	618	617
Mon Oct 03 11:08:53 2016	1475485733	0	618	618	618
Mon Oct 03 11:09:08 2016	1475485748	0	618	618	618
Mon Oct 03 11:09:02 2016	1475485742	0	619	619	618
Mon Oct 03 11:09:16 2016	1475485756	0	619	619	619
Mon Oct 03 11:09:15 2016	1475485755	0	619	619	619
Mon Oct 03 11:09:06 2016	1475485746	0	620	620	619
Mon Oct 03 11:09:19 2016	1475485759	0	620	620	619
Mon Oct 03 11:09:17 2016	1475485757	0	621	621	620
Mon Oct 03 11:09:31 2016	1475485771	0	621	621	621
Mon Oct 03 11:08:53 2016	1475485733	0	621	621	621
Mon Oct 03 11:09:30 2016	1475485770	0	622	622	621
Mon Oct 03 11:09:00 2016	1475485740	0	622	622	621
Mon Oct 03 11:08:46 2016	1475485726	0	622	622	622
Mon Oct 03 11:09:00 2016	1475485740	0	622	622	622
Mon Oct 03 11:09:38 2016	1475485778	0	623	623	622
Mon Oct 03 11:09:00 2016	1475485740	0	623	623	622
Mon Oct 03 11:09:36 2016	1475485776	0	623	623	622
Mon Oct 03 11:08:45 2016	1475485725	0	623	623	623
Mon Oct 03 11:10:00 2016	1475485800	0	623	623	623
Mon Oct 03 11:09:21 2016	1475485761	0	624	624	623
Mon Oct 03 11:09:35 2016	1475485775	0	624	624	623
Mon Oct 03 11:08:50 2016	1475485730	0	625	625	624
Mon Oct 03 11:09:58 2016	1475485798	0	625	625	625
Mon Oct 03 11:09:55 2016	1475485795	0	625	625	625
Mon Oct 03 11:09:06 2016	1475485746	0	625	625	625
Mon Oct 03 11:09:20 2016	1475485760	0	626	626	626
Mon Oct 03 11:09:19 2016	1475485759	0	626	626	626
Mon Oct 03 11:09:27 2016	1475485767	0	627	627	626
Mon Oct 03 11:09:08 2016	1475485748	0	627	627	626
Mon Oct 03 11:08:56 2016	1475485736	0	627	627	626
Mon Oct 03 11:09:52 2016	1475485792	0	627	627	627
Mon Oct 03 11:09:49 2016	1475485789	0	627	627	627
Mon Oct 03 11:09:00 2016	1475485740	0	627	627	624
Mon Oct 03 11:09:22 2016	1475485762	0	627	627	627
Mon Oct 03 11:09:45 2016	1475485785	0	629	629	628
Mon Oct 03 11:09:49 2016	1475485789	0	629	629	629
Mon Oct 03 11:09:47 2016	1475485787	0	629	629	629
Mon Oct 03 11:08:49 2016	1475485729	0	630	630	629
Mon Oct 03 11:09:21 2016	1475485761	0	630	630	630
Mon Oct 03 11:09:11 2016	1475485751	0	631	631	630
Mon Oct 03 11:09:29 2016	1475485769	0	631	631	631
Mon Oct 03 11:09:52 2016	1475485792	0	631	631	631
Mon Oct 03 11:09:59 2016	1475485799	0	632	632	631
Mon Oct 03 11:09:49 2016	1475485789	0	632	632	631
Mon Oct 03 11:08:58 2016	1475485738	0	632	632	632
Mon Oct 03 11:08:57 2016	1475485737	0	632	632	632
Mon Oct 03 11:08:50 2016	1475485730	0	633	633	633
Mon Oct 03 11:09:28 2016	1475485768	0	633	633	633
Mon Oct 03 11:09:58 2016	1475485798	0	633	633	633
Mon Oct 03 11:09:37 2016	1475485777	0	633	633	633
Mon Oct 03 11:08:58 2016	1475485738	0	633	633	633
Mon Oct 03 11:09:05 2016	1475485745	0	634	634	633
Mon Oct 03 11:09:58 2016	1475485798	0	634	634	634
Mon Oct 03 11:09:42 2016	1475485782	0	634	634	634
Mon Oct 03 11:09:55 2016	1475485795	0	634	634	634
Mon Oct 03 11:09:28 2016	1475485768	0	634	634	634
Mon Oct 03 11:08:55 2016	1475485735	0	635	636	635
Mon Oct 03 11:09:27 2016	1475485767	0	636	636	636
Mon Oct 03 11:10:00 2016	1475485800	0	636	636	636
Mon Oct 03 11:10:00 2016	1475485800	0	637	637	636
Mon Oct 03 11:08:54 2016	1475485734	0	638	638	637
Mon Oct 03 11:09:20 2016	1475485760	0	638	638	638
Mon Oct 03 11:09:39 2016	1475485779	0	638	638	638
Mon Oct 03 11:09:39 2016	1475485779	0	638	638	638
Mon Oct 03 11:09:48 2016	1475485788	0	638	638	638
Mon Oct 03 11:09:48 2016	1475485788	0	638	638	638
Mon Oct 03 11:09:19 2016	1475485759	0	639	639	638
Mon Oct 03 11:09:16 2016	1475485756	0	639	639	639
Mon Oct 03 11:09:44 2016	1475485784	0	639	639	639
Mon Oct 03 11:09:21 2016	1475485761	0	639	639	639
Mon Oct 03 11:08:57 2016	1475485737	0	639	639	639
Mon Oct 03 11:09:38 2016	1475485778	0	639	639	639
Mon Oct 03 11:09:27 2016	1475485767	0	640	640	639
Mon Oct 03 11:08:52 2016	1475485732	0	640	640	640
Mon Oct 03 11:08:56 2016	1475485736	0	640	640	640
Mon Oct 03 11:09:37 2016	1475485777	0	641	641	640
Mon Oct 03 11:09:30 2016	1475485770	0	641	641	640
Mon Oct 03 11:09:06 2016	1475485746	0	641	641	641
Mon Oct 03 11:09:44 2016	1475485784	0	641	641	641
Mon Oct 03 11:08:46 2016	1475485726	0	641	641	641
Mon Oct 03 11:08:52 2016	1475485732	0	642	642	642
Mon Oct 03 11:08:58 2016	1475485738	0	642	642	641
Mon Oct 03 11:09:27 2016	1475485767	0	642	642	642
Mon Oct 03 11:09:40 2016	1475485780	0	642	642	642
Mon Oct 03 11:09:29 2016	1475485769	0	642	642	642
Mon Oct 03 11:08:47 2016	1475485727	0	643	643	642
Mon Oct 03 11:08:50 2016	1475485730	0	643	643	643
Mon Oct 03 11:08:58 2016	1475485738	0	643	643	643
Mon Oct 03 11:09:27 2016	1475485767	0	643	643	643
Mon Oct 03 11:08:58 2016	1475485738	0	643	643	643
Mon Oct 03 11:09:30 2016	1475485770	0	643	643	643
Mon Oct 03 11:09:56 2016	1475485796	0	644	644	643
Mon Oct 03 11:08:52 2016	1475485732	0	644	644	644
Mon Oct 03 11:09:32 2016	1475485772	0	644	644	644
Mon Oct 03 11:09:29 2016	1475485769	0	644	644	644
Mon Oct 03 11:09:15 2016	1475485755	0	644	645	644
Mon Oct 03 11:08:57 2016	1475485737	0	645	645	644
Mon Oct 03 11:09:41 2016	1475485781	0	645	645	644
Mon Oct 03 11:09:25 2016	1475485765	0	645	645	644
Mon Oct 03 11:08:47 2016	1475485727	0	645	645	645
Mon Oct 03 11:09:57 2016	1475485797	0	645	645	645
Mon Oct 03 11:08:56 2016	1475485736	0	646	646	645
Mon Oct 03 11:09:05 2016	1475485745	0	647	647	647
Mon Oct 03 11:09:41 2016	1475485781	0	647	647	647
Mon Oct 03 11:09:15 2016	1475485755	0	648	648	647
Mon Oct 03 11:09:50 2016	1475485790	0	648	648	647
Mon Oct 03 11:09:06 2016	1475485746	0	648	648	647
Mon Oct 03 11:09:26 2016	1475485766	0	648	648	648
Mon Oct 03 11:09:52 2016	1475485792	0	648	648	648
Mon Oct 03 11:08:45 2016	1475485725	0	649	649	648
Mon Oct 03 11:09:04 2016	1475485744	0	649	649	649
Mon Oct 03 11:09:57 2016	1475485797	0	650	650	649
Mon Oct 03 11:08:46 2016	1475485726	0	650	650	650
