starttime	seconds	ctime	dtime	ttime	wait
Mon Oct 03 11:11:09 2016	1475485869	0	337	337	337
Mon Oct 03 11:11:10 2016	1475485870	0	340	340	339
Mon Oct 03 11:11:07 2016	1475485867	0	341	341	341
Mon Oct 03 11:11:06 2016	1475485866	0	343	343	343
Mon Oct 03 11:11:08 2016	1475485868	0	347	347	346
Mon Oct 03 11:11:06 2016	1475485866	0	350	350	350
Mon Oct 03 11:11:05 2016	1475485865	0	351	351	351
Mon Oct 03 11:11:05 2016	1475485865	0	352	352	351
Mon Oct 03 11:11:07 2016	1475485867	0	352	352	352
Mon Oct 03 11:11:14 2016	1475485874	0	353	353	353
Mon Oct 03 11:11:37 2016	1475485897	0	355	355	354
Mon Oct 03 11:11:09 2016	1475485869	0	356	356	355
Mon Oct 03 11:11:11 2016	1475485871	0	356	356	356
Mon Oct 03 11:11:29 2016	1475485889	0	356	357	356
Mon Oct 03 11:11:05 2016	1475485865	0	358	358	358
Mon Oct 03 11:11:06 2016	1475485866	0	358	358	358
Mon Oct 03 11:11:07 2016	1475485867	0	360	360	360
Mon Oct 03 11:11:07 2016	1475485867	0	361	361	361
Mon Oct 03 11:11:12 2016	1475485872	0	362	362	361
Mon Oct 03 11:11:08 2016	1475485868	0	362	362	361
Mon Oct 03 11:11:12 2016	1475485872	0	364	364	363
Mon Oct 03 11:11:06 2016	1475485866	0	364	364	364
Mon Oct 03 11:11:14 2016	1475485874	0	364	364	364
Mon Oct 03 11:11:25 2016	1475485885	0	364	364	364
Mon Oct 03 11:11:03 2016	1475485863	0	365	365	365
Mon Oct 03 11:11:10 2016	1475485870	0	366	366	365
Mon Oct 03 11:11:09 2016	1475485869	0	366	366	366
Mon Oct 03 11:11:27 2016	1475485887	0	366	366	366
Mon Oct 03 11:11:18 2016	1475485878	0	367	367	367
Mon Oct 03 11:11:22 2016	1475485882	0	367	367	367
Mon Oct 03 11:11:07 2016	1475485867	0	367	367	367
Mon Oct 03 11:11:12 2016	1475485872	0	368	368	368
Mon Oct 03 11:11:08 2016	1475485868	0	368	368	368
Mon Oct 03 11:11:16 2016	1475485876	0	369	369	368
Mon Oct 03 11:11:10 2016	1475485870	0	369	369	368
Mon Oct 03 11:11:13 2016	1475485873	0	369	369	369
Mon Oct 03 11:11:40 2016	1475485900	0	369	369	369
Mon Oct 03 11:11:08 2016	1475485868	0	369	370	369
Mon Oct 03 11:11:02 2016	1475485862	5	365	370	365
Mon Oct 03 11:11:03 2016	1475485863	0	371	371	371
Mon Oct 03 11:11:26 2016	1475485886	0	371	371	371
Mon Oct 03 11:11:45 2016	1475485905	0	371	371	371
Mon Oct 03 11:11:05 2016	1475485865	0	372	372	371
Mon Oct 03 11:11:27 2016	1475485887	0	373	373	372
Mon Oct 03 11:11:11 2016	1475485871	0	373	373	373
Mon Oct 03 11:11:21 2016	1475485881	0	373	373	373
Mon Oct 03 11:11:07 2016	1475485867	0	374	374	373
Mon Oct 03 11:11:17 2016	1475485877	0	374	374	374
Mon Oct 03 11:11:06 2016	1475485866	0	374	374	374
Mon Oct 03 11:11:12 2016	1475485872	0	375	375	374
Mon Oct 03 11:11:06 2016	1475485866	0	375	375	375
Mon Oct 03 11:11:09 2016	1475485869	0	375	376	375
Mon Oct 03 11:11:17 2016	1475485877	0	376	376	375
Mon Oct 03 11:11:03 2016	1475485863	0	376	376	376
Mon Oct 03 11:11:04 2016	1475485864	0	376	376	376
Mon Oct 03 11:11:04 2016	1475485864	0	376	376	376
Mon Oct 03 11:11:08 2016	1475485868	0	377	377	376
Mon Oct 03 11:11:21 2016	1475485881	0	377	377	377
Mon Oct 03 11:11:34 2016	1475485894	0	377	377	377
Mon Oct 03 11:11:17 2016	1475485877	0	377	377	377
Mon Oct 03 11:11:03 2016	1475485863	0	378	378	377
Mon Oct 03 11:11:14 2016	1475485874	0	378	378	377
Mon Oct 03 11:11:09 2016	1475485869	0	378	378	377
Mon Oct 03 11:11:16 2016	1475485876	0	379	379	379
Mon Oct 03 11:11:48 2016	1475485908	0	380	380	380
Mon Oct 03 11:11:04 2016	1475485864	0	380	380	380
Mon Oct 03 11:11:18 2016	1475485878	0	381	381	380
Mon Oct 03 11:11:28 2016	1475485888	0	382	382	381
Mon Oct 03 11:11:19 2016	1475485879	0	383	383	382
Mon Oct 03 11:11:08 2016	1475485868	0	383	383	383
Mon Oct 03 11:11:07 2016	1475485867	0	383	383	383
Mon Oct 03 11:11:26 2016	1475485886	0	383	383	383
Mon Oct 03 11:11:14 2016	1475485874	0	383	383	383
Mon Oct 03 11:11:10 2016	1475485870	0	383	383	383
Mon Oct 03 11:11:29 2016	1475485889	0	383	383	383
Mon Oct 03 11:11:10 2016	1475485870	0	383	383	383
Mon Oct 03 11:11:33 2016	1475485893	0	384	384	383
Mon Oct 03 11:11:06 2016	1475485866	0	384	384	384
Mon Oct 03 11:11:45 2016	1475485905	0	384	385	384
Mon Oct 03 11:11:38 2016	1475485898	0	385	385	384
Mon Oct 03 11:11:46 2016	1475485906	0	385	385	384
Mon Oct 03 11:11:15 2016	1475485875	0	385	385	385
Mon Oct 03 11:11:26 2016	1475485886	0	386	386	385
Mon Oct 03 11:11:31 2016	1475485891	0	386	386	385
Mon Oct 03 11:11:16 2016	1475485876	0	386	386	386
Mon Oct 03 11:11:07 2016	1475485867	0	386	386	386
Mon Oct 03 11:11:42 2016	1475485902	0	387	387	386
Mon Oct 03 11:11:45 2016	1475485905	0	387	387	386
Mon Oct 03 11:11:26 2016	1475485886	0	387	387	387
Mon Oct 03 11:11:12 2016	1475485872	0	387	387	387
Mon Oct 03 11:11:04 2016	1475485864	0	387	387	387
Mon Oct 03 11:11:09 2016	1475485869	0	387	387	387
Mon Oct 03 11:11:44 2016	1475485904	0	387	387	386
Mon Oct 03 11:11:12 2016	1475485872	0	387	387	387
Mon Oct 03 11:11:25 2016	1475485885	0	388	388	387
Mon Oct 03 11:11:27 2016	1475485887	0	388	388	388
Mon Oct 03 11:11:23 2016	1475485883	0	388	388	388
Mon Oct 03 11:11:10 2016	1475485870	0	388	388	388
Mon Oct 03 11:11:40 2016	1475485900	0	388	388	388
Mon Oct 03 11:11:29 2016	1475485889	0	388	388	388
Mon Oct 03 11:11:16 2016	1475485876	0	389	389	388
Mon Oct 03 11:11:30 2016	1475485890	0	389	389	388
Mon Oct 03 11:11:19 2016	1475485879	0	389	389	388
Mon Oct 03 11:11:19 2016	1475485879	0	389	389	389
Mon Oct 03 11:11:25 2016	1475485885	0	390	390	390
Mon Oct 03 11:11:39 2016	1475485899	0	390	390	390
Mon Oct 03 11:11:24 2016	1475485884	0	391	391	390
Mon Oct 03 11:11:15 2016	1475485875	0	391	391	390
Mon Oct 03 11:11:12 2016	1475485872	0	391	391	391
Mon Oct 03 11:11:10 2016	1475485870	0	391	391	391
Mon Oct 03 11:11:15 2016	1475485875	0	391	391	391
Mon Oct 03 11:11:25 2016	1475485885	0	391	391	391
Mon Oct 03 11:11:05 2016	1475485865	0	392	392	391
Mon Oct 03 11:11:09 2016	1475485869	0	392	392	392
Mon Oct 03 11:11:12 2016	1475485872	0	392	392	392
Mon Oct 03 11:11:05 2016	1475485865	0	392	392	392
Mon Oct 03 11:11:05 2016	1475485865	0	392	392	392
Mon Oct 03 11:11:25 2016	1475485885	0	392	392	392
Mon Oct 03 11:11:14 2016	1475485874	0	392	392	392
Mon Oct 03 11:11:24 2016	1475485884	0	393	393	392
