starttime	seconds	ctime	dtime	ttime	wait
Mon Oct 03 11:12:52 2016	1475485972	0	315	315	315
Mon Oct 03 11:12:53 2016	1475485973	0	318	318	318
Mon Oct 03 11:13:07 2016	1475485987	0	320	320	320
Mon Oct 03 11:12:53 2016	1475485973	0	323	323	323
Mon Oct 03 11:12:52 2016	1475485972	0	323	323	323
Mon Oct 03 11:12:54 2016	1475485974	0	324	324	324
Mon Oct 03 11:12:57 2016	1475485977	0	325	325	325
Mon Oct 03 11:12:51 2016	1475485971	0	326	326	326
Mon Oct 03 11:12:51 2016	1475485971	0	327	327	327
Mon Oct 03 11:12:54 2016	1475485974	0	328	328	328
Mon Oct 03 11:13:01 2016	1475485981	0	328	328	328
Mon Oct 03 11:12:55 2016	1475485975	0	328	328	328
Mon Oct 03 11:12:53 2016	1475485973	0	330	330	329
Mon Oct 03 11:12:55 2016	1475485975	0	330	330	330
Mon Oct 03 11:12:55 2016	1475485975	0	332	332	332
Mon Oct 03 11:12:52 2016	1475485972	0	332	332	332
Mon Oct 03 11:12:55 2016	1475485975	0	333	333	333
Mon Oct 03 11:12:54 2016	1475485974	0	336	336	336
Mon Oct 03 11:12:57 2016	1475485977	0	337	337	337
Mon Oct 03 11:12:57 2016	1475485977	0	337	338	337
Mon Oct 03 11:12:56 2016	1475485976	0	338	338	338
Mon Oct 03 11:12:52 2016	1475485972	0	339	339	339
Mon Oct 03 11:12:56 2016	1475485976	0	339	339	339
Mon Oct 03 11:12:52 2016	1475485972	0	342	342	341
Mon Oct 03 11:12:55 2016	1475485975	0	342	342	341
Mon Oct 03 11:12:57 2016	1475485977	0	342	342	342
Mon Oct 03 11:12:58 2016	1475485978	0	342	342	342
Mon Oct 03 11:13:07 2016	1475485987	0	343	343	342
Mon Oct 03 11:12:52 2016	1475485972	0	343	343	343
Mon Oct 03 11:12:52 2016	1475485972	0	344	344	343
Mon Oct 03 11:12:56 2016	1475485976	0	344	344	343
Mon Oct 03 11:12:58 2016	1475485978	0	344	344	344
Mon Oct 03 11:12:53 2016	1475485973	0	344	344	344
Mon Oct 03 11:12:59 2016	1475485979	0	346	346	345
Mon Oct 03 11:13:18 2016	1475485998	0	347	347	346
Mon Oct 03 11:12:58 2016	1475485978	0	347	347	347
Mon Oct 03 11:12:53 2016	1475485973	0	348	348	348
Mon Oct 03 11:12:55 2016	1475485975	0	348	348	347
Mon Oct 03 11:13:01 2016	1475485981	0	348	348	348
Mon Oct 03 11:13:00 2016	1475485980	0	348	348	348
Mon Oct 03 11:13:03 2016	1475485983	0	349	349	348
Mon Oct 03 11:12:52 2016	1475485972	0	349	349	348
Mon Oct 03 11:12:59 2016	1475485979	0	349	349	348
Mon Oct 03 11:12:58 2016	1475485978	0	349	349	349
Mon Oct 03 11:13:02 2016	1475485982	0	350	350	349
Mon Oct 03 11:13:01 2016	1475485981	0	350	350	349
Mon Oct 03 11:12:56 2016	1475485976	0	351	351	350
Mon Oct 03 11:12:58 2016	1475485978	0	351	351	350
Mon Oct 03 11:12:56 2016	1475485976	0	351	351	351
Mon Oct 03 11:12:57 2016	1475485977	0	351	352	351
Mon Oct 03 11:13:05 2016	1475485985	0	352	352	351
Mon Oct 03 11:12:56 2016	1475485976	0	352	352	351
Mon Oct 03 11:12:56 2016	1475485976	0	352	352	352
Mon Oct 03 11:13:37 2016	1475486017	0	353	353	352
Mon Oct 03 11:13:11 2016	1475485991	0	353	353	352
Mon Oct 03 11:12:57 2016	1475485977	0	353	353	353
Mon Oct 03 11:13:03 2016	1475485983	0	353	353	353
Mon Oct 03 11:12:58 2016	1475485978	0	354	354	353
Mon Oct 03 11:12:58 2016	1475485978	0	354	354	354
Mon Oct 03 11:13:01 2016	1475485981	0	354	354	354
Mon Oct 03 11:12:54 2016	1475485974	0	355	355	355
Mon Oct 03 11:12:59 2016	1475485979	0	356	356	355
Mon Oct 03 11:12:54 2016	1475485974	0	356	356	355
Mon Oct 03 11:12:57 2016	1475485977	0	356	357	356
Mon Oct 03 11:12:53 2016	1475485973	0	357	357	357
Mon Oct 03 11:12:55 2016	1475485975	0	357	357	356
Mon Oct 03 11:13:36 2016	1475486016	0	357	357	357
Mon Oct 03 11:13:23 2016	1475486003	0	360	360	359
Mon Oct 03 11:13:09 2016	1475485989	0	360	360	360
Mon Oct 03 11:12:53 2016	1475485973	0	361	361	360
Mon Oct 03 11:13:01 2016	1475485981	0	361	361	360
Mon Oct 03 11:12:53 2016	1475485973	0	361	361	361
Mon Oct 03 11:12:57 2016	1475485977	0	361	361	361
Mon Oct 03 11:13:01 2016	1475485981	0	361	361	361
Mon Oct 03 11:12:57 2016	1475485977	0	362	362	362
Mon Oct 03 11:12:55 2016	1475485975	0	363	363	362
Mon Oct 03 11:13:03 2016	1475485983	0	363	363	363
Mon Oct 03 11:12:59 2016	1475485979	0	363	363	363
Mon Oct 03 11:13:03 2016	1475485983	0	363	363	363
Mon Oct 03 11:13:07 2016	1475485987	0	364	364	364
Mon Oct 03 11:13:17 2016	1475485997	0	365	365	364
Mon Oct 03 11:13:00 2016	1475485980	0	365	365	364
Mon Oct 03 11:13:03 2016	1475485983	0	366	366	365
Mon Oct 03 11:12:55 2016	1475485975	0	366	366	366
Mon Oct 03 11:13:05 2016	1475485985	0	366	366	365
Mon Oct 03 11:13:22 2016	1475486002	0	366	366	366
Mon Oct 03 11:12:55 2016	1475485975	0	367	367	366
Mon Oct 03 11:12:55 2016	1475485975	0	367	367	366
Mon Oct 03 11:13:02 2016	1475485982	0	367	367	366
Mon Oct 03 11:13:03 2016	1475485983	0	367	367	367
Mon Oct 03 11:12:58 2016	1475485978	0	367	367	367
