starttime	seconds	ctime	dtime	ttime	wait
Sun Oct 02 20:22:40 2016	1475432560	0	80	80	79
Sun Oct 02 20:22:39 2016	1475432559	0	93	93	93
Sun Oct 02 20:22:47 2016	1475432567	0	96	96	95
Sun Oct 02 20:22:39 2016	1475432559	0	97	97	96
Sun Oct 02 20:22:41 2016	1475432561	0	99	99	99
Sun Oct 02 20:22:40 2016	1475432560	0	101	101	100
Sun Oct 02 20:22:40 2016	1475432560	0	101	101	101
Sun Oct 02 20:22:39 2016	1475432559	0	101	101	101
Sun Oct 02 20:22:40 2016	1475432560	0	102	102	101
Sun Oct 02 20:22:39 2016	1475432559	0	102	102	101
Sun Oct 02 20:22:40 2016	1475432560	0	102	102	102
Sun Oct 02 20:22:40 2016	1475432560	0	102	102	102
Sun Oct 02 20:22:41 2016	1475432561	0	103	103	103
Sun Oct 02 20:22:40 2016	1475432560	0	103	103	103
Sun Oct 02 20:22:39 2016	1475432559	0	103	103	103
Sun Oct 02 20:22:40 2016	1475432560	0	104	104	104
Sun Oct 02 20:22:40 2016	1475432560	0	104	104	104
Sun Oct 02 20:22:38 2016	1475432558	0	104	104	104
Sun Oct 02 20:22:39 2016	1475432559	0	104	104	104
Sun Oct 02 20:22:41 2016	1475432561	0	104	104	104
Sun Oct 02 20:22:39 2016	1475432559	0	104	105	104
Sun Oct 02 20:22:40 2016	1475432560	0	105	105	104
Sun Oct 02 20:22:39 2016	1475432559	0	105	105	105
Sun Oct 02 20:22:54 2016	1475432574	0	105	105	105
Sun Oct 02 20:22:39 2016	1475432559	0	106	106	105
Sun Oct 02 20:22:39 2016	1475432559	0	106	106	105
Sun Oct 02 20:22:39 2016	1475432559	0	106	106	106
Sun Oct 02 20:22:40 2016	1475432560	0	106	106	103
Sun Oct 02 20:22:40 2016	1475432560	0	107	107	106
Sun Oct 02 20:22:49 2016	1475432569	0	107	107	106
Sun Oct 02 20:22:41 2016	1475432561	0	107	107	107
Sun Oct 02 20:22:39 2016	1475432559	0	107	108	107
Sun Oct 02 20:22:40 2016	1475432560	0	108	108	107
Sun Oct 02 20:22:40 2016	1475432560	0	108	108	107
Sun Oct 02 20:22:44 2016	1475432564	0	108	108	107
Sun Oct 02 20:22:40 2016	1475432560	0	108	108	106
Sun Oct 02 20:22:44 2016	1475432564	0	108	108	108
Sun Oct 02 20:22:39 2016	1475432559	0	108	108	108
Sun Oct 02 20:22:41 2016	1475432561	0	108	108	108
Sun Oct 02 20:22:39 2016	1475432559	0	108	108	108
Sun Oct 02 20:22:39 2016	1475432559	0	108	108	108
Sun Oct 02 20:22:39 2016	1475432559	0	108	108	108
Sun Oct 02 20:22:39 2016	1475432559	0	108	108	108
Sun Oct 02 20:22:41 2016	1475432561	0	109	109	108
Sun Oct 02 20:22:41 2016	1475432561	0	109	109	108
Sun Oct 02 20:22:39 2016	1475432559	0	109	109	109
Sun Oct 02 20:22:40 2016	1475432560	0	109	109	108
Sun Oct 02 20:22:41 2016	1475432561	0	109	109	109
Sun Oct 02 20:22:40 2016	1475432560	0	109	109	109
Sun Oct 02 20:22:42 2016	1475432562	0	110	110	110
Sun Oct 02 20:22:42 2016	1475432562	0	110	110	110
Sun Oct 02 20:22:42 2016	1475432562	0	110	110	110
Sun Oct 02 20:22:38 2016	1475432558	0	110	110	110
Sun Oct 02 20:22:42 2016	1475432562	0	110	110	108
Sun Oct 02 20:22:38 2016	1475432558	0	111	111	110
Sun Oct 02 20:22:39 2016	1475432559	0	111	111	110
Sun Oct 02 20:22:54 2016	1475432574	0	111	111	110
Sun Oct 02 20:22:51 2016	1475432571	0	111	111	111
Sun Oct 02 20:22:46 2016	1475432566	0	111	111	111
Sun Oct 02 20:22:42 2016	1475432562	0	111	111	110
Sun Oct 02 20:22:40 2016	1475432560	0	111	111	111
Sun Oct 02 20:22:41 2016	1475432561	0	111	111	110
Sun Oct 02 20:22:41 2016	1475432561	0	111	111	111
Sun Oct 02 20:22:40 2016	1475432560	0	111	111	111
Sun Oct 02 20:22:39 2016	1475432559	0	111	111	111
Sun Oct 02 20:22:41 2016	1475432561	0	111	111	111
Sun Oct 02 20:22:38 2016	1475432558	0	112	112	112
Sun Oct 02 20:22:42 2016	1475432562	0	112	112	112
Sun Oct 02 20:22:39 2016	1475432559	0	112	112	112
Sun Oct 02 20:22:39 2016	1475432559	0	112	112	112
Sun Oct 02 20:22:42 2016	1475432562	0	112	112	112
Sun Oct 02 20:22:44 2016	1475432564	0	112	113	112
Sun Oct 02 20:22:49 2016	1475432569	0	112	113	112
Sun Oct 02 20:22:38 2016	1475432558	0	113	113	112
Sun Oct 02 20:22:40 2016	1475432560	0	113	113	112
Sun Oct 02 20:22:43 2016	1475432563	0	113	113	113
