starttime	seconds	ctime	dtime	ttime	wait
Sun Oct 02 20:34:47 2016	1475433287	0	61	61	61
Sun Oct 02 20:34:51 2016	1475433291	0	65	65	64
Sun Oct 02 20:34:55 2016	1475433295	0	66	66	66
Sun Oct 02 20:34:51 2016	1475433291	0	66	67	66
Sun Oct 02 20:34:47 2016	1475433287	0	68	68	68
Sun Oct 02 20:34:48 2016	1475433288	0	68	68	68
Sun Oct 02 20:34:51 2016	1475433291	0	69	69	69
Sun Oct 02 20:34:50 2016	1475433290	0	71	71	71
Sun Oct 02 20:34:49 2016	1475433289	0	71	71	71
Sun Oct 02 20:34:48 2016	1475433288	0	72	72	72
Sun Oct 02 20:34:51 2016	1475433291	0	72	72	72
Sun Oct 02 20:34:45 2016	1475433285	0	72	72	72
Sun Oct 02 20:34:50 2016	1475433290	0	72	72	72
Sun Oct 02 20:34:50 2016	1475433290	0	73	73	71
Sun Oct 02 20:34:45 2016	1475433285	0	73	73	72
Sun Oct 02 20:34:45 2016	1475433285	0	73	73	72
Sun Oct 02 20:34:48 2016	1475433288	0	73	73	72
Sun Oct 02 20:34:47 2016	1475433287	0	73	73	73
Sun Oct 02 20:34:48 2016	1475433288	0	73	73	72
Sun Oct 02 20:34:51 2016	1475433291	0	73	73	73
Sun Oct 02 20:34:48 2016	1475433288	0	73	73	73
Sun Oct 02 20:34:47 2016	1475433287	0	73	73	73
Sun Oct 02 20:34:46 2016	1475433286	0	73	73	73
Sun Oct 02 20:34:47 2016	1475433287	0	73	73	73
Sun Oct 02 20:34:50 2016	1475433290	0	73	73	73
Sun Oct 02 20:34:47 2016	1475433287	0	73	73	73
Sun Oct 02 20:34:49 2016	1475433289	0	73	73	73
Sun Oct 02 20:34:47 2016	1475433287	0	73	74	73
Sun Oct 02 20:34:46 2016	1475433286	0	74	74	73
Sun Oct 02 20:34:48 2016	1475433288	0	74	74	73
Sun Oct 02 20:34:51 2016	1475433291	0	74	74	74
Sun Oct 02 20:34:45 2016	1475433285	0	74	74	73
Sun Oct 02 20:34:50 2016	1475433290	0	74	74	74
Sun Oct 02 20:34:50 2016	1475433290	0	74	74	73
Sun Oct 02 20:34:46 2016	1475433286	0	74	74	74
Sun Oct 02 20:34:51 2016	1475433291	0	74	74	74
Sun Oct 02 20:34:49 2016	1475433289	0	74	74	74
Sun Oct 02 20:34:46 2016	1475433286	0	74	74	74
Sun Oct 02 20:34:48 2016	1475433288	0	74	74	74
Sun Oct 02 20:34:49 2016	1475433289	0	74	74	74
Sun Oct 02 20:34:46 2016	1475433286	0	74	74	74
Sun Oct 02 20:34:47 2016	1475433287	0	74	74	74
Sun Oct 02 20:34:50 2016	1475433290	0	74	74	74
Sun Oct 02 20:34:48 2016	1475433288	0	74	74	74
Sun Oct 02 20:34:45 2016	1475433285	0	74	74	74
Sun Oct 02 20:34:51 2016	1475433291	0	75	75	75
Sun Oct 02 20:34:46 2016	1475433286	0	75	75	74
Sun Oct 02 20:34:47 2016	1475433287	0	75	75	75
Sun Oct 02 20:34:45 2016	1475433285	0	75	75	75
Sun Oct 02 20:34:49 2016	1475433289	0	75	75	75
Sun Oct 02 20:34:50 2016	1475433290	0	75	75	75
Sun Oct 02 20:34:51 2016	1475433291	0	75	75	75
Sun Oct 02 20:34:49 2016	1475433289	0	75	75	75
Sun Oct 02 20:34:45 2016	1475433285	0	75	75	75
Sun Oct 02 20:34:49 2016	1475433289	0	75	75	75
Sun Oct 02 20:34:46 2016	1475433286	0	75	75	75
Sun Oct 02 20:34:45 2016	1475433285	0	75	75	75
Sun Oct 02 20:34:48 2016	1475433288	0	75	75	75
Sun Oct 02 20:34:52 2016	1475433292	0	76	76	75
Sun Oct 02 20:34:48 2016	1475433288	0	76	76	75
Sun Oct 02 20:34:52 2016	1475433292	0	76	76	75
Sun Oct 02 20:34:46 2016	1475433286	0	76	76	75
Sun Oct 02 20:34:48 2016	1475433288	0	76	76	75
Sun Oct 02 20:34:55 2016	1475433295	0	76	76	75
Sun Oct 02 20:34:46 2016	1475433286	0	76	76	76
Sun Oct 02 20:34:46 2016	1475433286	0	76	76	76
Sun Oct 02 20:34:46 2016	1475433286	0	76	76	76
Sun Oct 02 20:34:45 2016	1475433285	0	76	76	76
Sun Oct 02 20:34:48 2016	1475433288	0	76	76	76
Sun Oct 02 20:34:48 2016	1475433288	0	76	76	76
Sun Oct 02 20:34:48 2016	1475433288	0	76	77	76
Sun Oct 02 20:34:48 2016	1475433288	0	77	77	76
Sun Oct 02 20:34:50 2016	1475433290	0	77	77	76
Sun Oct 02 20:34:50 2016	1475433290	0	77	77	76
Sun Oct 02 20:34:47 2016	1475433287	0	77	77	76
Sun Oct 02 20:34:45 2016	1475433285	0	77	77	76
Sun Oct 02 20:34:48 2016	1475433288	0	77	77	77
Sun Oct 02 20:34:49 2016	1475433289	0	77	77	77
Sun Oct 02 20:34:52 2016	1475433292	0	77	77	76
Sun Oct 02 20:34:51 2016	1475433291	0	77	77	77
Sun Oct 02 20:34:49 2016	1475433289	0	77	77	77
Sun Oct 02 20:34:51 2016	1475433291	0	77	77	77
Sun Oct 02 20:34:47 2016	1475433287	0	77	77	77
Sun Oct 02 20:34:47 2016	1475433287	0	77	77	77
Sun Oct 02 20:34:46 2016	1475433286	0	77	77	77
Sun Oct 02 20:34:47 2016	1475433287	0	77	77	77
Sun Oct 02 20:34:50 2016	1475433290	0	78	78	77
Sun Oct 02 20:34:49 2016	1475433289	0	78	78	78
Sun Oct 02 20:34:51 2016	1475433291	0	78	78	78
