starttime	seconds	ctime	dtime	ttime	wait
Sun Oct 02 20:25:25 2016	1475432725	0	142	142	141
Sun Oct 02 20:25:14 2016	1475432714	0	154	154	154
Sun Oct 02 20:25:15 2016	1475432715	0	155	155	155
Sun Oct 02 20:25:15 2016	1475432715	0	156	156	155
Sun Oct 02 20:25:19 2016	1475432719	0	156	156	156
Sun Oct 02 20:25:18 2016	1475432718	0	158	158	157
Sun Oct 02 20:25:17 2016	1475432717	0	158	158	158
Sun Oct 02 20:25:19 2016	1475432719	0	158	158	158
Sun Oct 02 20:25:14 2016	1475432714	0	158	158	158
Sun Oct 02 20:25:19 2016	1475432719	0	159	159	158
Sun Oct 02 20:25:14 2016	1475432714	0	160	160	160
Sun Oct 02 20:25:19 2016	1475432719	0	160	160	160
Sun Oct 02 20:25:19 2016	1475432719	0	161	161	161
Sun Oct 02 20:25:17 2016	1475432717	0	161	161	161
Sun Oct 02 20:25:18 2016	1475432718	0	161	161	161
Sun Oct 02 20:25:18 2016	1475432718	0	162	162	162
Sun Oct 02 20:25:17 2016	1475432717	0	162	162	162
Sun Oct 02 20:25:18 2016	1475432718	0	162	162	162
Sun Oct 02 20:25:18 2016	1475432718	0	163	163	163
Sun Oct 02 20:25:18 2016	1475432718	0	163	163	163
Sun Oct 02 20:25:17 2016	1475432717	0	164	164	163
Sun Oct 02 20:25:18 2016	1475432718	0	164	164	164
Sun Oct 02 20:25:17 2016	1475432717	0	165	165	164
Sun Oct 02 20:25:19 2016	1475432719	0	165	165	165
Sun Oct 02 20:25:17 2016	1475432717	0	165	165	165
Sun Oct 02 20:25:14 2016	1475432714	0	165	165	165
Sun Oct 02 20:25:19 2016	1475432719	0	165	165	165
Sun Oct 02 20:25:19 2016	1475432719	0	165	165	165
Sun Oct 02 20:25:17 2016	1475432717	0	165	165	165
Sun Oct 02 20:25:19 2016	1475432719	0	165	165	165
Sun Oct 02 20:25:19 2016	1475432719	0	165	165	165
Sun Oct 02 20:25:18 2016	1475432718	0	166	166	163
Sun Oct 02 20:25:16 2016	1475432716	0	166	166	165
Sun Oct 02 20:25:17 2016	1475432717	0	166	166	165
Sun Oct 02 20:25:15 2016	1475432715	0	166	166	165
Sun Oct 02 20:25:18 2016	1475432718	0	166	166	166
Sun Oct 02 20:25:15 2016	1475432715	0	166	166	166
Sun Oct 02 20:25:14 2016	1475432714	0	166	166	166
Sun Oct 02 20:25:17 2016	1475432717	0	166	166	166
Sun Oct 02 20:25:17 2016	1475432717	0	166	166	166
Sun Oct 02 20:25:14 2016	1475432714	0	167	167	166
Sun Oct 02 20:25:14 2016	1475432714	0	167	167	166
Sun Oct 02 20:25:19 2016	1475432719	0	167	167	166
Sun Oct 02 20:25:17 2016	1475432717	0	167	167	167
Sun Oct 02 20:25:18 2016	1475432718	0	167	167	167
Sun Oct 02 20:25:18 2016	1475432718	0	167	167	167
Sun Oct 02 20:25:19 2016	1475432719	0	167	167	167
Sun Oct 02 20:25:26 2016	1475432726	0	168	168	168
Sun Oct 02 20:25:20 2016	1475432720	0	168	168	167
Sun Oct 02 20:25:20 2016	1475432720	0	168	168	168
Sun Oct 02 20:25:17 2016	1475432717	0	168	168	168
Sun Oct 02 20:25:17 2016	1475432717	0	168	168	168
Sun Oct 02 20:25:14 2016	1475432714	0	168	168	168
Sun Oct 02 20:25:17 2016	1475432717	0	169	169	168
Sun Oct 02 20:25:18 2016	1475432718	0	169	169	169
Sun Oct 02 20:25:15 2016	1475432715	0	169	169	169
Sun Oct 02 20:25:26 2016	1475432726	0	169	169	169
Sun Oct 02 20:25:20 2016	1475432720	0	169	169	169
Sun Oct 02 20:25:26 2016	1475432726	0	169	169	169
Sun Oct 02 20:25:15 2016	1475432715	0	169	169	169
Sun Oct 02 20:25:19 2016	1475432719	0	169	169	169
Sun Oct 02 20:25:17 2016	1475432717	0	170	170	169
Sun Oct 02 20:25:19 2016	1475432719	0	170	170	170
Sun Oct 02 20:25:26 2016	1475432726	0	170	170	169
Sun Oct 02 20:25:26 2016	1475432726	0	170	170	170
Sun Oct 02 20:25:18 2016	1475432718	0	170	170	170
Sun Oct 02 20:25:20 2016	1475432720	0	170	170	170
Sun Oct 02 20:25:19 2016	1475432719	0	170	170	170
Sun Oct 02 20:25:17 2016	1475432717	0	170	170	170
Sun Oct 02 20:25:15 2016	1475432715	0	170	170	170
Sun Oct 02 20:25:17 2016	1475432717	0	170	170	170
Sun Oct 02 20:25:14 2016	1475432714	0	170	170	170
Sun Oct 02 20:25:20 2016	1475432720	0	171	171	170
Sun Oct 02 20:25:20 2016	1475432720	0	171	171	171
Sun Oct 02 20:25:20 2016	1475432720	0	171	171	171
Sun Oct 02 20:25:15 2016	1475432715	0	171	171	171
Sun Oct 02 20:25:17 2016	1475432717	0	171	171	171
Sun Oct 02 20:25:20 2016	1475432720	0	171	171	171
Sun Oct 02 20:25:18 2016	1475432718	0	171	171	171
Sun Oct 02 20:25:15 2016	1475432715	0	172	172	172
Sun Oct 02 20:25:19 2016	1475432719	0	172	172	172
Sun Oct 02 20:25:18 2016	1475432718	0	172	172	172
Sun Oct 02 20:25:26 2016	1475432726	0	172	172	172
Sun Oct 02 20:25:16 2016	1475432716	0	172	172	172
Sun Oct 02 20:25:14 2016	1475432714	0	172	172	172
Sun Oct 02 20:25:18 2016	1475432718	0	173	173	173
Sun Oct 02 20:25:16 2016	1475432716	0	173	173	172
Sun Oct 02 20:25:20 2016	1475432720	0	173	173	173
Sun Oct 02 20:25:18 2016	1475432718	0	173	173	173
Sun Oct 02 20:25:26 2016	1475432726	0	173	173	173
Sun Oct 02 20:25:20 2016	1475432720	0	173	173	173
Sun Oct 02 20:25:18 2016	1475432718	0	173	173	173
Sun Oct 02 20:25:15 2016	1475432715	0	173	173	173
Sun Oct 02 20:25:15 2016	1475432715	0	174	174	173
Sun Oct 02 20:25:19 2016	1475432719	0	174	174	174
Sun Oct 02 20:25:17 2016	1475432717	0	174	174	174
Sun Oct 02 20:25:17 2016	1475432717	0	174	174	174
Sun Oct 02 20:25:20 2016	1475432720	0	174	174	174
Sun Oct 02 20:25:15 2016	1475432715	0	175	175	175
Sun Oct 02 20:25:18 2016	1475432718	0	175	175	175
Sun Oct 02 20:25:14 2016	1475432714	0	175	175	175
Sun Oct 02 20:25:20 2016	1475432720	0	175	176	175
Sun Oct 02 20:25:15 2016	1475432715	0	176	176	175
Sun Oct 02 20:25:18 2016	1475432718	0	176	176	175
Sun Oct 02 20:25:15 2016	1475432715	0	176	176	176
Sun Oct 02 20:25:14 2016	1475432714	0	176	176	176
Sun Oct 02 20:25:18 2016	1475432718	0	176	176	176
Sun Oct 02 20:25:18 2016	1475432718	0	176	176	176
Sun Oct 02 20:25:17 2016	1475432717	0	176	176	176
Sun Oct 02 20:25:21 2016	1475432721	0	176	176	176
Sun Oct 02 20:25:15 2016	1475432715	0	176	176	176
Sun Oct 02 20:25:23 2016	1475432723	0	176	176	176
Sun Oct 02 20:25:20 2016	1475432720	0	177	177	177
Sun Oct 02 20:25:15 2016	1475432715	0	177	177	177
Sun Oct 02 20:25:25 2016	1475432725	0	178	178	177
Sun Oct 02 20:25:18 2016	1475432718	0	178	178	177
Sun Oct 02 20:25:15 2016	1475432715	0	178	178	178
Sun Oct 02 20:25:36 2016	1475432736	0	179	179	179
Sun Oct 02 20:25:19 2016	1475432719	0	179	179	179
Sun Oct 02 20:25:22 2016	1475432722	0	179	179	179
Sun Oct 02 20:25:16 2016	1475432716	0	179	179	179
Sun Oct 02 20:25:20 2016	1475432720	0	180	180	179
Sun Oct 02 20:25:36 2016	1475432736	0	180	180	180
Sun Oct 02 20:25:16 2016	1475432716	0	180	180	180
Sun Oct 02 20:25:19 2016	1475432719	0	180	180	180
Sun Oct 02 20:25:17 2016	1475432717	0	180	180	180
Sun Oct 02 20:25:22 2016	1475432722	0	180	180	180
Sun Oct 02 20:25:24 2016	1475432724	0	180	180	180
Sun Oct 02 20:25:16 2016	1475432716	0	180	180	180
Sun Oct 02 20:25:23 2016	1475432723	0	181	181	181
Sun Oct 02 20:25:18 2016	1475432718	0	181	181	181
Sun Oct 02 20:25:26 2016	1475432726	0	181	181	181
Sun Oct 02 20:25:14 2016	1475432714	0	181	181	181
Sun Oct 02 20:25:23 2016	1475432723	0	182	182	182
Sun Oct 02 20:25:26 2016	1475432726	0	182	182	182
Sun Oct 02 20:25:22 2016	1475432722	0	182	182	182
Sun Oct 02 20:25:29 2016	1475432729	0	182	182	182
Sun Oct 02 20:25:24 2016	1475432724	0	182	182	182
Sun Oct 02 20:25:17 2016	1475432717	0	182	183	182
Sun Oct 02 20:25:32 2016	1475432732	0	183	183	182
Sun Oct 02 20:25:14 2016	1475432714	0	183	183	182
Sun Oct 02 20:25:19 2016	1475432719	0	183	183	183
Sun Oct 02 20:25:25 2016	1475432725	0	183	183	183
Sun Oct 02 20:25:25 2016	1475432725	0	183	183	183
Sun Oct 02 20:25:19 2016	1475432719	0	183	183	183
Sun Oct 02 20:25:28 2016	1475432728	0	183	183	183
Sun Oct 02 20:25:18 2016	1475432718	0	183	183	183
Sun Oct 02 20:25:14 2016	1475432714	0	183	183	183
Sun Oct 02 20:25:30 2016	1475432730	0	183	183	183
Sun Oct 02 20:25:20 2016	1475432720	0	184	184	184
Sun Oct 02 20:25:16 2016	1475432716	0	184	184	183
Sun Oct 02 20:25:29 2016	1475432729	0	184	184	184
Sun Oct 02 20:25:16 2016	1475432716	0	184	184	184
Sun Oct 02 20:25:25 2016	1475432725	0	184	184	184
Sun Oct 02 20:25:21 2016	1475432721	0	184	184	184
Sun Oct 02 20:25:22 2016	1475432722	0	184	184	184
Sun Oct 02 20:25:20 2016	1475432720	0	184	184	184
Sun Oct 02 20:25:28 2016	1475432728	0	184	184	184
Sun Oct 02 20:25:31 2016	1475432731	0	184	185	184
Sun Oct 02 20:25:31 2016	1475432731	0	185	185	184
Sun Oct 02 20:25:14 2016	1475432714	0	185	185	184
Sun Oct 02 20:25:23 2016	1475432723	0	185	185	184
Sun Oct 02 20:25:20 2016	1475432720	0	185	185	185
Sun Oct 02 20:25:20 2016	1475432720	0	185	185	185
Sun Oct 02 20:25:23 2016	1475432723	0	185	185	185
Sun Oct 02 20:25:21 2016	1475432721	0	186	186	185
Sun Oct 02 20:25:34 2016	1475432734	0	186	186	185
Sun Oct 02 20:25:28 2016	1475432728	0	186	186	185
Sun Oct 02 20:25:30 2016	1475432730	0	186	186	185
Sun Oct 02 20:25:17 2016	1475432717	0	186	186	185
Sun Oct 02 20:25:21 2016	1475432721	0	186	186	186
Sun Oct 02 20:25:17 2016	1475432717	0	186	186	186
Sun Oct 02 20:25:23 2016	1475432723	0	186	186	186
Sun Oct 02 20:25:20 2016	1475432720	0	186	186	186
Sun Oct 02 20:25:29 2016	1475432729	0	186	186	186
Sun Oct 02 20:25:14 2016	1475432714	0	186	186	186
Sun Oct 02 20:25:16 2016	1475432716	0	186	187	186
Sun Oct 02 20:25:28 2016	1475432728	0	187	187	186
Sun Oct 02 20:25:23 2016	1475432723	0	187	187	186
Sun Oct 02 20:25:29 2016	1475432729	0	187	187	186
Sun Oct 02 20:25:17 2016	1475432717	0	187	187	186
Sun Oct 02 20:25:36 2016	1475432736	0	187	187	187
Sun Oct 02 20:25:29 2016	1475432729	0	187	187	186
Sun Oct 02 20:25:14 2016	1475432714	0	187	187	187
Sun Oct 02 20:25:25 2016	1475432725	0	187	187	187
Sun Oct 02 20:25:34 2016	1475432734	0	187	187	187
Sun Oct 02 20:25:29 2016	1475432729	0	187	187	187
Sun Oct 02 20:25:22 2016	1475432722	0	188	188	187
Sun Oct 02 20:25:32 2016	1475432732	0	188	188	187
Sun Oct 02 20:25:15 2016	1475432715	0	188	188	188
Sun Oct 02 20:25:19 2016	1475432719	0	188	188	188
Sun Oct 02 20:25:26 2016	1475432726	0	188	188	188
Sun Oct 02 20:25:18 2016	1475432718	0	188	188	188
Sun Oct 02 20:25:14 2016	1475432714	0	188	188	188
Sun Oct 02 20:25:29 2016	1475432729	0	188	188	188
Sun Oct 02 20:25:34 2016	1475432734	0	189	189	188
Sun Oct 02 20:25:15 2016	1475432715	0	189	189	189
Sun Oct 02 20:25:35 2016	1475432735	0	189	189	188
Sun Oct 02 20:25:36 2016	1475432736	0	189	189	189
Sun Oct 02 20:25:26 2016	1475432726	0	189	189	189
Sun Oct 02 20:25:15 2016	1475432715	0	189	189	189
Sun Oct 02 20:25:34 2016	1475432734	0	189	189	189
Sun Oct 02 20:25:16 2016	1475432716	0	189	189	189
Sun Oct 02 20:25:29 2016	1475432729	0	189	189	189
Sun Oct 02 20:25:18 2016	1475432718	0	189	189	189
Sun Oct 02 20:25:20 2016	1475432720	0	189	189	189
Sun Oct 02 20:25:16 2016	1475432716	0	189	189	189
Sun Oct 02 20:25:28 2016	1475432728	0	190	190	189
Sun Oct 02 20:25:27 2016	1475432727	0	190	190	189
Sun Oct 02 20:25:21 2016	1475432721	0	190	190	190
Sun Oct 02 20:25:32 2016	1475432732	0	190	190	189
Sun Oct 02 20:25:27 2016	1475432727	0	190	190	189
Sun Oct 02 20:25:16 2016	1475432716	0	190	190	190
Sun Oct 02 20:25:22 2016	1475432722	0	190	190	190
Sun Oct 02 20:25:30 2016	1475432730	0	190	190	190
Sun Oct 02 20:25:29 2016	1475432729	0	190	190	190
Sun Oct 02 20:25:20 2016	1475432720	0	190	190	190
Sun Oct 02 20:25:21 2016	1475432721	0	191	191	191
Sun Oct 02 20:25:18 2016	1475432718	0	191	191	191
Sun Oct 02 20:25:19 2016	1475432719	0	191	191	191
Sun Oct 02 20:25:27 2016	1475432727	0	191	191	191
Sun Oct 02 20:25:36 2016	1475432736	0	191	191	191
Sun Oct 02 20:25:19 2016	1475432719	0	191	191	191
Sun Oct 02 20:25:17 2016	1475432717	0	191	191	191
Sun Oct 02 20:25:16 2016	1475432716	0	192	192	191
Sun Oct 02 20:25:16 2016	1475432716	0	192	192	191
Sun Oct 02 20:25:15 2016	1475432715	0	192	192	191
Sun Oct 02 20:25:24 2016	1475432724	0	192	192	191
Sun Oct 02 20:25:23 2016	1475432723	0	192	192	192
Sun Oct 02 20:25:15 2016	1475432715	0	192	192	192
Sun Oct 02 20:25:19 2016	1475432719	0	192	192	192
Sun Oct 02 20:25:33 2016	1475432733	0	192	192	192
Sun Oct 02 20:25:34 2016	1475432734	0	192	192	192
Sun Oct 02 20:25:20 2016	1475432720	0	192	192	192
Sun Oct 02 20:25:31 2016	1475432731	0	192	192	192
Sun Oct 02 20:25:14 2016	1475432714	0	193	193	192
Sun Oct 02 20:25:15 2016	1475432715	0	193	193	192
Sun Oct 02 20:25:18 2016	1475432718	0	193	193	192
Sun Oct 02 20:25:26 2016	1475432726	0	193	193	193
