starttime	seconds	ctime	dtime	ttime	wait
Sun Oct 02 20:23:56 2016	1475432636	0	115	115	115
Sun Oct 02 20:23:58 2016	1475432638	0	119	119	119
Sun Oct 02 20:23:56 2016	1475432636	0	119	119	119
Sun Oct 02 20:23:58 2016	1475432638	0	122	122	122
Sun Oct 02 20:24:01 2016	1475432641	0	122	122	122
Sun Oct 02 20:24:00 2016	1475432640	0	123	123	122
Sun Oct 02 20:24:00 2016	1475432640	0	123	123	123
Sun Oct 02 20:23:58 2016	1475432638	0	123	123	123
Sun Oct 02 20:24:00 2016	1475432640	0	123	123	123
Sun Oct 02 20:23:59 2016	1475432639	0	124	124	123
Sun Oct 02 20:23:58 2016	1475432638	0	124	124	124
Sun Oct 02 20:24:01 2016	1475432641	0	124	124	124
Sun Oct 02 20:23:56 2016	1475432636	0	124	124	124
Sun Oct 02 20:23:59 2016	1475432639	0	124	124	124
Sun Oct 02 20:24:00 2016	1475432640	0	125	125	124
Sun Oct 02 20:23:58 2016	1475432638	0	125	125	124
Sun Oct 02 20:23:56 2016	1475432636	0	125	125	125
Sun Oct 02 20:23:56 2016	1475432636	0	125	125	125
Sun Oct 02 20:24:00 2016	1475432640	0	125	125	125
Sun Oct 02 20:23:56 2016	1475432636	0	125	125	125
Sun Oct 02 20:23:59 2016	1475432639	0	126	126	125
Sun Oct 02 20:23:59 2016	1475432639	0	126	126	126
Sun Oct 02 20:24:01 2016	1475432641	0	126	126	126
Sun Oct 02 20:24:00 2016	1475432640	0	126	126	126
Sun Oct 02 20:24:00 2016	1475432640	0	126	126	126
Sun Oct 02 20:23:57 2016	1475432637	0	127	127	127
Sun Oct 02 20:23:56 2016	1475432636	0	127	127	127
Sun Oct 02 20:23:58 2016	1475432638	0	127	127	127
Sun Oct 02 20:23:58 2016	1475432638	0	127	127	127
Sun Oct 02 20:23:58 2016	1475432638	0	127	127	127
Sun Oct 02 20:23:58 2016	1475432638	0	128	128	128
Sun Oct 02 20:23:59 2016	1475432639	0	128	128	128
Sun Oct 02 20:24:01 2016	1475432641	0	128	128	128
Sun Oct 02 20:24:00 2016	1475432640	0	128	128	128
Sun Oct 02 20:23:57 2016	1475432637	0	129	129	128
Sun Oct 02 20:23:57 2016	1475432637	0	129	129	129
Sun Oct 02 20:23:59 2016	1475432639	0	129	129	129
Sun Oct 02 20:23:58 2016	1475432638	0	129	129	129
Sun Oct 02 20:24:00 2016	1475432640	0	129	129	129
Sun Oct 02 20:23:58 2016	1475432638	0	130	130	129
Sun Oct 02 20:23:58 2016	1475432638	0	130	130	129
Sun Oct 02 20:24:01 2016	1475432641	0	130	130	130
Sun Oct 02 20:23:56 2016	1475432636	0	130	130	129
Sun Oct 02 20:23:58 2016	1475432638	0	130	130	130
Sun Oct 02 20:23:59 2016	1475432639	0	130	130	130
Sun Oct 02 20:23:56 2016	1475432636	0	130	130	130
Sun Oct 02 20:24:00 2016	1475432640	0	130	130	130
Sun Oct 02 20:24:00 2016	1475432640	0	130	130	130
Sun Oct 02 20:23:58 2016	1475432638	0	131	131	131
Sun Oct 02 20:23:57 2016	1475432637	0	131	131	130
Sun Oct 02 20:23:57 2016	1475432637	0	131	131	131
Sun Oct 02 20:23:58 2016	1475432638	0	131	131	131
Sun Oct 02 20:24:04 2016	1475432644	0	131	131	131
Sun Oct 02 20:23:58 2016	1475432638	0	131	131	131
Sun Oct 02 20:24:03 2016	1475432643	0	131	131	131
Sun Oct 02 20:24:01 2016	1475432641	0	131	131	131
Sun Oct 02 20:23:59 2016	1475432639	0	131	131	131
Sun Oct 02 20:23:59 2016	1475432639	0	132	132	131
Sun Oct 02 20:23:56 2016	1475432636	0	132	132	131
Sun Oct 02 20:24:00 2016	1475432640	0	132	132	131
Sun Oct 02 20:24:04 2016	1475432644	0	132	132	131
Sun Oct 02 20:23:56 2016	1475432636	0	132	132	132
Sun Oct 02 20:24:03 2016	1475432643	0	132	132	132
Sun Oct 02 20:23:59 2016	1475432639	0	132	132	132
Sun Oct 02 20:23:56 2016	1475432636	0	132	132	132
Sun Oct 02 20:24:00 2016	1475432640	0	132	132	132
Sun Oct 02 20:23:55 2016	1475432635	0	133	133	133
Sun Oct 02 20:23:59 2016	1475432639	0	133	133	132
Sun Oct 02 20:23:57 2016	1475432637	0	133	133	132
Sun Oct 02 20:24:03 2016	1475432643	0	133	133	133
Sun Oct 02 20:24:01 2016	1475432641	0	133	133	133
Sun Oct 02 20:23:59 2016	1475432639	0	133	133	133
Sun Oct 02 20:24:00 2016	1475432640	0	133	133	133
Sun Oct 02 20:24:06 2016	1475432646	0	133	133	133
Sun Oct 02 20:24:06 2016	1475432646	0	134	134	133
Sun Oct 02 20:23:57 2016	1475432637	0	134	134	134
Sun Oct 02 20:24:00 2016	1475432640	0	134	134	133
Sun Oct 02 20:23:59 2016	1475432639	0	134	134	133
Sun Oct 02 20:24:03 2016	1475432643	0	134	134	133
Sun Oct 02 20:24:00 2016	1475432640	0	134	134	134
Sun Oct 02 20:24:02 2016	1475432642	0	134	134	134
Sun Oct 02 20:24:04 2016	1475432644	0	134	134	134
Sun Oct 02 20:24:01 2016	1475432641	0	134	134	134
Sun Oct 02 20:23:59 2016	1475432639	0	134	135	134
Sun Oct 02 20:24:10 2016	1475432650	0	135	135	134
Sun Oct 02 20:24:01 2016	1475432641	0	135	135	134
Sun Oct 02 20:24:02 2016	1475432642	0	135	135	135
Sun Oct 02 20:23:55 2016	1475432635	0	135	135	135
Sun Oct 02 20:23:58 2016	1475432638	0	135	135	135
Sun Oct 02 20:24:01 2016	1475432641	0	135	135	134
Sun Oct 02 20:24:06 2016	1475432646	0	135	135	135
Sun Oct 02 20:23:56 2016	1475432636	0	135	135	135
Sun Oct 02 20:24:04 2016	1475432644	0	135	135	135
Sun Oct 02 20:24:00 2016	1475432640	0	135	135	135
Sun Oct 02 20:24:01 2016	1475432641	0	135	136	135
Sun Oct 02 20:23:58 2016	1475432638	0	136	136	136
Sun Oct 02 20:23:59 2016	1475432639	0	136	136	135
Sun Oct 02 20:24:02 2016	1475432642	0	136	136	136
Sun Oct 02 20:24:00 2016	1475432640	0	136	136	136
Sun Oct 02 20:23:56 2016	1475432636	0	136	136	136
Sun Oct 02 20:24:00 2016	1475432640	0	136	136	136
Sun Oct 02 20:24:06 2016	1475432646	0	136	136	136
Sun Oct 02 20:24:01 2016	1475432641	0	136	136	136
Sun Oct 02 20:23:59 2016	1475432639	0	136	136	136
Sun Oct 02 20:24:10 2016	1475432650	0	136	136	136
Sun Oct 02 20:24:06 2016	1475432646	0	136	136	136
Sun Oct 02 20:23:58 2016	1475432638	0	136	137	136
Sun Oct 02 20:23:59 2016	1475432639	0	137	137	136
Sun Oct 02 20:23:57 2016	1475432637	0	137	137	136
Sun Oct 02 20:24:10 2016	1475432650	0	137	137	136
Sun Oct 02 20:24:01 2016	1475432641	0	137	137	137
Sun Oct 02 20:23:56 2016	1475432636	0	137	137	136
Sun Oct 02 20:24:10 2016	1475432650	0	137	137	137
Sun Oct 02 20:23:55 2016	1475432635	0	137	137	137
Sun Oct 02 20:23:59 2016	1475432639	0	137	137	137
Sun Oct 02 20:23:56 2016	1475432636	0	137	137	137
Sun Oct 02 20:24:01 2016	1475432641	0	137	137	137
Sun Oct 02 20:23:57 2016	1475432637	0	137	137	137
Sun Oct 02 20:24:00 2016	1475432640	0	137	137	136
Sun Oct 02 20:23:59 2016	1475432639	0	137	138	137
Sun Oct 02 20:24:01 2016	1475432641	0	138	138	137
Sun Oct 02 20:24:03 2016	1475432643	0	138	138	137
Sun Oct 02 20:24:06 2016	1475432646	0	138	138	136
Sun Oct 02 20:24:08 2016	1475432648	0	138	138	138
Sun Oct 02 20:24:08 2016	1475432648	0	138	138	138
Sun Oct 02 20:24:00 2016	1475432640	0	138	138	138
Sun Oct 02 20:24:10 2016	1475432650	0	138	138	138
Sun Oct 02 20:24:03 2016	1475432643	0	138	138	138
Sun Oct 02 20:23:58 2016	1475432638	0	138	138	138
Sun Oct 02 20:24:03 2016	1475432643	0	139	139	138
Sun Oct 02 20:24:08 2016	1475432648	0	139	139	138
Sun Oct 02 20:24:08 2016	1475432648	0	139	139	139
Sun Oct 02 20:23:58 2016	1475432638	0	139	139	138
Sun Oct 02 20:24:02 2016	1475432642	0	139	139	139
Sun Oct 02 20:24:03 2016	1475432643	0	139	139	139
Sun Oct 02 20:23:56 2016	1475432636	0	139	139	139
Sun Oct 02 20:24:10 2016	1475432650	0	139	139	139
Sun Oct 02 20:24:05 2016	1475432645	0	139	139	139
Sun Oct 02 20:23:57 2016	1475432637	0	139	139	139
Sun Oct 02 20:24:00 2016	1475432640	0	139	139	139
Sun Oct 02 20:24:00 2016	1475432640	0	139	139	139
Sun Oct 02 20:24:01 2016	1475432641	0	139	139	139
Sun Oct 02 20:23:58 2016	1475432638	0	139	139	139
Sun Oct 02 20:24:01 2016	1475432641	0	139	139	139
Sun Oct 02 20:24:10 2016	1475432650	0	140	140	139
Sun Oct 02 20:24:03 2016	1475432643	0	140	140	139
Sun Oct 02 20:24:06 2016	1475432646	0	140	140	139
Sun Oct 02 20:23:56 2016	1475432636	0	140	140	140
Sun Oct 02 20:24:02 2016	1475432642	0	140	140	140
Sun Oct 02 20:23:57 2016	1475432637	0	140	140	140
Sun Oct 02 20:24:01 2016	1475432641	0	140	140	139
Sun Oct 02 20:23:58 2016	1475432638	0	140	140	140
Sun Oct 02 20:24:04 2016	1475432644	0	140	140	140
Sun Oct 02 20:23:56 2016	1475432636	0	140	140	140
Sun Oct 02 20:23:57 2016	1475432637	0	140	140	140
Sun Oct 02 20:23:56 2016	1475432636	0	140	140	140
Sun Oct 02 20:24:04 2016	1475432644	0	140	141	140
Sun Oct 02 20:24:06 2016	1475432646	0	141	141	140
Sun Oct 02 20:24:02 2016	1475432642	0	141	141	140
Sun Oct 02 20:24:00 2016	1475432640	0	141	141	140
Sun Oct 02 20:23:59 2016	1475432639	0	141	141	140
Sun Oct 02 20:23:57 2016	1475432637	0	141	141	140
Sun Oct 02 20:23:58 2016	1475432638	0	141	141	141
Sun Oct 02 20:23:57 2016	1475432637	0	141	141	141
Sun Oct 02 20:24:04 2016	1475432644	0	141	141	141
Sun Oct 02 20:23:58 2016	1475432638	0	141	141	141
Sun Oct 02 20:23:57 2016	1475432637	0	141	141	141
Sun Oct 02 20:24:12 2016	1475432652	0	141	141	141
Sun Oct 02 20:23:58 2016	1475432638	0	142	142	141
Sun Oct 02 20:24:12 2016	1475432652	0	142	142	142
Sun Oct 02 20:24:06 2016	1475432646	0	142	142	142
Sun Oct 02 20:24:07 2016	1475432647	0	142	142	141
Sun Oct 02 20:24:06 2016	1475432646	0	142	142	141
Sun Oct 02 20:24:00 2016	1475432640	0	142	142	142
Sun Oct 02 20:24:00 2016	1475432640	0	142	142	142
Sun Oct 02 20:23:57 2016	1475432637	0	142	142	142
Sun Oct 02 20:24:07 2016	1475432647	0	142	142	142
Sun Oct 02 20:23:57 2016	1475432637	0	142	142	142
Sun Oct 02 20:24:10 2016	1475432650	0	142	142	142
Sun Oct 02 20:24:02 2016	1475432642	0	142	142	142
Sun Oct 02 20:24:01 2016	1475432641	0	142	142	142
Sun Oct 02 20:24:06 2016	1475432646	0	142	142	142
Sun Oct 02 20:23:55 2016	1475432635	0	142	142	142
Sun Oct 02 20:24:12 2016	1475432652	0	142	142	142
Sun Oct 02 20:24:03 2016	1475432643	0	142	142	142
Sun Oct 02 20:23:56 2016	1475432636	0	143	143	142
Sun Oct 02 20:23:57 2016	1475432637	0	143	143	142
Sun Oct 02 20:23:59 2016	1475432639	0	143	143	142
Sun Oct 02 20:24:01 2016	1475432641	0	143	143	142
Sun Oct 02 20:24:07 2016	1475432647	0	143	143	143
Sun Oct 02 20:23:59 2016	1475432639	0	143	143	143
Sun Oct 02 20:24:09 2016	1475432649	0	143	143	143
Sun Oct 02 20:23:57 2016	1475432637	0	144	144	143
Sun Oct 02 20:23:58 2016	1475432638	0	144	144	142
Sun Oct 02 20:24:04 2016	1475432644	0	144	144	143
Sun Oct 02 20:23:59 2016	1475432639	0	144	144	143
Sun Oct 02 20:23:59 2016	1475432639	0	144	144	143
Sun Oct 02 20:24:00 2016	1475432640	0	144	144	144
Sun Oct 02 20:23:56 2016	1475432636	0	144	144	144
Sun Oct 02 20:24:06 2016	1475432646	0	144	144	144
Sun Oct 02 20:24:09 2016	1475432649	0	144	144	144
Sun Oct 02 20:24:03 2016	1475432643	0	144	144	144
Sun Oct 02 20:23:59 2016	1475432639	0	144	144	144
Sun Oct 02 20:24:03 2016	1475432643	0	144	144	144
Sun Oct 02 20:24:12 2016	1475432652	0	144	144	144
Sun Oct 02 20:23:57 2016	1475432637	0	144	144	144
Sun Oct 02 20:24:00 2016	1475432640	0	144	144	144
Sun Oct 02 20:23:55 2016	1475432635	0	144	144	144
Sun Oct 02 20:24:00 2016	1475432640	0	145	145	144
Sun Oct 02 20:23:56 2016	1475432636	0	145	145	144
Sun Oct 02 20:24:04 2016	1475432644	0	145	145	144
Sun Oct 02 20:24:03 2016	1475432643	0	145	145	145
Sun Oct 02 20:23:59 2016	1475432639	0	145	145	145
Sun Oct 02 20:24:08 2016	1475432648	0	145	145	145
Sun Oct 02 20:23:57 2016	1475432637	0	145	145	145
Sun Oct 02 20:24:08 2016	1475432648	0	145	145	145
Sun Oct 02 20:24:01 2016	1475432641	0	145	145	145
Sun Oct 02 20:24:05 2016	1475432645	0	145	145	145
Sun Oct 02 20:24:02 2016	1475432642	0	145	145	145
Sun Oct 02 20:24:12 2016	1475432652	0	145	145	145
Sun Oct 02 20:24:02 2016	1475432642	0	146	146	145
Sun Oct 02 20:24:02 2016	1475432642	0	146	146	145
Sun Oct 02 20:24:01 2016	1475432641	0	146	146	146
Sun Oct 02 20:23:56 2016	1475432636	0	146	146	146
Sun Oct 02 20:24:08 2016	1475432648	0	146	146	146
Sun Oct 02 20:24:01 2016	1475432641	0	146	146	146
Sun Oct 02 20:23:59 2016	1475432639	0	146	146	146
Sun Oct 02 20:24:07 2016	1475432647	0	146	146	146
Sun Oct 02 20:24:00 2016	1475432640	0	146	146	146
Sun Oct 02 20:23:57 2016	1475432637	0	146	146	146
Sun Oct 02 20:24:04 2016	1475432644	0	146	146	146
Sun Oct 02 20:24:04 2016	1475432644	0	146	146	146
Sun Oct 02 20:23:59 2016	1475432639	0	146	146	146
Sun Oct 02 20:24:10 2016	1475432650	0	146	147	146
Sun Oct 02 20:24:03 2016	1475432643	0	146	147	146
Sun Oct 02 20:23:57 2016	1475432637	0	147	147	147
Sun Oct 02 20:24:12 2016	1475432652	0	147	147	146
Sun Oct 02 20:24:00 2016	1475432640	0	147	147	146
Sun Oct 02 20:24:07 2016	1475432647	0	147	147	147
Sun Oct 02 20:23:59 2016	1475432639	0	147	147	147
Sun Oct 02 20:24:03 2016	1475432643	0	147	147	147
Sun Oct 02 20:24:10 2016	1475432650	0	147	147	147
Sun Oct 02 20:23:56 2016	1475432636	0	147	147	147
Sun Oct 02 20:24:09 2016	1475432649	0	147	147	146
Sun Oct 02 20:24:04 2016	1475432644	0	147	147	147
Sun Oct 02 20:24:13 2016	1475432653	0	147	147	146
Sun Oct 02 20:24:06 2016	1475432646	0	147	147	147
Sun Oct 02 20:24:06 2016	1475432646	0	147	147	147
Sun Oct 02 20:24:03 2016	1475432643	0	147	147	147
Sun Oct 02 20:24:12 2016	1475432652	0	147	147	147
Sun Oct 02 20:24:07 2016	1475432647	0	147	147	147
Sun Oct 02 20:24:00 2016	1475432640	0	147	147	147
Sun Oct 02 20:24:05 2016	1475432645	0	147	147	147
Sun Oct 02 20:24:02 2016	1475432642	0	148	148	147
Sun Oct 02 20:24:02 2016	1475432642	0	148	148	147
Sun Oct 02 20:23:59 2016	1475432639	0	148	148	148
Sun Oct 02 20:24:12 2016	1475432652	0	148	148	147
Sun Oct 02 20:24:12 2016	1475432652	0	148	148	147
Sun Oct 02 20:23:57 2016	1475432637	0	148	148	147
Sun Oct 02 20:24:04 2016	1475432644	0	148	148	147
Sun Oct 02 20:24:04 2016	1475432644	0	148	148	147
Sun Oct 02 20:23:58 2016	1475432638	0	148	148	148
Sun Oct 02 20:23:58 2016	1475432638	0	148	148	148
Sun Oct 02 20:23:56 2016	1475432636	0	148	148	148
Sun Oct 02 20:23:58 2016	1475432638	0	148	148	148
Sun Oct 02 20:23:59 2016	1475432639	0	148	148	148
Sun Oct 02 20:24:03 2016	1475432643	0	148	148	148
Sun Oct 02 20:24:02 2016	1475432642	0	148	148	148
Sun Oct 02 20:24:01 2016	1475432641	0	148	149	148
Sun Oct 02 20:23:57 2016	1475432637	0	148	149	148
Sun Oct 02 20:24:07 2016	1475432647	0	149	149	148
Sun Oct 02 20:24:06 2016	1475432646	0	149	149	148
Sun Oct 02 20:23:59 2016	1475432639	0	149	149	148
Sun Oct 02 20:24:09 2016	1475432649	0	149	149	148
Sun Oct 02 20:23:56 2016	1475432636	0	149	149	149
Sun Oct 02 20:24:04 2016	1475432644	0	149	149	149
Sun Oct 02 20:23:55 2016	1475432635	0	149	149	149
Sun Oct 02 20:24:08 2016	1475432648	0	149	149	149
Sun Oct 02 20:23:59 2016	1475432639	0	150	150	150
Sun Oct 02 20:24:08 2016	1475432648	0	150	150	149
Sun Oct 02 20:24:01 2016	1475432641	0	150	150	149
Sun Oct 02 20:24:01 2016	1475432641	0	150	150	150
Sun Oct 02 20:24:01 2016	1475432641	0	150	150	150
Sun Oct 02 20:24:10 2016	1475432650	0	150	150	150
Sun Oct 02 20:24:03 2016	1475432643	0	150	150	150
Sun Oct 02 20:24:09 2016	1475432649	0	150	150	150
Sun Oct 02 20:24:08 2016	1475432648	0	150	150	150
Sun Oct 02 20:23:58 2016	1475432638	0	150	150	150
Sun Oct 02 20:24:03 2016	1475432643	0	150	150	150
Sun Oct 02 20:24:04 2016	1475432644	0	150	150	150
Sun Oct 02 20:24:04 2016	1475432644	0	150	150	150
Sun Oct 02 20:23:59 2016	1475432639	0	150	150	150
Sun Oct 02 20:23:59 2016	1475432639	0	150	150	150
Sun Oct 02 20:24:02 2016	1475432642	0	150	150	150
Sun Oct 02 20:23:57 2016	1475432637	0	150	150	150
Sun Oct 02 20:24:12 2016	1475432652	0	151	151	150
Sun Oct 02 20:23:59 2016	1475432639	0	151	151	150
Sun Oct 02 20:23:55 2016	1475432635	0	151	151	150
Sun Oct 02 20:24:00 2016	1475432640	0	151	151	150
Sun Oct 02 20:23:59 2016	1475432639	0	151	151	150
Sun Oct 02 20:23:55 2016	1475432635	0	151	151	151
Sun Oct 02 20:23:58 2016	1475432638	0	151	151	151
Sun Oct 02 20:24:12 2016	1475432652	0	151	151	151
Sun Oct 02 20:24:01 2016	1475432641	0	151	151	151
Sun Oct 02 20:24:08 2016	1475432648	0	151	151	151
Sun Oct 02 20:23:57 2016	1475432637	0	151	151	151
Sun Oct 02 20:23:59 2016	1475432639	0	151	151	151
Sun Oct 02 20:24:12 2016	1475432652	0	151	151	151
Sun Oct 02 20:23:55 2016	1475432635	0	152	152	151
Sun Oct 02 20:24:08 2016	1475432648	0	152	152	151
Sun Oct 02 20:23:59 2016	1475432639	0	152	152	152
Sun Oct 02 20:24:08 2016	1475432648	0	152	152	152
Sun Oct 02 20:24:10 2016	1475432650	0	152	152	152
Sun Oct 02 20:23:59 2016	1475432639	0	152	152	152
Sun Oct 02 20:24:10 2016	1475432650	0	152	152	152
Sun Oct 02 20:24:06 2016	1475432646	0	152	152	152
Sun Oct 02 20:23:58 2016	1475432638	0	152	152	152
Sun Oct 02 20:24:04 2016	1475432644	0	152	152	152
Sun Oct 02 20:24:03 2016	1475432643	0	152	152	152
Sun Oct 02 20:24:11 2016	1475432651	0	152	152	152
Sun Oct 02 20:24:10 2016	1475432650	0	152	152	152
Sun Oct 02 20:24:08 2016	1475432648	0	152	152	152
Sun Oct 02 20:23:58 2016	1475432638	0	152	152	152
Sun Oct 02 20:24:00 2016	1475432640	0	152	152	152
Sun Oct 02 20:24:10 2016	1475432650	0	152	152	152
Sun Oct 02 20:24:02 2016	1475432642	0	152	152	152
Sun Oct 02 20:24:09 2016	1475432649	0	153	153	152
Sun Oct 02 20:24:06 2016	1475432646	0	153	153	152
Sun Oct 02 20:24:01 2016	1475432641	0	153	153	152
Sun Oct 02 20:24:10 2016	1475432650	0	153	153	152
Sun Oct 02 20:24:10 2016	1475432650	0	153	153	153
Sun Oct 02 20:23:56 2016	1475432636	0	153	153	153
Sun Oct 02 20:24:00 2016	1475432640	0	153	153	153
Sun Oct 02 20:24:02 2016	1475432642	0	153	153	153
Sun Oct 02 20:24:03 2016	1475432643	0	153	153	153
Sun Oct 02 20:24:09 2016	1475432649	0	153	153	153
Sun Oct 02 20:24:06 2016	1475432646	0	154	154	154
Sun Oct 02 20:24:02 2016	1475432642	0	154	154	153
Sun Oct 02 20:24:12 2016	1475432652	0	154	154	153
Sun Oct 02 20:24:08 2016	1475432648	0	154	154	154
Sun Oct 02 20:24:03 2016	1475432643	0	154	154	154
Sun Oct 02 20:24:10 2016	1475432650	0	154	154	154
Sun Oct 02 20:24:01 2016	1475432641	0	154	154	154
Sun Oct 02 20:24:09 2016	1475432649	0	154	154	154
Sun Oct 02 20:24:07 2016	1475432647	0	154	154	154
Sun Oct 02 20:24:09 2016	1475432649	0	154	154	154
Sun Oct 02 20:24:09 2016	1475432649	0	154	154	154
Sun Oct 02 20:23:58 2016	1475432638	0	154	154	154
Sun Oct 02 20:23:58 2016	1475432638	0	154	154	154
Sun Oct 02 20:24:06 2016	1475432646	0	154	154	154
Sun Oct 02 20:24:07 2016	1475432647	0	154	154	154
Sun Oct 02 20:24:06 2016	1475432646	0	155	155	154
Sun Oct 02 20:24:02 2016	1475432642	0	155	155	155
Sun Oct 02 20:24:02 2016	1475432642	0	155	155	154
Sun Oct 02 20:24:10 2016	1475432650	0	155	155	154
Sun Oct 02 20:24:00 2016	1475432640	0	155	155	154
Sun Oct 02 20:24:00 2016	1475432640	0	155	155	155
Sun Oct 02 20:24:03 2016	1475432643	0	155	155	155
Sun Oct 02 20:24:10 2016	1475432650	0	155	155	155
Sun Oct 02 20:24:12 2016	1475432652	0	155	155	155
Sun Oct 02 20:24:02 2016	1475432642	0	155	155	155
Sun Oct 02 20:24:10 2016	1475432650	0	155	155	155
Sun Oct 02 20:24:12 2016	1475432652	0	155	155	155
Sun Oct 02 20:24:07 2016	1475432647	0	155	155	155
Sun Oct 02 20:24:02 2016	1475432642	0	155	156	155
Sun Oct 02 20:24:02 2016	1475432642	0	156	156	155
Sun Oct 02 20:23:56 2016	1475432636	0	156	156	155
Sun Oct 02 20:24:09 2016	1475432649	0	156	156	155
Sun Oct 02 20:23:55 2016	1475432635	0	156	156	155
Sun Oct 02 20:24:00 2016	1475432640	0	156	156	156
Sun Oct 02 20:24:06 2016	1475432646	0	156	156	155
Sun Oct 02 20:23:58 2016	1475432638	0	156	156	155
Sun Oct 02 20:24:04 2016	1475432644	0	156	156	155
Sun Oct 02 20:24:04 2016	1475432644	0	156	156	155
Sun Oct 02 20:23:59 2016	1475432639	0	156	156	156
Sun Oct 02 20:23:59 2016	1475432639	0	156	156	156
Sun Oct 02 20:24:01 2016	1475432641	0	156	156	156
Sun Oct 02 20:24:03 2016	1475432643	0	156	156	156
Sun Oct 02 20:24:00 2016	1475432640	0	156	156	156
Sun Oct 02 20:23:56 2016	1475432636	0	156	156	156
Sun Oct 02 20:24:03 2016	1475432643	0	156	156	156
Sun Oct 02 20:23:58 2016	1475432638	0	156	156	156
Sun Oct 02 20:23:56 2016	1475432636	0	156	156	156
Sun Oct 02 20:24:01 2016	1475432641	0	156	156	156
Sun Oct 02 20:24:10 2016	1475432650	0	156	157	156
Sun Oct 02 20:24:05 2016	1475432645	0	157	157	156
Sun Oct 02 20:23:57 2016	1475432637	0	157	157	156
Sun Oct 02 20:24:07 2016	1475432647	0	157	157	156
Sun Oct 02 20:24:01 2016	1475432641	0	157	157	157
Sun Oct 02 20:23:57 2016	1475432637	0	157	157	157
Sun Oct 02 20:24:03 2016	1475432643	0	157	157	157
Sun Oct 02 20:23:59 2016	1475432639	0	157	157	157
Sun Oct 02 20:24:03 2016	1475432643	0	157	157	157
Sun Oct 02 20:24:00 2016	1475432640	0	157	157	157
Sun Oct 02 20:24:06 2016	1475432646	0	157	157	157
Sun Oct 02 20:24:12 2016	1475432652	0	157	157	157
Sun Oct 02 20:23:57 2016	1475432637	0	157	157	157
Sun Oct 02 20:24:03 2016	1475432643	0	157	157	157
Sun Oct 02 20:24:12 2016	1475432652	0	157	157	157
Sun Oct 02 20:24:10 2016	1475432650	0	157	157	156
Sun Oct 02 20:24:01 2016	1475432641	0	157	157	157
Sun Oct 02 20:24:04 2016	1475432644	0	157	157	157
Sun Oct 02 20:24:08 2016	1475432648	0	157	157	157
Sun Oct 02 20:24:08 2016	1475432648	0	157	157	157
Sun Oct 02 20:24:03 2016	1475432643	0	158	158	157
Sun Oct 02 20:24:10 2016	1475432650	0	158	158	157
Sun Oct 02 20:23:57 2016	1475432637	0	158	158	157
Sun Oct 02 20:24:07 2016	1475432647	0	158	158	157
Sun Oct 02 20:24:00 2016	1475432640	0	158	158	157
Sun Oct 02 20:24:12 2016	1475432652	0	158	158	157
Sun Oct 02 20:24:11 2016	1475432651	0	158	158	158
Sun Oct 02 20:23:59 2016	1475432639	0	158	158	158
Sun Oct 02 20:23:59 2016	1475432639	0	158	158	158
Sun Oct 02 20:24:08 2016	1475432648	0	158	158	158
Sun Oct 02 20:23:57 2016	1475432637	0	158	158	158
Sun Oct 02 20:24:11 2016	1475432651	0	158	158	158
Sun Oct 02 20:24:07 2016	1475432647	0	158	158	158
Sun Oct 02 20:24:01 2016	1475432641	0	158	158	158
Sun Oct 02 20:24:00 2016	1475432640	0	158	158	158
Sun Oct 02 20:24:10 2016	1475432650	0	158	158	158
Sun Oct 02 20:24:09 2016	1475432649	0	158	158	158
