starttime	seconds	ctime	dtime	ttime	wait
Sun Oct 02 20:27:53 2016	1475432873	0	64	64	64
Sun Oct 02 20:27:52 2016	1475432872	0	71	71	71
Sun Oct 02 20:27:50 2016	1475432870	0	72	72	72
Sun Oct 02 20:27:55 2016	1475432875	0	72	72	72
Sun Oct 02 20:27:54 2016	1475432874	0	73	73	73
Sun Oct 02 20:27:54 2016	1475432874	0	73	73	73
Sun Oct 02 20:27:52 2016	1475432872	0	73	73	73
Sun Oct 02 20:27:50 2016	1475432870	0	74	74	74
Sun Oct 02 20:27:54 2016	1475432874	0	74	74	73
Sun Oct 02 20:27:51 2016	1475432871	0	74	74	74
Sun Oct 02 20:27:52 2016	1475432872	0	75	75	74
Sun Oct 02 20:27:55 2016	1475432875	0	75	75	74
Sun Oct 02 20:27:50 2016	1475432870	0	75	75	75
Sun Oct 02 20:27:55 2016	1475432875	0	75	75	75
Sun Oct 02 20:27:52 2016	1475432872	0	75	75	75
Sun Oct 02 20:27:53 2016	1475432873	0	75	75	75
Sun Oct 02 20:27:52 2016	1475432872	0	76	76	76
Sun Oct 02 20:27:56 2016	1475432876	0	76	76	76
Sun Oct 02 20:27:54 2016	1475432874	0	76	76	76
Sun Oct 02 20:27:51 2016	1475432871	0	76	76	76
Sun Oct 02 20:27:53 2016	1475432873	0	76	76	76
Sun Oct 02 20:27:50 2016	1475432870	0	76	76	76
Sun Oct 02 20:27:51 2016	1475432871	0	76	77	76
Sun Oct 02 20:27:49 2016	1475432869	0	76	77	76
Sun Oct 02 20:27:51 2016	1475432871	0	76	77	76
Sun Oct 02 20:27:50 2016	1475432870	0	77	77	76
Sun Oct 02 20:27:53 2016	1475432873	0	77	77	76
Sun Oct 02 20:27:54 2016	1475432874	0	77	77	77
Sun Oct 02 20:27:50 2016	1475432870	0	77	77	77
Sun Oct 02 20:27:54 2016	1475432874	0	77	77	77
Sun Oct 02 20:27:54 2016	1475432874	0	77	77	77
Sun Oct 02 20:27:54 2016	1475432874	0	77	77	77
Sun Oct 02 20:27:52 2016	1475432872	0	77	77	77
Sun Oct 02 20:27:54 2016	1475432874	0	77	77	77
Sun Oct 02 20:27:50 2016	1475432870	0	77	77	77
Sun Oct 02 20:27:52 2016	1475432872	0	77	77	77
Sun Oct 02 20:27:52 2016	1475432872	0	77	77	77
Sun Oct 02 20:27:50 2016	1475432870	0	77	77	77
Sun Oct 02 20:27:55 2016	1475432875	0	77	78	77
Sun Oct 02 20:27:56 2016	1475432876	0	78	78	77
Sun Oct 02 20:27:52 2016	1475432872	0	78	78	77
Sun Oct 02 20:27:49 2016	1475432869	0	78	78	77
Sun Oct 02 20:27:56 2016	1475432876	0	78	78	78
Sun Oct 02 20:27:52 2016	1475432872	0	78	78	78
Sun Oct 02 20:27:56 2016	1475432876	0	78	78	78
Sun Oct 02 20:27:51 2016	1475432871	0	78	78	78
Sun Oct 02 20:27:49 2016	1475432869	0	78	78	78
Sun Oct 02 20:27:54 2016	1475432874	0	78	78	78
Sun Oct 02 20:27:51 2016	1475432871	0	78	78	78
Sun Oct 02 20:27:50 2016	1475432870	0	78	78	78
Sun Oct 02 20:27:51 2016	1475432871	0	78	78	78
Sun Oct 02 20:27:53 2016	1475432873	0	78	78	78
Sun Oct 02 20:27:51 2016	1475432871	0	78	78	78
Sun Oct 02 20:27:52 2016	1475432872	0	78	78	77
Sun Oct 02 20:27:53 2016	1475432873	0	79	79	78
Sun Oct 02 20:27:51 2016	1475432871	0	79	79	78
Sun Oct 02 20:27:52 2016	1475432872	0	79	79	78
Sun Oct 02 20:27:54 2016	1475432874	0	79	79	78
Sun Oct 02 20:27:51 2016	1475432871	0	79	79	79
Sun Oct 02 20:27:53 2016	1475432873	0	79	79	79
Sun Oct 02 20:27:50 2016	1475432870	0	79	79	79
Sun Oct 02 20:27:54 2016	1475432874	0	79	79	79
Sun Oct 02 20:27:51 2016	1475432871	0	79	79	79
Sun Oct 02 20:27:52 2016	1475432872	0	79	79	79
Sun Oct 02 20:27:56 2016	1475432876	0	79	79	79
Sun Oct 02 20:27:56 2016	1475432876	0	79	79	79
Sun Oct 02 20:27:54 2016	1475432874	0	79	79	79
Sun Oct 02 20:27:53 2016	1475432873	0	79	79	79
Sun Oct 02 20:27:56 2016	1475432876	0	79	79	79
Sun Oct 02 20:27:53 2016	1475432873	0	79	80	79
Sun Oct 02 20:27:50 2016	1475432870	0	80	80	79
Sun Oct 02 20:27:54 2016	1475432874	0	80	80	80
Sun Oct 02 20:27:50 2016	1475432870	0	80	80	79
Sun Oct 02 20:27:49 2016	1475432869	0	80	80	79
Sun Oct 02 20:27:55 2016	1475432875	0	80	80	80
Sun Oct 02 20:27:56 2016	1475432876	0	80	80	80
Sun Oct 02 20:27:56 2016	1475432876	0	80	80	79
Sun Oct 02 20:27:56 2016	1475432876	0	80	80	80
Sun Oct 02 20:27:54 2016	1475432874	0	80	80	80
Sun Oct 02 20:27:54 2016	1475432874	0	80	80	80
Sun Oct 02 20:27:54 2016	1475432874	0	80	80	80
Sun Oct 02 20:27:55 2016	1475432875	0	80	80	80
Sun Oct 02 20:27:56 2016	1475432876	0	80	80	80
Sun Oct 02 20:27:53 2016	1475432873	0	80	80	80
Sun Oct 02 20:27:52 2016	1475432872	0	80	80	80
Sun Oct 02 20:27:50 2016	1475432870	0	81	81	80
Sun Oct 02 20:27:50 2016	1475432870	0	81	81	80
Sun Oct 02 20:27:55 2016	1475432875	0	81	81	80
Sun Oct 02 20:27:52 2016	1475432872	0	81	81	80
Sun Oct 02 20:27:54 2016	1475432874	0	81	81	81
Sun Oct 02 20:27:54 2016	1475432874	0	81	81	80
Sun Oct 02 20:27:54 2016	1475432874	0	81	81	81
Sun Oct 02 20:27:49 2016	1475432869	0	81	81	81
Sun Oct 02 20:27:52 2016	1475432872	0	81	81	81
Sun Oct 02 20:27:56 2016	1475432876	0	81	81	81
Sun Oct 02 20:27:56 2016	1475432876	0	81	81	81
Sun Oct 02 20:27:55 2016	1475432875	0	81	81	81
Sun Oct 02 20:27:53 2016	1475432873	0	81	81	81
Sun Oct 02 20:27:51 2016	1475432871	0	81	81	81
Sun Oct 02 20:27:55 2016	1475432875	0	81	81	81
Sun Oct 02 20:27:52 2016	1475432872	0	81	81	81
Sun Oct 02 20:27:52 2016	1475432872	0	81	81	81
Sun Oct 02 20:27:52 2016	1475432872	0	81	81	81
Sun Oct 02 20:27:51 2016	1475432871	0	81	81	81
Sun Oct 02 20:27:55 2016	1475432875	0	81	81	81
Sun Oct 02 20:27:57 2016	1475432877	0	81	81	81
Sun Oct 02 20:27:54 2016	1475432874	0	81	81	81
Sun Oct 02 20:27:54 2016	1475432874	0	81	81	81
Sun Oct 02 20:27:58 2016	1475432878	0	81	81	81
Sun Oct 02 20:27:56 2016	1475432876	0	81	81	81
Sun Oct 02 20:27:55 2016	1475432875	0	81	81	81
Sun Oct 02 20:27:50 2016	1475432870	0	81	82	81
Sun Oct 02 20:27:50 2016	1475432870	0	81	82	81
Sun Oct 02 20:27:50 2016	1475432870	0	81	82	81
Sun Oct 02 20:27:56 2016	1475432876	0	81	82	81
Sun Oct 02 20:27:58 2016	1475432878	0	82	82	81
Sun Oct 02 20:27:55 2016	1475432875	0	82	82	81
Sun Oct 02 20:27:50 2016	1475432870	0	82	82	81
Sun Oct 02 20:27:50 2016	1475432870	0	82	82	81
Sun Oct 02 20:27:50 2016	1475432870	0	82	82	81
Sun Oct 02 20:27:54 2016	1475432874	0	82	82	81
Sun Oct 02 20:27:50 2016	1475432870	0	82	82	82
Sun Oct 02 20:27:52 2016	1475432872	0	82	82	82
Sun Oct 02 20:27:56 2016	1475432876	0	82	82	82
Sun Oct 02 20:27:58 2016	1475432878	0	82	82	82
Sun Oct 02 20:27:49 2016	1475432869	0	82	82	82
Sun Oct 02 20:27:51 2016	1475432871	0	82	82	81
Sun Oct 02 20:27:50 2016	1475432870	0	82	82	82
Sun Oct 02 20:27:53 2016	1475432873	0	82	82	82
Sun Oct 02 20:27:54 2016	1475432874	0	82	82	82
Sun Oct 02 20:27:53 2016	1475432873	0	82	82	82
Sun Oct 02 20:27:53 2016	1475432873	0	82	82	82
Sun Oct 02 20:27:55 2016	1475432875	0	82	82	82
Sun Oct 02 20:27:55 2016	1475432875	0	82	82	82
Sun Oct 02 20:27:54 2016	1475432874	0	82	82	82
Sun Oct 02 20:27:51 2016	1475432871	0	82	82	82
Sun Oct 02 20:27:50 2016	1475432870	0	82	82	82
Sun Oct 02 20:27:56 2016	1475432876	0	82	82	81
Sun Oct 02 20:27:56 2016	1475432876	0	82	82	82
Sun Oct 02 20:27:55 2016	1475432875	0	83	83	82
Sun Oct 02 20:27:55 2016	1475432875	0	83	83	82
Sun Oct 02 20:27:49 2016	1475432869	0	83	83	82
Sun Oct 02 20:27:59 2016	1475432879	0	83	83	82
Sun Oct 02 20:27:56 2016	1475432876	0	83	83	83
Sun Oct 02 20:27:53 2016	1475432873	0	83	83	83
Sun Oct 02 20:27:54 2016	1475432874	0	83	83	83
Sun Oct 02 20:27:55 2016	1475432875	0	83	83	83
Sun Oct 02 20:27:50 2016	1475432870	0	83	83	83
Sun Oct 02 20:27:50 2016	1475432870	0	83	83	83
Sun Oct 02 20:27:52 2016	1475432872	0	83	83	83
Sun Oct 02 20:27:59 2016	1475432879	0	83	83	83
Sun Oct 02 20:27:52 2016	1475432872	0	83	83	83
Sun Oct 02 20:27:56 2016	1475432876	0	83	83	82
Sun Oct 02 20:27:56 2016	1475432876	0	83	83	83
Sun Oct 02 20:27:58 2016	1475432878	0	83	83	83
Sun Oct 02 20:27:51 2016	1475432871	0	83	83	83
Sun Oct 02 20:27:54 2016	1475432874	0	83	83	83
Sun Oct 02 20:27:58 2016	1475432878	0	83	83	83
Sun Oct 02 20:27:55 2016	1475432875	0	83	83	83
Sun Oct 02 20:27:55 2016	1475432875	0	83	83	83
Sun Oct 02 20:27:51 2016	1475432871	0	83	83	83
Sun Oct 02 20:27:54 2016	1475432874	0	83	83	83
Sun Oct 02 20:27:52 2016	1475432872	0	83	83	83
Sun Oct 02 20:27:51 2016	1475432871	0	83	83	83
Sun Oct 02 20:27:52 2016	1475432872	0	83	84	83
Sun Oct 02 20:27:58 2016	1475432878	0	83	84	83
Sun Oct 02 20:27:53 2016	1475432873	0	83	84	83
Sun Oct 02 20:27:50 2016	1475432870	0	84	84	83
Sun Oct 02 20:27:51 2016	1475432871	0	84	84	83
Sun Oct 02 20:27:55 2016	1475432875	0	84	84	84
Sun Oct 02 20:27:52 2016	1475432872	0	84	84	84
Sun Oct 02 20:27:49 2016	1475432869	0	84	84	84
Sun Oct 02 20:27:54 2016	1475432874	0	84	84	84
Sun Oct 02 20:27:51 2016	1475432871	0	84	84	84
Sun Oct 02 20:27:55 2016	1475432875	0	84	84	84
Sun Oct 02 20:27:56 2016	1475432876	0	84	84	84
Sun Oct 02 20:27:53 2016	1475432873	0	84	84	84
Sun Oct 02 20:27:50 2016	1475432870	0	84	84	84
Sun Oct 02 20:27:51 2016	1475432871	0	84	84	84
Sun Oct 02 20:27:54 2016	1475432874	0	84	84	84
Sun Oct 02 20:27:56 2016	1475432876	0	84	84	84
Sun Oct 02 20:27:55 2016	1475432875	0	84	84	84
Sun Oct 02 20:27:50 2016	1475432870	0	84	84	84
Sun Oct 02 20:27:54 2016	1475432874	0	84	84	81
Sun Oct 02 20:27:50 2016	1475432870	0	84	84	84
Sun Oct 02 20:27:59 2016	1475432879	0	84	84	84
Sun Oct 02 20:27:53 2016	1475432873	0	84	84	84
Sun Oct 02 20:27:50 2016	1475432870	0	84	84	84
Sun Oct 02 20:27:57 2016	1475432877	0	84	84	84
Sun Oct 02 20:27:54 2016	1475432874	0	84	84	84
Sun Oct 02 20:27:55 2016	1475432875	0	84	84	84
Sun Oct 02 20:27:49 2016	1475432869	0	84	85	84
Sun Oct 02 20:27:54 2016	1475432874	0	85	85	84
Sun Oct 02 20:27:54 2016	1475432874	0	85	85	84
Sun Oct 02 20:27:49 2016	1475432869	0	85	85	84
Sun Oct 02 20:27:51 2016	1475432871	0	85	85	84
Sun Oct 02 20:27:53 2016	1475432873	0	85	85	84
Sun Oct 02 20:27:57 2016	1475432877	0	85	85	84
Sun Oct 02 20:27:53 2016	1475432873	0	85	85	85
Sun Oct 02 20:27:56 2016	1475432876	0	85	85	84
Sun Oct 02 20:27:52 2016	1475432872	0	85	85	85
Sun Oct 02 20:27:53 2016	1475432873	0	85	85	85
Sun Oct 02 20:27:51 2016	1475432871	0	85	85	85
Sun Oct 02 20:27:59 2016	1475432879	0	85	85	85
Sun Oct 02 20:27:50 2016	1475432870	0	85	85	85
Sun Oct 02 20:27:51 2016	1475432871	0	85	85	85
Sun Oct 02 20:27:54 2016	1475432874	0	85	85	84
Sun Oct 02 20:27:54 2016	1475432874	0	85	85	85
Sun Oct 02 20:27:51 2016	1475432871	0	85	85	85
Sun Oct 02 20:27:57 2016	1475432877	0	85	85	85
Sun Oct 02 20:27:51 2016	1475432871	0	85	85	85
Sun Oct 02 20:27:54 2016	1475432874	0	85	85	85
Sun Oct 02 20:27:54 2016	1475432874	0	85	85	85
Sun Oct 02 20:27:52 2016	1475432872	0	85	85	85
Sun Oct 02 20:27:51 2016	1475432871	0	85	85	85
Sun Oct 02 20:27:56 2016	1475432876	0	86	86	85
Sun Oct 02 20:27:54 2016	1475432874	0	86	86	86
Sun Oct 02 20:27:58 2016	1475432878	0	86	86	85
Sun Oct 02 20:27:55 2016	1475432875	0	86	86	86
Sun Oct 02 20:27:56 2016	1475432876	0	86	86	86
Sun Oct 02 20:27:51 2016	1475432871	0	86	86	86
Sun Oct 02 20:27:51 2016	1475432871	0	86	86	86
Sun Oct 02 20:27:58 2016	1475432878	0	86	86	86
Sun Oct 02 20:27:51 2016	1475432871	0	86	86	86
Sun Oct 02 20:27:50 2016	1475432870	0	86	86	86
Sun Oct 02 20:27:50 2016	1475432870	0	86	86	86
Sun Oct 02 20:27:53 2016	1475432873	0	86	86	86
Sun Oct 02 20:27:55 2016	1475432875	0	86	86	86
Sun Oct 02 20:27:51 2016	1475432871	0	86	86	86
Sun Oct 02 20:27:52 2016	1475432872	0	86	86	86
Sun Oct 02 20:27:49 2016	1475432869	0	86	86	86
Sun Oct 02 20:27:52 2016	1475432872	0	86	86	85
Sun Oct 02 20:27:51 2016	1475432871	0	86	86	86
Sun Oct 02 20:27:53 2016	1475432873	0	86	86	86
Sun Oct 02 20:27:54 2016	1475432874	0	86	86	86
Sun Oct 02 20:27:53 2016	1475432873	0	86	86	86
Sun Oct 02 20:27:55 2016	1475432875	0	86	86	86
Sun Oct 02 20:27:52 2016	1475432872	0	86	86	86
Sun Oct 02 20:27:52 2016	1475432872	0	86	86	86
Sun Oct 02 20:27:56 2016	1475432876	0	86	86	86
Sun Oct 02 20:27:51 2016	1475432871	0	86	86	86
Sun Oct 02 20:27:52 2016	1475432872	0	86	86	86
Sun Oct 02 20:27:52 2016	1475432872	0	86	86	86
Sun Oct 02 20:27:53 2016	1475432873	0	87	87	86
Sun Oct 02 20:27:59 2016	1475432879	0	87	87	86
Sun Oct 02 20:27:55 2016	1475432875	0	87	87	86
Sun Oct 02 20:27:55 2016	1475432875	0	87	87	87
Sun Oct 02 20:27:53 2016	1475432873	0	87	87	87
Sun Oct 02 20:27:50 2016	1475432870	0	87	87	86
Sun Oct 02 20:27:56 2016	1475432876	0	87	87	87
Sun Oct 02 20:27:54 2016	1475432874	0	87	87	87
Sun Oct 02 20:27:53 2016	1475432873	0	87	87	87
Sun Oct 02 20:27:54 2016	1475432874	0	87	87	86
Sun Oct 02 20:27:53 2016	1475432873	0	87	87	87
Sun Oct 02 20:27:54 2016	1475432874	0	87	87	87
Sun Oct 02 20:27:56 2016	1475432876	0	87	87	87
Sun Oct 02 20:27:55 2016	1475432875	0	87	87	87
Sun Oct 02 20:27:58 2016	1475432878	0	87	87	87
Sun Oct 02 20:27:55 2016	1475432875	0	87	87	87
Sun Oct 02 20:27:56 2016	1475432876	0	87	87	87
Sun Oct 02 20:27:55 2016	1475432875	0	88	88	87
Sun Oct 02 20:27:51 2016	1475432871	0	88	88	87
Sun Oct 02 20:27:54 2016	1475432874	0	88	88	87
Sun Oct 02 20:27:57 2016	1475432877	0	88	88	87
Sun Oct 02 20:27:54 2016	1475432874	0	88	88	87
Sun Oct 02 20:27:56 2016	1475432876	0	88	88	87
Sun Oct 02 20:27:51 2016	1475432871	0	88	88	87
Sun Oct 02 20:27:58 2016	1475432878	0	88	88	88
Sun Oct 02 20:27:56 2016	1475432876	0	88	88	87
Sun Oct 02 20:27:55 2016	1475432875	0	88	88	88
Sun Oct 02 20:27:51 2016	1475432871	0	88	88	87
Sun Oct 02 20:27:54 2016	1475432874	0	88	88	87
Sun Oct 02 20:27:50 2016	1475432870	0	88	88	88
Sun Oct 02 20:27:54 2016	1475432874	0	88	88	88
Sun Oct 02 20:27:49 2016	1475432869	0	88	88	88
Sun Oct 02 20:27:55 2016	1475432875	0	88	88	88
Sun Oct 02 20:27:50 2016	1475432870	0	88	88	87
Sun Oct 02 20:27:50 2016	1475432870	0	88	88	88
Sun Oct 02 20:27:55 2016	1475432875	0	88	88	88
Sun Oct 02 20:27:53 2016	1475432873	0	88	88	88
Sun Oct 02 20:27:51 2016	1475432871	0	88	88	88
Sun Oct 02 20:27:51 2016	1475432871	0	88	88	88
Sun Oct 02 20:27:51 2016	1475432871	0	88	88	88
Sun Oct 02 20:27:53 2016	1475432873	0	88	88	88
Sun Oct 02 20:27:57 2016	1475432877	0	88	88	88
Sun Oct 02 20:27:54 2016	1475432874	0	88	88	88
Sun Oct 02 20:27:59 2016	1475432879	0	88	89	88
