starttime	seconds	ctime	dtime	ttime	wait
Sun Oct 02 20:26:41 2016	1475432801	0	76	76	75
Sun Oct 02 20:26:39 2016	1475432799	0	81	81	81
Sun Oct 02 20:26:39 2016	1475432799	0	82	82	82
Sun Oct 02 20:26:41 2016	1475432801	0	86	86	86
Sun Oct 02 20:26:39 2016	1475432799	0	86	86	86
Sun Oct 02 20:26:41 2016	1475432801	0	86	86	86
Sun Oct 02 20:26:41 2016	1475432801	0	87	87	87
Sun Oct 02 20:26:39 2016	1475432799	0	88	88	88
Sun Oct 02 20:26:40 2016	1475432800	0	88	88	88
Sun Oct 02 20:26:40 2016	1475432800	0	88	88	88
Sun Oct 02 20:26:44 2016	1475432804	0	88	88	88
Sun Oct 02 20:26:41 2016	1475432801	0	88	88	88
Sun Oct 02 20:26:43 2016	1475432803	0	88	88	88
Sun Oct 02 20:26:41 2016	1475432801	0	88	88	88
Sun Oct 02 20:26:37 2016	1475432797	0	88	88	88
Sun Oct 02 20:26:37 2016	1475432797	0	88	88	88
Sun Oct 02 20:26:41 2016	1475432801	0	88	88	88
Sun Oct 02 20:26:40 2016	1475432800	0	89	89	88
Sun Oct 02 20:26:43 2016	1475432803	0	89	89	89
Sun Oct 02 20:26:39 2016	1475432799	0	89	89	89
Sun Oct 02 20:26:37 2016	1475432797	0	89	89	89
Sun Oct 02 20:26:37 2016	1475432797	0	89	89	89
Sun Oct 02 20:26:38 2016	1475432798	0	90	90	89
Sun Oct 02 20:26:40 2016	1475432800	0	90	90	89
Sun Oct 02 20:26:38 2016	1475432798	0	90	90	89
Sun Oct 02 20:26:43 2016	1475432803	0	90	90	89
Sun Oct 02 20:26:44 2016	1475432804	0	90	90	90
Sun Oct 02 20:26:40 2016	1475432800	0	90	90	90
Sun Oct 02 20:26:38 2016	1475432798	0	90	90	90
Sun Oct 02 20:26:43 2016	1475432803	0	90	90	90
Sun Oct 02 20:26:42 2016	1475432802	0	90	90	90
Sun Oct 02 20:26:44 2016	1475432804	0	91	91	90
Sun Oct 02 20:26:39 2016	1475432799	0	91	91	91
Sun Oct 02 20:26:42 2016	1475432802	0	91	91	91
Sun Oct 02 20:26:43 2016	1475432803	0	91	91	91
Sun Oct 02 20:26:37 2016	1475432797	0	91	91	91
Sun Oct 02 20:26:44 2016	1475432804	0	92	92	91
Sun Oct 02 20:26:44 2016	1475432804	0	92	92	91
Sun Oct 02 20:26:37 2016	1475432797	0	92	92	91
Sun Oct 02 20:26:40 2016	1475432800	0	92	92	92
Sun Oct 02 20:26:43 2016	1475432803	0	92	92	92
Sun Oct 02 20:26:44 2016	1475432804	0	92	92	92
Sun Oct 02 20:26:44 2016	1475432804	0	92	92	92
Sun Oct 02 20:26:39 2016	1475432799	0	92	92	92
Sun Oct 02 20:26:37 2016	1475432797	0	92	92	92
Sun Oct 02 20:26:41 2016	1475432801	0	92	92	92
Sun Oct 02 20:26:38 2016	1475432798	0	92	92	92
Sun Oct 02 20:26:41 2016	1475432801	0	92	92	92
Sun Oct 02 20:26:37 2016	1475432797	0	92	92	92
Sun Oct 02 20:26:37 2016	1475432797	0	92	92	92
Sun Oct 02 20:26:37 2016	1475432797	0	92	92	92
Sun Oct 02 20:26:41 2016	1475432801	0	92	92	92
Sun Oct 02 20:26:44 2016	1475432804	0	92	92	92
Sun Oct 02 20:26:39 2016	1475432799	0	93	93	92
Sun Oct 02 20:26:42 2016	1475432802	0	93	93	92
Sun Oct 02 20:26:38 2016	1475432798	0	93	93	93
Sun Oct 02 20:26:39 2016	1475432799	0	93	93	92
Sun Oct 02 20:26:44 2016	1475432804	0	93	93	92
Sun Oct 02 20:26:39 2016	1475432799	0	93	93	92
Sun Oct 02 20:26:43 2016	1475432803	0	93	93	93
Sun Oct 02 20:26:41 2016	1475432801	0	93	93	93
Sun Oct 02 20:26:43 2016	1475432803	0	93	93	93
Sun Oct 02 20:26:42 2016	1475432802	0	93	93	93
Sun Oct 02 20:26:40 2016	1475432800	0	93	93	93
Sun Oct 02 20:26:43 2016	1475432803	0	93	93	93
Sun Oct 02 20:26:43 2016	1475432803	0	93	93	93
Sun Oct 02 20:26:37 2016	1475432797	0	93	93	93
Sun Oct 02 20:26:44 2016	1475432804	0	93	93	93
Sun Oct 02 20:26:43 2016	1475432803	0	93	93	93
Sun Oct 02 20:26:37 2016	1475432797	0	93	93	93
Sun Oct 02 20:26:40 2016	1475432800	0	94	94	93
Sun Oct 02 20:26:42 2016	1475432802	0	94	94	93
Sun Oct 02 20:26:44 2016	1475432804	0	94	94	93
Sun Oct 02 20:26:38 2016	1475432798	0	94	94	94
Sun Oct 02 20:26:42 2016	1475432802	0	94	94	94
Sun Oct 02 20:26:39 2016	1475432799	0	94	94	94
Sun Oct 02 20:26:43 2016	1475432803	0	94	94	94
Sun Oct 02 20:26:41 2016	1475432801	0	94	94	94
Sun Oct 02 20:26:37 2016	1475432797	0	94	94	94
Sun Oct 02 20:26:40 2016	1475432800	0	94	94	94
Sun Oct 02 20:26:43 2016	1475432803	0	94	94	94
Sun Oct 02 20:26:43 2016	1475432803	0	94	94	94
Sun Oct 02 20:26:40 2016	1475432800	0	94	94	94
Sun Oct 02 20:26:41 2016	1475432801	0	94	94	94
Sun Oct 02 20:26:40 2016	1475432800	0	94	94	94
Sun Oct 02 20:26:40 2016	1475432800	0	94	94	94
Sun Oct 02 20:26:39 2016	1475432799	0	94	95	94
Sun Oct 02 20:26:40 2016	1475432800	0	95	95	95
Sun Oct 02 20:26:41 2016	1475432801	0	95	95	94
Sun Oct 02 20:26:44 2016	1475432804	0	95	95	95
Sun Oct 02 20:26:43 2016	1475432803	0	95	95	95
Sun Oct 02 20:26:39 2016	1475432799	0	95	95	95
Sun Oct 02 20:26:38 2016	1475432798	0	95	95	95
Sun Oct 02 20:26:43 2016	1475432803	0	95	95	95
Sun Oct 02 20:26:42 2016	1475432802	0	95	95	95
Sun Oct 02 20:26:40 2016	1475432800	0	95	95	95
Sun Oct 02 20:26:38 2016	1475432798	0	95	95	95
Sun Oct 02 20:26:38 2016	1475432798	0	95	95	95
Sun Oct 02 20:26:39 2016	1475432799	0	95	95	95
Sun Oct 02 20:26:42 2016	1475432802	0	95	95	95
Sun Oct 02 20:26:39 2016	1475432799	0	95	95	95
Sun Oct 02 20:26:43 2016	1475432803	0	95	95	95
Sun Oct 02 20:26:38 2016	1475432798	0	96	96	96
Sun Oct 02 20:26:37 2016	1475432797	0	96	96	95
Sun Oct 02 20:26:42 2016	1475432802	0	96	96	95
Sun Oct 02 20:26:43 2016	1475432803	0	96	96	96
Sun Oct 02 20:26:38 2016	1475432798	0	96	96	96
Sun Oct 02 20:26:40 2016	1475432800	0	96	96	96
Sun Oct 02 20:26:37 2016	1475432797	0	96	96	96
