starttime	seconds	ctime	dtime	ttime	wait
Sun Oct 02 20:33:35 2016	1475433215	0	85	85	85
Sun Oct 02 20:33:36 2016	1475433216	0	88	88	88
Sun Oct 02 20:33:34 2016	1475433214	0	88	88	88
Sun Oct 02 20:33:32 2016	1475433212	0	90	90	90
Sun Oct 02 20:33:35 2016	1475433215	0	91	91	91
Sun Oct 02 20:33:35 2016	1475433215	0	92	92	92
Sun Oct 02 20:33:36 2016	1475433216	0	93	93	93
Sun Oct 02 20:33:34 2016	1475433214	0	94	94	93
Sun Oct 02 20:33:33 2016	1475433213	0	94	94	94
Sun Oct 02 20:33:33 2016	1475433213	0	95	95	95
Sun Oct 02 20:33:37 2016	1475433217	0	95	95	95
Sun Oct 02 20:33:36 2016	1475433216	0	96	96	96
Sun Oct 02 20:33:34 2016	1475433214	0	96	96	96
Sun Oct 02 20:33:37 2016	1475433217	0	96	96	96
Sun Oct 02 20:33:32 2016	1475433212	0	96	96	96
Sun Oct 02 20:33:32 2016	1475433212	0	96	96	96
Sun Oct 02 20:33:33 2016	1475433213	0	96	96	96
Sun Oct 02 20:33:34 2016	1475433214	0	96	96	96
Sun Oct 02 20:33:37 2016	1475433217	0	96	96	96
Sun Oct 02 20:33:34 2016	1475433214	0	96	96	96
Sun Oct 02 20:33:38 2016	1475433218	0	97	97	96
Sun Oct 02 20:33:37 2016	1475433217	0	97	97	96
Sun Oct 02 20:33:34 2016	1475433214	0	97	97	97
Sun Oct 02 20:33:37 2016	1475433217	0	97	97	97
Sun Oct 02 20:33:32 2016	1475433212	0	97	97	97
Sun Oct 02 20:33:35 2016	1475433215	0	97	97	97
Sun Oct 02 20:33:36 2016	1475433216	0	97	97	97
Sun Oct 02 20:33:36 2016	1475433216	0	97	97	97
Sun Oct 02 20:33:34 2016	1475433214	0	98	98	97
Sun Oct 02 20:33:33 2016	1475433213	0	98	98	97
Sun Oct 02 20:33:34 2016	1475433214	0	98	98	98
Sun Oct 02 20:33:37 2016	1475433217	0	98	98	97
Sun Oct 02 20:33:36 2016	1475433216	0	98	98	97
Sun Oct 02 20:33:32 2016	1475433212	0	98	98	98
Sun Oct 02 20:33:36 2016	1475433216	0	99	99	98
Sun Oct 02 20:33:34 2016	1475433214	0	99	99	99
Sun Oct 02 20:33:34 2016	1475433214	0	99	99	99
Sun Oct 02 20:33:33 2016	1475433213	0	99	99	99
Sun Oct 02 20:33:32 2016	1475433212	0	99	99	99
Sun Oct 02 20:33:33 2016	1475433213	0	99	99	99
Sun Oct 02 20:33:38 2016	1475433218	0	99	99	99
Sun Oct 02 20:33:34 2016	1475433214	0	99	99	99
Sun Oct 02 20:33:44 2016	1475433224	0	99	99	99
Sun Oct 02 20:33:35 2016	1475433215	0	99	99	99
Sun Oct 02 20:33:33 2016	1475433213	0	99	99	99
Sun Oct 02 20:33:37 2016	1475433217	0	99	99	99
Sun Oct 02 20:33:32 2016	1475433212	0	99	100	99
Sun Oct 02 20:33:34 2016	1475433214	0	99	100	99
Sun Oct 02 20:33:33 2016	1475433213	0	100	100	99
Sun Oct 02 20:33:35 2016	1475433215	0	100	100	99
Sun Oct 02 20:33:32 2016	1475433212	0	100	100	99
Sun Oct 02 20:33:35 2016	1475433215	0	100	100	100
Sun Oct 02 20:33:35 2016	1475433215	0	100	100	99
