starttime	seconds	ctime	dtime	ttime	wait
Sun Oct 02 20:29:04 2016	1475432944	0	415	415	415
Sun Oct 02 20:29:01 2016	1475432941	0	418	418	417
Sun Oct 02 20:29:00 2016	1475432940	1	418	419	417
Sun Oct 02 20:29:01 2016	1475432941	0	426	426	426
Sun Oct 02 20:29:01 2016	1475432941	0	432	432	432
Sun Oct 02 20:29:05 2016	1475432945	0	437	437	437
Sun Oct 02 20:29:06 2016	1475432946	0	441	441	434
Sun Oct 02 20:29:03 2016	1475432943	0	441	441	441
Sun Oct 02 20:29:05 2016	1475432945	0	442	442	442
Sun Oct 02 20:29:06 2016	1475432946	0	444	444	444
Sun Oct 02 20:29:05 2016	1475432945	0	445	445	445
Sun Oct 02 20:29:04 2016	1475432944	0	446	447	446
Sun Oct 02 20:29:03 2016	1475432943	0	447	447	447
Sun Oct 02 20:29:01 2016	1475432941	0	452	452	452
Sun Oct 02 20:29:03 2016	1475432943	0	454	454	454
Sun Oct 02 20:29:04 2016	1475432944	0	454	454	454
Sun Oct 02 20:29:04 2016	1475432944	0	457	457	456
Sun Oct 02 20:29:06 2016	1475432946	0	459	459	459
Sun Oct 02 20:29:01 2016	1475432941	0	460	460	460
Sun Oct 02 20:29:02 2016	1475432942	0	462	462	462
Sun Oct 02 20:29:05 2016	1475432945	0	463	463	463
Sun Oct 02 20:29:03 2016	1475432943	0	464	464	463
Sun Oct 02 20:29:06 2016	1475432946	0	467	467	467
Sun Oct 02 20:29:06 2016	1475432946	0	467	467	467
Sun Oct 02 20:29:05 2016	1475432945	0	468	469	468
Sun Oct 02 20:29:01 2016	1475432941	0	470	470	470
Sun Oct 02 20:29:03 2016	1475432943	0	470	470	470
Sun Oct 02 20:29:13 2016	1475432953	0	472	472	471
Sun Oct 02 20:29:11 2016	1475432951	0	472	472	472
Sun Oct 02 20:29:03 2016	1475432943	0	475	475	474
Sun Oct 02 20:29:05 2016	1475432945	0	476	476	476
Sun Oct 02 20:29:05 2016	1475432945	0	477	477	477
Sun Oct 02 20:29:06 2016	1475432946	0	478	478	478
Sun Oct 02 20:29:02 2016	1475432942	0	478	478	478
Sun Oct 02 20:29:09 2016	1475432949	0	481	481	481
Sun Oct 02 20:29:06 2016	1475432946	0	482	482	482
Sun Oct 02 20:29:09 2016	1475432949	0	484	484	483
