starttime	seconds	ctime	dtime	ttime	wait
Sun Oct 02 20:31:10 2016	1475433070	0	93	93	93
Sun Oct 02 20:31:10 2016	1475433070	0	100	100	100
Sun Oct 02 20:31:09 2016	1475433069	0	102	102	102
Sun Oct 02 20:31:09 2016	1475433069	0	104	104	104
Sun Oct 02 20:31:10 2016	1475433070	0	106	106	106
Sun Oct 02 20:31:12 2016	1475433072	0	107	107	107
Sun Oct 02 20:31:10 2016	1475433070	0	107	107	107
Sun Oct 02 20:31:08 2016	1475433068	0	108	108	108
Sun Oct 02 20:31:11 2016	1475433071	0	108	108	108
Sun Oct 02 20:31:12 2016	1475433072	0	109	109	108
Sun Oct 02 20:31:08 2016	1475433068	0	109	109	109
Sun Oct 02 20:31:06 2016	1475433066	0	109	109	109
Sun Oct 02 20:31:09 2016	1475433069	0	109	109	109
Sun Oct 02 20:31:09 2016	1475433069	0	109	109	109
Sun Oct 02 20:31:08 2016	1475433068	0	109	109	109
Sun Oct 02 20:31:07 2016	1475433067	0	109	109	109
Sun Oct 02 20:31:09 2016	1475433069	0	110	110	109
Sun Oct 02 20:31:09 2016	1475433069	0	110	110	109
Sun Oct 02 20:31:06 2016	1475433066	0	110	110	109
Sun Oct 02 20:31:08 2016	1475433068	0	110	110	110
Sun Oct 02 20:31:09 2016	1475433069	0	110	110	110
Sun Oct 02 20:31:06 2016	1475433066	0	110	110	110
Sun Oct 02 20:31:08 2016	1475433068	0	111	111	110
Sun Oct 02 20:31:09 2016	1475433069	0	111	111	110
Sun Oct 02 20:31:15 2016	1475433075	0	111	111	110
Sun Oct 02 20:31:10 2016	1475433070	0	111	111	111
Sun Oct 02 20:31:10 2016	1475433070	0	111	111	111
Sun Oct 02 20:31:10 2016	1475433070	0	111	111	111
Sun Oct 02 20:31:12 2016	1475433072	0	111	111	111
Sun Oct 02 20:31:08 2016	1475433068	0	111	111	111
Sun Oct 02 20:31:13 2016	1475433073	0	111	111	111
Sun Oct 02 20:31:08 2016	1475433068	0	112	112	111
Sun Oct 02 20:31:11 2016	1475433071	0	112	112	111
Sun Oct 02 20:31:13 2016	1475433073	0	112	112	112
Sun Oct 02 20:31:13 2016	1475433073	0	112	112	112
Sun Oct 02 20:31:08 2016	1475433068	0	112	112	112
Sun Oct 02 20:31:10 2016	1475433070	0	112	112	112
Sun Oct 02 20:31:07 2016	1475433067	0	112	112	112
Sun Oct 02 20:31:10 2016	1475433070	0	112	112	112
Sun Oct 02 20:31:10 2016	1475433070	0	112	112	112
Sun Oct 02 20:31:11 2016	1475433071	0	113	113	112
