starttime	seconds	ctime	dtime	ttime	wait
Sun Oct 02 20:32:25 2016	1475433145	0	57	57	57
Sun Oct 02 20:32:26 2016	1475433146	0	58	58	58
Sun Oct 02 20:32:22 2016	1475433142	0	61	61	61
Sun Oct 02 20:32:26 2016	1475433146	0	63	63	63
Sun Oct 02 20:32:27 2016	1475433147	0	63	63	63
Sun Oct 02 20:32:22 2016	1475433142	0	63	63	63
Sun Oct 02 20:32:29 2016	1475433149	0	64	64	64
Sun Oct 02 20:32:27 2016	1475433147	0	64	64	64
Sun Oct 02 20:32:23 2016	1475433143	0	65	65	64
Sun Oct 02 20:32:22 2016	1475433142	0	65	65	65
Sun Oct 02 20:32:25 2016	1475433145	0	65	65	65
Sun Oct 02 20:32:23 2016	1475433143	0	65	65	65
Sun Oct 02 20:32:27 2016	1475433147	0	66	66	65
Sun Oct 02 20:32:26 2016	1475433146	0	66	66	66
Sun Oct 02 20:32:27 2016	1475433147	0	66	66	66
Sun Oct 02 20:32:24 2016	1475433144	0	66	66	66
Sun Oct 02 20:32:24 2016	1475433144	0	66	66	66
Sun Oct 02 20:32:27 2016	1475433147	0	67	67	66
Sun Oct 02 20:32:25 2016	1475433145	0	67	67	67
Sun Oct 02 20:32:22 2016	1475433142	0	67	67	67
Sun Oct 02 20:32:25 2016	1475433145	0	67	67	67
Sun Oct 02 20:32:26 2016	1475433146	0	67	67	67
Sun Oct 02 20:32:25 2016	1475433145	0	67	67	67
Sun Oct 02 20:32:24 2016	1475433144	0	67	67	67
Sun Oct 02 20:32:25 2016	1475433145	0	67	67	67
Sun Oct 02 20:32:27 2016	1475433147	0	67	67	67
Sun Oct 02 20:32:26 2016	1475433146	0	67	67	67
Sun Oct 02 20:32:22 2016	1475433142	0	68	68	67
Sun Oct 02 20:32:26 2016	1475433146	0	68	68	67
Sun Oct 02 20:32:24 2016	1475433144	0	68	68	67
Sun Oct 02 20:32:27 2016	1475433147	0	68	68	67
Sun Oct 02 20:32:22 2016	1475433142	0	68	68	68
Sun Oct 02 20:32:23 2016	1475433143	0	68	68	67
Sun Oct 02 20:32:28 2016	1475433148	0	68	68	68
Sun Oct 02 20:32:24 2016	1475433144	0	68	68	68
Sun Oct 02 20:32:22 2016	1475433142	0	68	68	68
Sun Oct 02 20:32:25 2016	1475433145	0	68	68	68
Sun Oct 02 20:32:24 2016	1475433144	0	68	68	68
Sun Oct 02 20:32:27 2016	1475433147	0	68	68	68
Sun Oct 02 20:32:27 2016	1475433147	0	68	68	68
Sun Oct 02 20:32:27 2016	1475433147	0	68	68	68
Sun Oct 02 20:32:28 2016	1475433148	0	68	69	68
Sun Oct 02 20:32:25 2016	1475433145	0	68	69	68
Sun Oct 02 20:32:26 2016	1475433146	0	69	69	68
Sun Oct 02 20:32:27 2016	1475433147	0	69	69	68
Sun Oct 02 20:32:26 2016	1475433146	0	69	69	69
Sun Oct 02 20:32:22 2016	1475433142	0	69	69	69
Sun Oct 02 20:32:26 2016	1475433146	0	69	69	68
Sun Oct 02 20:32:28 2016	1475433148	0	69	69	68
Sun Oct 02 20:32:25 2016	1475433145	0	69	69	69
Sun Oct 02 20:32:23 2016	1475433143	0	69	69	69
Sun Oct 02 20:32:23 2016	1475433143	0	69	69	69
Sun Oct 02 20:32:22 2016	1475433142	0	69	69	69
Sun Oct 02 20:32:25 2016	1475433145	0	69	69	69
Sun Oct 02 20:32:23 2016	1475433143	0	69	69	69
Sun Oct 02 20:32:24 2016	1475433144	0	69	69	69
Sun Oct 02 20:32:23 2016	1475433143	0	69	69	69
Sun Oct 02 20:32:23 2016	1475433143	0	69	69	69
Sun Oct 02 20:32:22 2016	1475433142	0	69	69	69
Sun Oct 02 20:32:24 2016	1475433144	0	70	70	69
Sun Oct 02 20:32:28 2016	1475433148	0	70	70	69
Sun Oct 02 20:32:28 2016	1475433148	0	70	70	69
Sun Oct 02 20:32:28 2016	1475433148	0	70	70	69
Sun Oct 02 20:32:27 2016	1475433147	0	70	70	70
Sun Oct 02 20:32:27 2016	1475433147	0	70	70	70
Sun Oct 02 20:32:23 2016	1475433143	0	70	70	70
Sun Oct 02 20:32:25 2016	1475433145	0	70	70	70
Sun Oct 02 20:32:22 2016	1475433142	0	70	70	69
Sun Oct 02 20:32:22 2016	1475433142	0	70	70	70
Sun Oct 02 20:32:23 2016	1475433143	0	70	70	70
Sun Oct 02 20:32:27 2016	1475433147	0	70	70	70
Sun Oct 02 20:32:25 2016	1475433145	0	70	70	70
Sun Oct 02 20:32:25 2016	1475433145	0	70	70	70
Sun Oct 02 20:32:23 2016	1475433143	0	70	70	70
Sun Oct 02 20:32:23 2016	1475433143	0	70	70	70
Sun Oct 02 20:32:24 2016	1475433144	0	70	70	70
Sun Oct 02 20:32:26 2016	1475433146	0	70	70	70
Sun Oct 02 20:32:28 2016	1475433148	0	70	70	70
Sun Oct 02 20:32:22 2016	1475433142	0	70	70	70
Sun Oct 02 20:32:25 2016	1475433145	0	70	70	70
Sun Oct 02 20:32:22 2016	1475433142	0	70	70	70
Sun Oct 02 20:32:24 2016	1475433144	0	70	71	70
Sun Oct 02 20:32:23 2016	1475433143	0	71	71	70
Sun Oct 02 20:32:23 2016	1475433143	0	71	71	70
Sun Oct 02 20:32:25 2016	1475433145	0	71	71	70
Sun Oct 02 20:32:27 2016	1475433147	0	71	71	70
Sun Oct 02 20:32:29 2016	1475433149	0	71	71	70
Sun Oct 02 20:32:26 2016	1475433146	0	71	71	70
Sun Oct 02 20:32:28 2016	1475433148	0	71	71	71
Sun Oct 02 20:32:25 2016	1475433145	0	71	71	71
Sun Oct 02 20:32:23 2016	1475433143	0	71	71	70
Sun Oct 02 20:32:24 2016	1475433144	0	71	71	70
Sun Oct 02 20:32:26 2016	1475433146	0	71	71	71
Sun Oct 02 20:32:24 2016	1475433144	0	71	71	71
Sun Oct 02 20:32:26 2016	1475433146	0	71	71	71
Sun Oct 02 20:32:22 2016	1475433142	0	71	71	71
Sun Oct 02 20:32:22 2016	1475433142	0	71	71	71
Sun Oct 02 20:32:23 2016	1475433143	0	71	71	71
Sun Oct 02 20:32:24 2016	1475433144	0	71	71	71
Sun Oct 02 20:32:22 2016	1475433142	0	71	71	71
Sun Oct 02 20:32:28 2016	1475433148	0	71	71	71
Sun Oct 02 20:32:28 2016	1475433148	0	71	71	71
Sun Oct 02 20:32:28 2016	1475433148	0	71	71	71
Sun Oct 02 20:32:23 2016	1475433143	0	71	71	71
Sun Oct 02 20:32:28 2016	1475433148	0	71	71	71
Sun Oct 02 20:32:28 2016	1475433148	0	71	71	71
Sun Oct 02 20:32:22 2016	1475433142	0	71	71	71
Sun Oct 02 20:32:23 2016	1475433143	0	71	71	71
Sun Oct 02 20:32:26 2016	1475433146	0	71	72	71
Sun Oct 02 20:32:26 2016	1475433146	0	72	72	71
Sun Oct 02 20:32:26 2016	1475433146	0	72	72	71
Sun Oct 02 20:32:25 2016	1475433145	0	72	72	71
Sun Oct 02 20:32:28 2016	1475433148	0	72	72	71
Sun Oct 02 20:32:28 2016	1475433148	0	72	72	71
Sun Oct 02 20:32:28 2016	1475433148	0	72	72	71
Sun Oct 02 20:32:23 2016	1475433143	0	72	72	72
