starttime	seconds	ctime	dtime	ttime	wait
Fri Sep 30 21:06:54 2016	1475262414	0	64	64	64
Fri Sep 30 21:06:28 2016	1475262388	0	69	69	69
Fri Sep 30 21:06:59 2016	1475262419	0	73	73	73
Fri Sep 30 21:06:45 2016	1475262405	0	73	73	73
Fri Sep 30 21:06:39 2016	1475262399	0	73	73	73
Fri Sep 30 21:06:55 2016	1475262415	0	74	74	74
Fri Sep 30 21:07:02 2016	1475262422	0	74	74	74
Fri Sep 30 21:06:36 2016	1475262396	0	74	74	74
Fri Sep 30 21:06:53 2016	1475262413	0	76	76	76
Fri Sep 30 21:06:29 2016	1475262389	0	77	77	76
Fri Sep 30 21:06:33 2016	1475262393	0	77	77	77
Fri Sep 30 21:06:34 2016	1475262394	0	77	77	77
Fri Sep 30 21:06:27 2016	1475262387	0	77	77	77
Fri Sep 30 21:06:42 2016	1475262402	0	78	78	78
Fri Sep 30 21:06:59 2016	1475262419	0	79	79	78
Fri Sep 30 21:06:40 2016	1475262400	0	79	79	78
Fri Sep 30 21:06:40 2016	1475262400	0	80	80	80
Fri Sep 30 21:07:02 2016	1475262422	0	80	80	80
Fri Sep 30 21:06:51 2016	1475262411	0	81	81	81
Fri Sep 30 21:06:57 2016	1475262417	0	84	84	83
Fri Sep 30 21:06:39 2016	1475262399	0	85	85	85
Fri Sep 30 21:06:29 2016	1475262389	0	85	85	85
Fri Sep 30 21:06:27 2016	1475262387	0	85	85	85
Fri Sep 30 21:06:52 2016	1475262412	0	86	86	86
Fri Sep 30 21:06:34 2016	1475262394	0	86	86	86
Fri Sep 30 21:07:00 2016	1475262420	0	88	88	88
Fri Sep 30 21:07:01 2016	1475262421	0	90	90	90
Fri Sep 30 21:06:33 2016	1475262393	0	90	90	90
Fri Sep 30 21:06:52 2016	1475262412	0	91	91	91
Fri Sep 30 21:06:50 2016	1475262410	0	93	93	93
Fri Sep 30 21:06:32 2016	1475262392	0	94	94	93
Fri Sep 30 21:06:27 2016	1475262387	0	94	94	93
Fri Sep 30 21:06:47 2016	1475262407	0	95	95	95
Fri Sep 30 21:06:58 2016	1475262418	0	95	95	95
Fri Sep 30 21:06:27 2016	1475262387	0	95	95	95
Fri Sep 30 21:06:31 2016	1475262391	0	96	96	95
Fri Sep 30 21:06:39 2016	1475262399	0	96	96	95
Fri Sep 30 21:06:34 2016	1475262394	0	96	96	95
Fri Sep 30 21:06:30 2016	1475262390	0	96	96	96
Fri Sep 30 21:06:42 2016	1475262402	0	96	96	96
Fri Sep 30 21:06:37 2016	1475262397	0	96	96	96
Fri Sep 30 21:06:58 2016	1475262418	0	97	97	96
Fri Sep 30 21:06:55 2016	1475262415	0	97	97	97
Fri Sep 30 21:07:03 2016	1475262423	0	98	98	98
Fri Sep 30 21:06:44 2016	1475262404	0	98	98	98
Fri Sep 30 21:06:32 2016	1475262392	0	98	98	98
Fri Sep 30 21:06:38 2016	1475262398	0	99	99	98
Fri Sep 30 21:06:26 2016	1475262386	0	99	99	98
Fri Sep 30 21:06:50 2016	1475262410	0	99	99	99
Fri Sep 30 21:06:45 2016	1475262405	0	99	99	99
Fri Sep 30 21:07:03 2016	1475262423	0	100	100	99
Fri Sep 30 21:06:37 2016	1475262397	0	100	100	99
Fri Sep 30 21:06:46 2016	1475262406	0	100	100	100
Fri Sep 30 21:06:43 2016	1475262403	0	100	100	100
Fri Sep 30 21:06:44 2016	1475262404	0	100	100	100
Fri Sep 30 21:06:53 2016	1475262413	0	100	100	100
Fri Sep 30 21:06:28 2016	1475262388	0	100	100	100
Fri Sep 30 21:06:51 2016	1475262411	0	101	101	100
Fri Sep 30 21:06:39 2016	1475262399	0	101	101	101
Fri Sep 30 21:07:00 2016	1475262420	0	101	101	101
Fri Sep 30 21:06:38 2016	1475262398	0	102	102	101
Fri Sep 30 21:06:27 2016	1475262387	0	102	102	102
Fri Sep 30 21:06:56 2016	1475262416	0	102	102	102
Fri Sep 30 21:06:45 2016	1475262405	0	103	103	103
Fri Sep 30 21:06:41 2016	1475262401	0	103	103	103
Fri Sep 30 21:06:26 2016	1475262386	0	103	103	103
Fri Sep 30 21:06:30 2016	1475262390	0	104	104	103
Fri Sep 30 21:06:44 2016	1475262404	0	104	104	104
Fri Sep 30 21:06:40 2016	1475262400	0	104	104	104
Fri Sep 30 21:06:40 2016	1475262400	0	104	104	104
Fri Sep 30 21:06:44 2016	1475262404	0	104	104	104
Fri Sep 30 21:06:37 2016	1475262397	0	104	104	104
Fri Sep 30 21:06:40 2016	1475262400	0	105	105	105
Fri Sep 30 21:06:50 2016	1475262410	0	105	105	105
Fri Sep 30 21:06:51 2016	1475262411	0	106	106	105
Fri Sep 30 21:06:54 2016	1475262414	0	106	106	106
Fri Sep 30 21:06:30 2016	1475262390	0	106	106	106
Fri Sep 30 21:06:27 2016	1475262387	0	107	107	106
Fri Sep 30 21:06:50 2016	1475262410	0	107	107	107
Fri Sep 30 21:06:44 2016	1475262404	0	107	107	107
Fri Sep 30 21:06:41 2016	1475262401	0	107	107	107
Fri Sep 30 21:06:49 2016	1475262409	0	107	107	107
Fri Sep 30 21:06:32 2016	1475262392	0	107	107	107
Fri Sep 30 21:06:54 2016	1475262414	0	108	108	107
Fri Sep 30 21:06:54 2016	1475262414	0	109	109	108
Fri Sep 30 21:06:36 2016	1475262396	0	109	109	108
Fri Sep 30 21:06:51 2016	1475262411	0	109	109	109
Fri Sep 30 21:06:37 2016	1475262397	0	109	109	109
Fri Sep 30 21:06:49 2016	1475262409	0	109	109	109
Fri Sep 30 21:06:46 2016	1475262406	0	109	109	109
Fri Sep 30 21:06:43 2016	1475262403	0	110	110	109
Fri Sep 30 21:06:52 2016	1475262412	0	110	110	109
Fri Sep 30 21:06:43 2016	1475262403	0	110	110	110
Fri Sep 30 21:07:00 2016	1475262420	0	110	110	110
Fri Sep 30 21:06:46 2016	1475262406	0	110	110	110
Fri Sep 30 21:06:57 2016	1475262417	0	110	110	110
Fri Sep 30 21:06:55 2016	1475262415	0	110	110	110
Fri Sep 30 21:07:00 2016	1475262420	0	110	110	110
Fri Sep 30 21:06:26 2016	1475262386	0	110	110	110
Fri Sep 30 21:06:48 2016	1475262408	0	110	110	110
Fri Sep 30 21:07:03 2016	1475262423	0	111	111	110
Fri Sep 30 21:06:53 2016	1475262413	0	111	111	110
Fri Sep 30 21:06:49 2016	1475262409	0	111	111	111
Fri Sep 30 21:06:43 2016	1475262403	0	111	111	111
Fri Sep 30 21:06:47 2016	1475262407	0	112	112	111
Fri Sep 30 21:06:55 2016	1475262415	0	113	113	113
Fri Sep 30 21:06:58 2016	1475262418	0	113	113	113
Fri Sep 30 21:06:35 2016	1475262395	0	113	113	113
Fri Sep 30 21:06:56 2016	1475262416	0	114	114	113
Fri Sep 30 21:06:32 2016	1475262392	0	114	114	114
Fri Sep 30 21:06:30 2016	1475262390	0	114	114	113
Fri Sep 30 21:07:01 2016	1475262421	0	115	115	114
Fri Sep 30 21:06:40 2016	1475262400	0	115	115	114
Fri Sep 30 21:06:23 2016	1475262383	3	112	115	111
Fri Sep 30 21:06:47 2016	1475262407	0	115	115	115
Fri Sep 30 21:06:54 2016	1475262414	0	115	115	115
Fri Sep 30 21:06:42 2016	1475262402	0	115	115	115
Fri Sep 30 21:07:02 2016	1475262422	0	115	115	115
Fri Sep 30 21:06:56 2016	1475262416	0	115	115	115
Fri Sep 30 21:06:32 2016	1475262392	0	116	116	115
Fri Sep 30 21:07:02 2016	1475262422	0	116	116	116
Fri Sep 30 21:06:26 2016	1475262386	0	116	116	116
Fri Sep 30 21:06:51 2016	1475262411	0	116	116	116
Fri Sep 30 21:06:46 2016	1475262406	0	117	117	116
Fri Sep 30 21:06:26 2016	1475262386	0	117	117	117
Fri Sep 30 21:06:59 2016	1475262419	0	117	117	117
Fri Sep 30 21:06:41 2016	1475262401	0	117	117	117
Fri Sep 30 21:06:34 2016	1475262394	0	118	118	117
Fri Sep 30 21:06:58 2016	1475262418	0	118	118	118
Fri Sep 30 21:06:29 2016	1475262389	0	119	119	119
Fri Sep 30 21:06:57 2016	1475262417	0	119	119	119
Fri Sep 30 21:06:25 2016	1475262385	0	120	120	119
Fri Sep 30 21:06:36 2016	1475262396	0	120	120	120
Fri Sep 30 21:06:31 2016	1475262391	0	120	120	120
Fri Sep 30 21:06:55 2016	1475262415	0	120	120	120
Fri Sep 30 21:06:45 2016	1475262405	0	120	120	120
Fri Sep 30 21:06:34 2016	1475262394	0	121	121	120
Fri Sep 30 21:06:31 2016	1475262391	0	121	121	120
Fri Sep 30 21:06:58 2016	1475262418	0	121	121	121
Fri Sep 30 21:06:58 2016	1475262418	0	121	121	121
Fri Sep 30 21:06:55 2016	1475262415	0	121	121	121
Fri Sep 30 21:06:38 2016	1475262398	0	122	122	122
Fri Sep 30 21:06:41 2016	1475262401	0	122	122	122
Fri Sep 30 21:06:30 2016	1475262390	0	122	122	122
Fri Sep 30 21:06:52 2016	1475262412	0	123	123	123
Fri Sep 30 21:06:33 2016	1475262393	0	123	123	123
Fri Sep 30 21:06:28 2016	1475262388	0	124	124	123
Fri Sep 30 21:06:36 2016	1475262396	0	124	124	124
Fri Sep 30 21:06:53 2016	1475262413	0	124	124	124
Fri Sep 30 21:06:58 2016	1475262418	0	125	125	124
Fri Sep 30 21:06:49 2016	1475262409	0	125	125	125
Fri Sep 30 21:06:33 2016	1475262393	0	125	125	125
Fri Sep 30 21:06:30 2016	1475262390	0	126	126	125
Fri Sep 30 21:06:28 2016	1475262388	0	126	126	125
Fri Sep 30 21:06:50 2016	1475262410	0	126	126	125
Fri Sep 30 21:07:01 2016	1475262421	0	126	126	125
Fri Sep 30 21:06:37 2016	1475262397	0	126	126	126
Fri Sep 30 21:06:54 2016	1475262414	0	126	126	126
Fri Sep 30 21:06:53 2016	1475262413	0	126	126	126
Fri Sep 30 21:07:02 2016	1475262422	0	127	127	127
Fri Sep 30 21:06:30 2016	1475262390	0	127	127	127
Fri Sep 30 21:06:29 2016	1475262389	0	127	127	127
Fri Sep 30 21:06:35 2016	1475262395	0	127	128	127
Fri Sep 30 21:06:37 2016	1475262397	0	128	128	127
Fri Sep 30 21:06:29 2016	1475262389	0	128	128	128
Fri Sep 30 21:06:47 2016	1475262407	0	128	128	128
Fri Sep 30 21:06:38 2016	1475262398	0	129	129	128
Fri Sep 30 21:06:56 2016	1475262416	0	129	129	128
Fri Sep 30 21:06:55 2016	1475262415	0	129	129	129
Fri Sep 30 21:06:48 2016	1475262408	0	129	129	129
Fri Sep 30 21:06:49 2016	1475262409	0	129	129	128
