starttime	seconds	ctime	dtime	ttime	wait
Fri Sep 30 21:20:48 2016	1475263248	0	68	68	68
Fri Sep 30 21:20:48 2016	1475263248	0	76	76	75
Fri Sep 30 21:20:48 2016	1475263248	0	76	76	76
Fri Sep 30 21:20:44 2016	1475263244	2	74	77	74
Fri Sep 30 21:20:51 2016	1475263251	0	77	77	77
Fri Sep 30 21:20:45 2016	1475263245	0	78	78	77
Fri Sep 30 21:20:52 2016	1475263252	0	78	78	78
Fri Sep 30 21:20:49 2016	1475263249	0	79	79	79
Fri Sep 30 21:20:51 2016	1475263251	0	79	79	79
Fri Sep 30 21:20:46 2016	1475263246	0	79	79	79
Fri Sep 30 21:20:50 2016	1475263250	0	79	79	79
Fri Sep 30 21:20:48 2016	1475263248	0	79	79	79
Fri Sep 30 21:20:45 2016	1475263245	0	79	79	79
Fri Sep 30 21:20:51 2016	1475263251	0	80	80	80
Fri Sep 30 21:20:48 2016	1475263248	0	80	80	80
Fri Sep 30 21:20:46 2016	1475263246	0	80	80	80
Fri Sep 30 21:20:46 2016	1475263246	0	80	80	80
Fri Sep 30 21:20:46 2016	1475263246	0	80	80	80
Fri Sep 30 21:20:51 2016	1475263251	0	81	81	81
Fri Sep 30 21:20:50 2016	1475263250	0	81	81	81
Fri Sep 30 21:20:46 2016	1475263246	0	82	82	81
Fri Sep 30 21:20:45 2016	1475263245	0	82	82	81
Fri Sep 30 21:20:45 2016	1475263245	0	82	82	81
Fri Sep 30 21:20:48 2016	1475263248	0	82	82	81
Fri Sep 30 21:20:51 2016	1475263251	0	82	82	81
Fri Sep 30 21:20:45 2016	1475263245	0	82	82	82
Fri Sep 30 21:20:52 2016	1475263252	0	82	82	82
Fri Sep 30 21:20:49 2016	1475263249	0	82	82	82
Fri Sep 30 21:20:50 2016	1475263250	0	82	82	82
Fri Sep 30 21:20:49 2016	1475263249	0	82	82	82
Fri Sep 30 21:20:45 2016	1475263245	0	82	82	82
Fri Sep 30 21:20:45 2016	1475263245	0	82	82	82
Fri Sep 30 21:20:46 2016	1475263246	0	83	83	82
Fri Sep 30 21:20:46 2016	1475263246	0	83	83	82
Fri Sep 30 21:20:45 2016	1475263245	0	83	83	82
Fri Sep 30 21:20:46 2016	1475263246	0	83	83	82
Fri Sep 30 21:20:49 2016	1475263249	0	83	83	82
Fri Sep 30 21:20:51 2016	1475263251	0	83	83	83
Fri Sep 30 21:20:47 2016	1475263247	0	83	83	83
Fri Sep 30 21:20:49 2016	1475263249	0	83	83	83
Fri Sep 30 21:20:48 2016	1475263248	0	83	83	83
Fri Sep 30 21:20:45 2016	1475263245	0	83	83	83
Fri Sep 30 21:20:47 2016	1475263247	0	83	83	83
Fri Sep 30 21:20:50 2016	1475263250	0	83	83	83
Fri Sep 30 21:20:47 2016	1475263247	0	83	83	83
Fri Sep 30 21:20:47 2016	1475263247	0	84	84	83
Fri Sep 30 21:20:52 2016	1475263252	0	84	84	83
Fri Sep 30 21:20:49 2016	1475263249	0	84	84	83
Fri Sep 30 21:20:46 2016	1475263246	0	84	84	84
Fri Sep 30 21:20:45 2016	1475263245	0	84	84	84
Fri Sep 30 21:20:50 2016	1475263250	0	84	84	84
Fri Sep 30 21:20:47 2016	1475263247	0	84	84	84
Fri Sep 30 21:20:45 2016	1475263245	0	84	84	84
Fri Sep 30 21:20:51 2016	1475263251	0	84	84	84
Fri Sep 30 21:20:46 2016	1475263246	0	85	85	84
Fri Sep 30 21:20:51 2016	1475263251	0	85	85	84
Fri Sep 30 21:20:50 2016	1475263250	0	85	85	84
Fri Sep 30 21:20:46 2016	1475263246	0	85	85	84
Fri Sep 30 21:20:45 2016	1475263245	0	85	85	85
Fri Sep 30 21:20:51 2016	1475263251	0	85	85	85
Fri Sep 30 21:20:51 2016	1475263251	0	85	85	85
Fri Sep 30 21:20:49 2016	1475263249	0	85	85	85
Fri Sep 30 21:20:51 2016	1475263251	0	85	85	85
Fri Sep 30 21:20:49 2016	1475263249	0	85	85	85
Fri Sep 30 21:20:47 2016	1475263247	0	85	85	85
Fri Sep 30 21:20:45 2016	1475263245	0	85	85	85
Fri Sep 30 21:20:48 2016	1475263248	0	85	85	85
Fri Sep 30 21:20:48 2016	1475263248	0	85	85	85
Fri Sep 30 21:20:47 2016	1475263247	0	85	85	85
Fri Sep 30 21:20:48 2016	1475263248	0	85	85	85
Fri Sep 30 21:20:48 2016	1475263248	0	86	86	86
Fri Sep 30 21:20:46 2016	1475263246	0	86	86	85
Fri Sep 30 21:20:48 2016	1475263248	0	86	86	85
Fri Sep 30 21:20:50 2016	1475263250	0	86	86	86
Fri Sep 30 21:20:50 2016	1475263250	0	86	86	86
Fri Sep 30 21:20:45 2016	1475263245	0	86	86	86
Fri Sep 30 21:20:47 2016	1475263247	0	86	86	85
Fri Sep 30 21:20:50 2016	1475263250	0	86	86	86
Fri Sep 30 21:20:50 2016	1475263250	0	86	86	86
Fri Sep 30 21:20:50 2016	1475263250	0	86	86	86
Fri Sep 30 21:20:50 2016	1475263250	0	86	86	86
Fri Sep 30 21:20:45 2016	1475263245	0	86	86	86
Fri Sep 30 21:20:50 2016	1475263250	0	86	86	86
Fri Sep 30 21:20:52 2016	1475263252	0	86	86	86
Fri Sep 30 21:20:53 2016	1475263253	0	86	86	86
Fri Sep 30 21:20:50 2016	1475263250	0	86	86	86
Fri Sep 30 21:20:53 2016	1475263253	0	87	87	86
Fri Sep 30 21:20:50 2016	1475263250	0	87	87	86
Fri Sep 30 21:20:52 2016	1475263252	0	87	87	86
Fri Sep 30 21:20:48 2016	1475263248	0	87	87	86
Fri Sep 30 21:20:51 2016	1475263251	0	87	87	86
Fri Sep 30 21:20:49 2016	1475263249	0	87	87	87
Fri Sep 30 21:20:47 2016	1475263247	0	87	87	86
Fri Sep 30 21:20:52 2016	1475263252	0	87	87	87
Fri Sep 30 21:20:49 2016	1475263249	0	87	87	87
Fri Sep 30 21:20:48 2016	1475263248	0	87	87	87
Fri Sep 30 21:20:50 2016	1475263250	0	87	87	87
Fri Sep 30 21:20:46 2016	1475263246	0	87	87	87
Fri Sep 30 21:20:46 2016	1475263246	0	88	88	87
Fri Sep 30 21:20:52 2016	1475263252	0	88	88	87
Fri Sep 30 21:20:50 2016	1475263250	0	88	88	87
Fri Sep 30 21:20:46 2016	1475263246	0	88	88	87
Fri Sep 30 21:20:52 2016	1475263252	0	88	88	88
Fri Sep 30 21:20:47 2016	1475263247	0	88	88	87
Fri Sep 30 21:20:46 2016	1475263246	0	88	88	87
Fri Sep 30 21:20:50 2016	1475263250	0	88	88	87
Fri Sep 30 21:20:50 2016	1475263250	0	88	88	88
Fri Sep 30 21:20:51 2016	1475263251	0	88	88	88
Fri Sep 30 21:20:48 2016	1475263248	0	88	88	88
Fri Sep 30 21:20:48 2016	1475263248	0	88	88	88
