starttime	seconds	ctime	dtime	ttime	wait
Fri Sep 30 21:10:14 2016	1475262614	0	126	126	126
Fri Sep 30 21:09:46 2016	1475262586	0	133	133	133
Fri Sep 30 21:09:43 2016	1475262583	0	134	134	134
Fri Sep 30 21:09:45 2016	1475262585	0	134	134	134
Fri Sep 30 21:09:25 2016	1475262565	2	133	134	133
Fri Sep 30 21:10:36 2016	1475262636	0	140	140	140
Fri Sep 30 21:09:37 2016	1475262577	0	140	140	140
Fri Sep 30 21:09:52 2016	1475262592	0	143	143	142
Fri Sep 30 21:10:45 2016	1475262645	0	187	187	187
Fri Sep 30 21:10:14 2016	1475262614	0	195	195	195
Fri Sep 30 21:10:15 2016	1475262615	0	198	198	198
Fri Sep 30 21:10:29 2016	1475262629	0	199	199	199
Fri Sep 30 21:10:58 2016	1475262658	0	201	201	201
Fri Sep 30 21:09:40 2016	1475262580	0	202	202	202
Fri Sep 30 21:11:05 2016	1475262665	0	202	202	202
Fri Sep 30 21:10:33 2016	1475262633	0	203	203	203
Fri Sep 30 21:10:34 2016	1475262634	0	204	204	204
Fri Sep 30 21:10:04 2016	1475262604	0	204	204	204
Fri Sep 30 21:10:18 2016	1475262618	0	204	205	204
Fri Sep 30 21:10:15 2016	1475262615	0	206	206	205
Fri Sep 30 21:10:15 2016	1475262615	0	206	206	205
Fri Sep 30 21:10:10 2016	1475262610	0	206	206	206
Fri Sep 30 21:09:54 2016	1475262594	0	206	206	206
Fri Sep 30 21:10:42 2016	1475262642	0	207	207	206
Fri Sep 30 21:10:29 2016	1475262629	0	207	207	206
Fri Sep 30 21:10:20 2016	1475262620	0	207	207	207
Fri Sep 30 21:10:45 2016	1475262645	0	207	208	207
Fri Sep 30 21:09:44 2016	1475262584	0	208	208	207
Fri Sep 30 21:10:32 2016	1475262632	0	208	208	208
Fri Sep 30 21:11:14 2016	1475262674	0	208	209	208
Fri Sep 30 21:11:14 2016	1475262674	0	209	209	209
Fri Sep 30 21:10:27 2016	1475262627	0	209	209	209
Fri Sep 30 21:10:17 2016	1475262617	0	209	209	209
Fri Sep 30 21:09:57 2016	1475262597	0	209	209	209
Fri Sep 30 21:10:20 2016	1475262620	0	209	209	209
Fri Sep 30 21:09:59 2016	1475262599	0	209	209	209
Fri Sep 30 21:09:39 2016	1475262579	0	210	210	209
Fri Sep 30 21:10:29 2016	1475262629	0	210	210	210
Fri Sep 30 21:09:54 2016	1475262594	0	211	211	210
Fri Sep 30 21:09:40 2016	1475262580	0	211	211	210
Fri Sep 30 21:10:19 2016	1475262619	0	211	211	211
