starttime	seconds	ctime	dtime	ttime	wait
Fri Sep 30 21:08:05 2016	1475262485	0	129	129	129
Fri Sep 30 21:08:09 2016	1475262489	0	129	129	129
Fri Sep 30 21:08:08 2016	1475262488	0	129	129	129
Fri Sep 30 21:08:07 2016	1475262487	0	130	130	129
Fri Sep 30 21:08:09 2016	1475262489	0	131	131	131
Fri Sep 30 21:08:12 2016	1475262492	0	132	132	131
Fri Sep 30 21:08:07 2016	1475262487	0	132	132	132
Fri Sep 30 21:08:10 2016	1475262490	0	133	133	132
Fri Sep 30 21:08:13 2016	1475262493	0	133	133	132
Fri Sep 30 21:08:09 2016	1475262489	0	133	133	133
Fri Sep 30 21:08:12 2016	1475262492	0	133	133	133
Fri Sep 30 21:08:08 2016	1475262488	0	133	133	133
Fri Sep 30 21:08:09 2016	1475262489	0	133	134	133
Fri Sep 30 21:08:09 2016	1475262489	0	134	134	134
Fri Sep 30 21:08:10 2016	1475262490	0	134	134	134
Fri Sep 30 21:08:06 2016	1475262486	0	135	135	134
Fri Sep 30 21:08:11 2016	1475262491	0	135	135	135
Fri Sep 30 21:08:12 2016	1475262492	0	135	136	135
Fri Sep 30 21:08:06 2016	1475262486	0	136	136	135
Fri Sep 30 21:08:07 2016	1475262487	0	136	136	135
Fri Sep 30 21:08:11 2016	1475262491	0	136	136	135
Fri Sep 30 21:08:08 2016	1475262488	0	136	136	135
Fri Sep 30 21:08:06 2016	1475262486	0	136	136	136
Fri Sep 30 21:08:06 2016	1475262486	3	133	136	133
Fri Sep 30 21:08:07 2016	1475262487	0	136	136	136
Fri Sep 30 21:08:11 2016	1475262491	0	137	137	136
Fri Sep 30 21:08:07 2016	1475262487	0	137	137	137
Fri Sep 30 21:08:06 2016	1475262486	0	137	137	137
Fri Sep 30 21:08:11 2016	1475262491	0	137	137	137
Fri Sep 30 21:08:06 2016	1475262486	0	138	138	137
Fri Sep 30 21:08:09 2016	1475262489	0	138	138	138
Fri Sep 30 21:08:10 2016	1475262490	0	138	138	138
Fri Sep 30 21:08:07 2016	1475262487	0	139	139	138
Fri Sep 30 21:08:12 2016	1475262492	0	139	139	138
Fri Sep 30 21:08:09 2016	1475262489	0	139	139	139
Fri Sep 30 21:08:06 2016	1475262486	0	139	139	139
Fri Sep 30 21:08:08 2016	1475262488	0	139	139	139
Fri Sep 30 21:08:07 2016	1475262487	0	139	139	139
Fri Sep 30 21:08:09 2016	1475262489	0	140	140	140
Fri Sep 30 21:08:07 2016	1475262487	0	140	140	140
Fri Sep 30 21:08:07 2016	1475262487	0	141	141	141
Fri Sep 30 21:08:10 2016	1475262490	0	141	141	141
Fri Sep 30 21:08:09 2016	1475262489	0	141	141	141
Fri Sep 30 21:08:11 2016	1475262491	0	141	141	141
Fri Sep 30 21:08:09 2016	1475262489	0	141	141	141
Fri Sep 30 21:08:06 2016	1475262486	0	141	141	141
Fri Sep 30 21:08:06 2016	1475262486	0	141	141	141
Fri Sep 30 21:08:08 2016	1475262488	0	141	141	141
Fri Sep 30 21:08:09 2016	1475262489	0	141	141	141
Fri Sep 30 21:08:07 2016	1475262487	0	141	141	141
Fri Sep 30 21:08:09 2016	1475262489	0	141	141	141
Fri Sep 30 21:08:07 2016	1475262487	0	142	142	141
Fri Sep 30 21:08:15 2016	1475262495	0	142	142	141
Fri Sep 30 21:08:06 2016	1475262486	0	142	142	140
Fri Sep 30 21:08:12 2016	1475262492	0	142	142	142
Fri Sep 30 21:08:05 2016	1475262485	0	142	142	142
Fri Sep 30 21:08:11 2016	1475262491	0	142	142	142
Fri Sep 30 21:08:04 2016	1475262484	2	141	142	140
Fri Sep 30 21:08:10 2016	1475262490	0	142	143	142
Fri Sep 30 21:08:10 2016	1475262490	0	143	143	142
Fri Sep 30 21:08:07 2016	1475262487	0	143	143	142
Fri Sep 30 21:08:16 2016	1475262496	0	143	143	142
Fri Sep 30 21:08:11 2016	1475262491	0	143	143	142
Fri Sep 30 21:08:12 2016	1475262492	0	143	143	143
Fri Sep 30 21:08:10 2016	1475262490	0	143	143	143
Fri Sep 30 21:08:07 2016	1475262487	0	143	143	143
Fri Sep 30 21:08:08 2016	1475262488	0	143	143	143
Fri Sep 30 21:08:09 2016	1475262489	0	144	144	144
