starttime	seconds	ctime	dtime	ttime	wait
Fri Sep 30 21:13:39 2016	1475262819	0	77	77	77
Fri Sep 30 21:13:42 2016	1475262822	0	78	78	78
Fri Sep 30 21:13:39 2016	1475262819	0	79	79	78
Fri Sep 30 21:13:38 2016	1475262818	0	79	79	79
Fri Sep 30 21:13:41 2016	1475262821	0	81	81	81
Fri Sep 30 21:13:39 2016	1475262819	0	82	82	81
Fri Sep 30 21:13:41 2016	1475262821	0	82	82	82
Fri Sep 30 21:13:42 2016	1475262822	0	82	82	82
Fri Sep 30 21:13:40 2016	1475262820	0	82	82	82
Fri Sep 30 21:13:42 2016	1475262822	0	82	82	82
Fri Sep 30 21:13:40 2016	1475262820	0	82	82	82
Fri Sep 30 21:13:39 2016	1475262819	0	82	82	82
Fri Sep 30 21:13:42 2016	1475262822	0	83	83	82
Fri Sep 30 21:13:39 2016	1475262819	0	83	83	83
Fri Sep 30 21:13:40 2016	1475262820	0	83	83	83
Fri Sep 30 21:13:39 2016	1475262819	0	84	84	83
Fri Sep 30 21:13:40 2016	1475262820	0	84	84	83
Fri Sep 30 21:13:42 2016	1475262822	0	84	84	83
Fri Sep 30 21:13:44 2016	1475262824	0	84	84	83
Fri Sep 30 21:13:41 2016	1475262821	0	84	84	84
Fri Sep 30 21:13:40 2016	1475262820	0	84	84	84
Fri Sep 30 21:13:40 2016	1475262820	0	84	84	84
Fri Sep 30 21:13:43 2016	1475262823	0	84	84	84
Fri Sep 30 21:13:42 2016	1475262822	0	84	84	84
Fri Sep 30 21:13:37 2016	1475262817	0	84	84	84
Fri Sep 30 21:13:40 2016	1475262820	0	84	84	84
Fri Sep 30 21:13:39 2016	1475262819	0	85	85	84
Fri Sep 30 21:13:39 2016	1475262819	0	85	85	85
Fri Sep 30 21:13:38 2016	1475262818	0	85	85	85
Fri Sep 30 21:13:43 2016	1475262823	0	85	85	85
Fri Sep 30 21:13:42 2016	1475262822	0	85	85	85
Fri Sep 30 21:13:40 2016	1475262820	0	85	85	85
Fri Sep 30 21:13:38 2016	1475262818	0	86	86	85
Fri Sep 30 21:13:43 2016	1475262823	0	86	86	85
Fri Sep 30 21:13:41 2016	1475262821	0	86	86	85
Fri Sep 30 21:13:39 2016	1475262819	0	86	86	86
Fri Sep 30 21:13:42 2016	1475262822	0	86	86	86
Fri Sep 30 21:13:41 2016	1475262821	0	86	86	86
Fri Sep 30 21:13:41 2016	1475262821	0	86	86	86
Fri Sep 30 21:13:49 2016	1475262829	0	86	86	86
Fri Sep 30 21:13:40 2016	1475262820	0	86	86	86
Fri Sep 30 21:13:42 2016	1475262822	0	86	86	86
Fri Sep 30 21:13:39 2016	1475262819	0	86	86	86
Fri Sep 30 21:13:39 2016	1475262819	0	87	87	86
Fri Sep 30 21:13:42 2016	1475262822	0	87	87	86
Fri Sep 30 21:13:41 2016	1475262821	0	87	87	86
Fri Sep 30 21:13:41 2016	1475262821	0	87	87	87
Fri Sep 30 21:13:43 2016	1475262823	0	87	87	87
Fri Sep 30 21:13:41 2016	1475262821	0	87	87	87
Fri Sep 30 21:13:41 2016	1475262821	0	87	87	87
Fri Sep 30 21:13:39 2016	1475262819	0	87	88	87
Fri Sep 30 21:13:38 2016	1475262818	0	88	88	87
Fri Sep 30 21:13:39 2016	1475262819	0	88	88	87
Fri Sep 30 21:13:37 2016	1475262817	0	88	88	88
Fri Sep 30 21:13:39 2016	1475262819	0	88	88	88
Fri Sep 30 21:13:40 2016	1475262820	0	88	88	88
Fri Sep 30 21:13:43 2016	1475262823	0	88	88	88
Fri Sep 30 21:13:39 2016	1475262819	0	88	88	88
Fri Sep 30 21:13:43 2016	1475262823	0	88	88	88
Fri Sep 30 21:13:43 2016	1475262823	0	88	88	88
Fri Sep 30 21:13:40 2016	1475262820	0	88	88	88
