starttime	seconds	ctime	dtime	ttime	wait
Fri Sep 30 21:12:25 2016	1475262745	0	92	92	92
Fri Sep 30 21:12:27 2016	1475262747	0	93	93	92
Fri Sep 30 21:12:25 2016	1475262745	0	93	93	93
Fri Sep 30 21:12:25 2016	1475262745	0	94	94	93
Fri Sep 30 21:12:25 2016	1475262745	0	94	94	94
Fri Sep 30 21:12:28 2016	1475262748	0	95	95	95
Fri Sep 30 21:12:24 2016	1475262744	0	95	95	95
Fri Sep 30 21:12:25 2016	1475262745	0	95	95	95
Fri Sep 30 21:12:25 2016	1475262745	0	95	95	95
Fri Sep 30 21:12:27 2016	1475262747	0	96	96	95
Fri Sep 30 21:12:29 2016	1475262749	0	96	96	96
Fri Sep 30 21:12:27 2016	1475262747	0	96	96	96
Fri Sep 30 21:12:28 2016	1475262748	0	96	96	96
Fri Sep 30 21:12:28 2016	1475262748	0	96	96	96
Fri Sep 30 21:12:27 2016	1475262747	0	97	97	96
Fri Sep 30 21:12:24 2016	1475262744	0	97	97	97
Fri Sep 30 21:12:24 2016	1475262744	0	97	97	97
Fri Sep 30 21:12:25 2016	1475262745	0	97	97	97
Fri Sep 30 21:12:26 2016	1475262746	0	97	97	97
Fri Sep 30 21:12:27 2016	1475262747	0	97	97	97
Fri Sep 30 21:12:24 2016	1475262744	0	98	98	97
Fri Sep 30 21:12:24 2016	1475262744	0	98	98	97
Fri Sep 30 21:12:27 2016	1475262747	0	98	98	98
Fri Sep 30 21:12:28 2016	1475262748	0	98	98	98
Fri Sep 30 21:12:26 2016	1475262746	0	98	98	98
Fri Sep 30 21:12:27 2016	1475262747	0	98	98	98
Fri Sep 30 21:12:27 2016	1475262747	0	98	99	98
Fri Sep 30 21:12:29 2016	1475262749	0	99	99	98
Fri Sep 30 21:12:24 2016	1475262744	0	99	99	99
Fri Sep 30 21:12:25 2016	1475262745	0	99	99	99
Fri Sep 30 21:12:26 2016	1475262746	0	99	99	98
Fri Sep 30 21:12:25 2016	1475262745	0	99	99	98
Fri Sep 30 21:12:29 2016	1475262749	0	99	99	99
Fri Sep 30 21:12:27 2016	1475262747	0	99	99	99
Fri Sep 30 21:12:27 2016	1475262747	0	99	99	99
Fri Sep 30 21:12:26 2016	1475262746	0	99	99	99
Fri Sep 30 21:12:24 2016	1475262744	0	100	100	99
Fri Sep 30 21:12:28 2016	1475262748	0	100	100	99
Fri Sep 30 21:12:24 2016	1475262744	0	100	100	100
Fri Sep 30 21:12:29 2016	1475262749	0	100	100	100
Fri Sep 30 21:12:24 2016	1475262744	0	100	100	100
Fri Sep 30 21:12:30 2016	1475262750	0	100	100	100
Fri Sep 30 21:12:26 2016	1475262746	0	100	100	100
Fri Sep 30 21:12:27 2016	1475262747	0	101	101	100
Fri Sep 30 21:12:28 2016	1475262748	0	101	101	100
Fri Sep 30 21:12:28 2016	1475262748	0	101	101	101
Fri Sep 30 21:12:30 2016	1475262750	0	101	101	101
Fri Sep 30 21:12:32 2016	1475262752	0	101	101	101
Fri Sep 30 21:12:25 2016	1475262745	0	102	102	101
Fri Sep 30 21:12:25 2016	1475262745	0	102	102	101
Fri Sep 30 21:12:27 2016	1475262747	0	102	102	101
Fri Sep 30 21:12:25 2016	1475262745	0	102	102	101
Fri Sep 30 21:12:26 2016	1475262746	0	102	102	102
Fri Sep 30 21:12:24 2016	1475262744	0	102	102	102
Fri Sep 30 21:12:24 2016	1475262744	0	102	102	102
Fri Sep 30 21:12:28 2016	1475262748	0	102	102	102
Fri Sep 30 21:12:25 2016	1475262745	0	102	102	102
Fri Sep 30 21:12:24 2016	1475262744	0	102	102	102
Fri Sep 30 21:12:27 2016	1475262747	0	103	103	103
Fri Sep 30 21:12:27 2016	1475262747	0	103	103	103
Fri Sep 30 21:12:27 2016	1475262747	0	103	103	103
Fri Sep 30 21:12:24 2016	1475262744	0	103	103	103
Fri Sep 30 21:12:29 2016	1475262749	0	103	103	102
