starttime	seconds	ctime	dtime	ttime	wait
Fri Sep 30 21:19:33 2016	1475263173	0	100	101	100
Fri Sep 30 21:19:29 2016	1475263169	0	104	104	103
Fri Sep 30 21:19:29 2016	1475263169	0	105	105	105
Fri Sep 30 21:19:29 2016	1475263169	0	106	106	106
Fri Sep 30 21:19:33 2016	1475263173	0	106	106	106
Fri Sep 30 21:19:30 2016	1475263170	0	106	106	106
Fri Sep 30 21:19:32 2016	1475263172	0	106	106	106
Fri Sep 30 21:19:31 2016	1475263171	0	106	106	106
Fri Sep 30 21:19:30 2016	1475263170	0	106	107	106
Fri Sep 30 21:19:32 2016	1475263172	0	107	107	107
Fri Sep 30 21:19:35 2016	1475263175	0	107	107	107
Fri Sep 30 21:19:31 2016	1475263171	0	107	107	107
Fri Sep 30 21:19:29 2016	1475263169	0	107	107	107
Fri Sep 30 21:19:30 2016	1475263170	0	107	107	107
Fri Sep 30 21:19:31 2016	1475263171	0	108	108	107
Fri Sep 30 21:19:34 2016	1475263174	0	108	108	108
Fri Sep 30 21:19:29 2016	1475263169	0	108	108	108
Fri Sep 30 21:19:30 2016	1475263170	0	108	108	108
Fri Sep 30 21:19:38 2016	1475263178	0	109	109	109
Fri Sep 30 21:19:32 2016	1475263172	0	109	109	109
Fri Sep 30 21:19:31 2016	1475263171	0	109	109	109
Fri Sep 30 21:19:29 2016	1475263169	0	109	109	109
Fri Sep 30 21:19:30 2016	1475263170	0	109	109	109
Fri Sep 30 21:19:35 2016	1475263175	0	109	109	109
Fri Sep 30 21:19:31 2016	1475263171	0	109	109	109
Fri Sep 30 21:19:31 2016	1475263171	0	109	109	109
Fri Sep 30 21:19:33 2016	1475263173	0	109	110	109
Fri Sep 30 21:19:29 2016	1475263169	0	110	110	109
Fri Sep 30 21:19:31 2016	1475263171	0	110	110	110
Fri Sep 30 21:19:36 2016	1475263176	0	110	110	110
Fri Sep 30 21:19:29 2016	1475263169	0	110	110	110
Fri Sep 30 21:19:31 2016	1475263171	0	110	110	110
Fri Sep 30 21:19:31 2016	1475263171	0	110	110	110
Fri Sep 30 21:19:32 2016	1475263172	0	111	111	111
Fri Sep 30 21:19:33 2016	1475263173	0	111	111	110
Fri Sep 30 21:19:33 2016	1475263173	0	111	111	110
Fri Sep 30 21:19:33 2016	1475263173	0	111	111	111
Fri Sep 30 21:19:35 2016	1475263175	0	111	111	111
Fri Sep 30 21:19:31 2016	1475263171	0	111	111	111
Fri Sep 30 21:19:29 2016	1475263169	0	111	111	111
Fri Sep 30 21:19:32 2016	1475263172	0	112	112	111
Fri Sep 30 21:19:35 2016	1475263175	0	112	112	112
Fri Sep 30 21:19:33 2016	1475263173	0	112	112	112
Fri Sep 30 21:19:30 2016	1475263170	0	112	112	112
Fri Sep 30 21:19:30 2016	1475263170	0	112	112	112
Fri Sep 30 21:19:31 2016	1475263171	0	112	112	112
Fri Sep 30 21:19:33 2016	1475263173	0	113	113	112
Fri Sep 30 21:19:39 2016	1475263179	0	113	113	113
Fri Sep 30 21:19:30 2016	1475263170	0	113	113	113
Fri Sep 30 21:19:32 2016	1475263172	0	113	113	112
Fri Sep 30 21:19:41 2016	1475263181	0	113	113	112
Fri Sep 30 21:19:32 2016	1475263172	0	113	113	113
Fri Sep 30 21:19:30 2016	1475263170	0	113	113	113
Fri Sep 30 21:19:29 2016	1475263169	0	113	113	113
Fri Sep 30 21:19:41 2016	1475263181	0	113	113	113
Fri Sep 30 21:19:29 2016	1475263169	0	113	113	113
Fri Sep 30 21:19:31 2016	1475263171	0	113	113	113
Fri Sep 30 21:19:38 2016	1475263178	0	114	114	113
Fri Sep 30 21:19:32 2016	1475263172	0	114	114	114
Fri Sep 30 21:19:35 2016	1475263175	0	114	114	114
Fri Sep 30 21:19:31 2016	1475263171	0	114	114	114
Fri Sep 30 21:19:39 2016	1475263179	0	114	114	114
Fri Sep 30 21:19:32 2016	1475263172	0	114	114	114
Fri Sep 30 21:19:33 2016	1475263173	0	115	115	114
Fri Sep 30 21:19:34 2016	1475263174	0	115	115	114
Fri Sep 30 21:19:33 2016	1475263173	0	115	115	115
Fri Sep 30 21:19:38 2016	1475263178	0	115	115	114
Fri Sep 30 21:19:29 2016	1475263169	0	115	115	115
Fri Sep 30 21:19:35 2016	1475263175	0	115	115	115
Fri Sep 30 21:19:38 2016	1475263178	0	115	115	115
Fri Sep 30 21:19:33 2016	1475263173	0	115	115	115
Fri Sep 30 21:19:33 2016	1475263173	0	115	115	115
Fri Sep 30 21:19:31 2016	1475263171	0	115	115	115
Fri Sep 30 21:19:29 2016	1475263169	0	115	115	115
Fri Sep 30 21:19:33 2016	1475263173	0	116	116	116
Fri Sep 30 21:19:29 2016	1475263169	0	116	116	115
Fri Sep 30 21:19:39 2016	1475263179	0	116	116	116
Fri Sep 30 21:19:33 2016	1475263173	0	116	116	116
Fri Sep 30 21:19:38 2016	1475263178	0	116	116	116
Fri Sep 30 21:19:30 2016	1475263170	0	116	116	116
Fri Sep 30 21:19:33 2016	1475263173	0	116	116	116
Fri Sep 30 21:19:32 2016	1475263172	0	116	116	116
Fri Sep 30 21:19:39 2016	1475263179	0	116	116	116
Fri Sep 30 21:19:34 2016	1475263174	0	116	116	116
Fri Sep 30 21:19:35 2016	1475263175	0	116	116	116
Fri Sep 30 21:19:31 2016	1475263171	0	116	116	116
Fri Sep 30 21:19:32 2016	1475263172	0	117	117	116
Fri Sep 30 21:19:33 2016	1475263173	0	117	117	116
Fri Sep 30 21:19:31 2016	1475263171	0	117	117	116
Fri Sep 30 21:19:43 2016	1475263183	0	117	117	117
Fri Sep 30 21:19:30 2016	1475263170	0	117	117	117
Fri Sep 30 21:19:43 2016	1475263183	0	117	117	117
Fri Sep 30 21:19:34 2016	1475263174	0	117	117	117
Fri Sep 30 21:19:39 2016	1475263179	0	117	117	117
