starttime	seconds	ctime	dtime	ttime	wait
Fri Sep 30 21:14:55 2016	1475262895	0	447	447	445
Fri Sep 30 21:14:54 2016	1475262894	0	447	447	447
Fri Sep 30 21:14:56 2016	1475262896	0	448	448	447
Fri Sep 30 21:14:54 2016	1475262894	0	449	449	449
Fri Sep 30 21:14:53 2016	1475262893	0	452	452	452
Fri Sep 30 21:14:51 2016	1475262891	0	458	458	457
Fri Sep 30 21:14:53 2016	1475262893	0	459	459	459
Fri Sep 30 21:14:52 2016	1475262892	0	461	461	461
Fri Sep 30 21:14:52 2016	1475262892	0	461	461	461
Fri Sep 30 21:14:57 2016	1475262897	0	462	462	462
Fri Sep 30 21:14:52 2016	1475262892	0	464	464	464
Fri Sep 30 21:14:56 2016	1475262896	0	467	468	467
Fri Sep 30 21:16:00 2016	1475262960	0	469	469	469
Fri Sep 30 21:14:52 2016	1475262892	0	473	473	473
Fri Sep 30 21:14:51 2016	1475262891	0	473	473	473
Fri Sep 30 21:14:55 2016	1475262895	0	474	474	474
Fri Sep 30 21:14:56 2016	1475262896	0	474	474	473
Fri Sep 30 21:14:52 2016	1475262892	0	474	474	474
Fri Sep 30 21:14:53 2016	1475262893	0	481	481	480
Fri Sep 30 21:14:52 2016	1475262892	0	482	482	482
Fri Sep 30 21:14:55 2016	1475262895	0	483	483	483
Fri Sep 30 21:14:53 2016	1475262893	0	486	487	486
Fri Sep 30 21:14:52 2016	1475262892	0	488	488	487
Fri Sep 30 21:14:57 2016	1475262897	0	488	488	488
Fri Sep 30 21:14:54 2016	1475262894	0	489	489	486
Fri Sep 30 21:14:53 2016	1475262893	0	489	489	489
Fri Sep 30 21:14:52 2016	1475262892	0	490	490	490
Fri Sep 30 21:14:51 2016	1475262891	0	491	491	491
Fri Sep 30 21:14:51 2016	1475262891	0	491	491	491
Fri Sep 30 21:15:00 2016	1475262900	0	493	493	493
Fri Sep 30 21:14:51 2016	1475262891	0	494	494	494
Fri Sep 30 21:14:55 2016	1475262895	0	495	495	495
Fri Sep 30 21:14:56 2016	1475262896	0	496	496	496
Fri Sep 30 21:14:51 2016	1475262891	0	497	497	497
