starttime	seconds	ctime	dtime	ttime	wait
Fri Sep 30 21:18:21 2016	1475263101	0	67	67	66
Fri Sep 30 21:18:26 2016	1475263106	0	69	69	68
Fri Sep 30 21:18:23 2016	1475263103	0	69	69	68
Fri Sep 30 21:18:23 2016	1475263103	0	69	69	69
Fri Sep 30 21:18:25 2016	1475263105	0	70	70	69
Fri Sep 30 21:18:22 2016	1475263102	0	70	70	69
Fri Sep 30 21:18:23 2016	1475263103	0	70	70	70
Fri Sep 30 21:18:22 2016	1475263102	0	70	71	70
Fri Sep 30 21:18:18 2016	1475263098	0	71	71	70
Fri Sep 30 21:18:22 2016	1475263102	0	71	71	71
Fri Sep 30 21:18:21 2016	1475263101	0	71	71	71
Fri Sep 30 21:18:20 2016	1475263100	0	71	71	71
Fri Sep 30 21:18:22 2016	1475263102	0	71	71	71
Fri Sep 30 21:18:19 2016	1475263099	0	71	71	71
Fri Sep 30 21:18:23 2016	1475263103	0	71	71	71
Fri Sep 30 21:18:18 2016	1475263098	0	71	71	71
Fri Sep 30 21:18:21 2016	1475263101	0	71	71	71
Fri Sep 30 21:18:23 2016	1475263103	0	71	72	71
Fri Sep 30 21:18:25 2016	1475263105	0	72	72	71
Fri Sep 30 21:18:24 2016	1475263104	0	72	72	71
Fri Sep 30 21:18:24 2016	1475263104	0	72	72	71
Fri Sep 30 21:18:23 2016	1475263103	0	72	72	72
Fri Sep 30 21:18:25 2016	1475263105	0	72	72	72
Fri Sep 30 21:18:28 2016	1475263108	0	72	72	72
Fri Sep 30 21:18:23 2016	1475263103	0	72	72	72
Fri Sep 30 21:18:18 2016	1475263098	0	72	72	72
Fri Sep 30 21:18:22 2016	1475263102	0	72	72	72
Fri Sep 30 21:18:21 2016	1475263101	0	72	72	72
Fri Sep 30 21:18:20 2016	1475263100	0	72	72	72
Fri Sep 30 21:18:24 2016	1475263104	0	72	72	72
Fri Sep 30 21:18:20 2016	1475263100	0	72	72	72
Fri Sep 30 21:18:20 2016	1475263100	0	72	72	72
Fri Sep 30 21:18:24 2016	1475263104	0	72	72	72
Fri Sep 30 21:18:20 2016	1475263100	0	73	73	72
